META; english/fa-cup/welling-v-whitehawk; 2016-10-10 20:25:48 GMT+3; 2016-10-15 15:00; e70300-dr003
Welling; 29/20; ; 8/5; ; 7/5; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Whitehawk; 29/20; ; 8/5; ; 6/4; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; 5/2; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/welling-v-whitehawk; 2016-10-11 00:23:12 GMT+3; 2016-10-15 15:00; e70300-dr003
Welling; 29/20; ; 8/5; ; 7/5; ; 29/20; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Whitehawk; 29/20; ; 8/5; ; 6/4; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; 5/2; ; 9/4; ; 12/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/welling-v-whitehawk; 2016-10-11 04:23:43 GMT+3; 2016-10-15 15:00; e70300-dr003
Welling; 29/20; ; 8/5; ; 7/5; ; 29/20; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Whitehawk; 29/20; ; 8/5; ; 6/4; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; 5/2; ; 9/4; ; 12/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/welling-v-whitehawk; 2016-10-11 08:24:01 GMT+3; 2016-10-15 15:00; e70300-dr003
Welling; 29/20; ; 8/5; ; 7/5; ; 29/20; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Whitehawk; 29/20; ; 8/5; ; 6/4; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; 5/2; ; 9/4; ; 12/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/welling-v-whitehawk; 2016-10-11 12:25:07 GMT+3; 2016-10-15 15:00; e70300-dr003
Welling; 29/20; ; 8/5; ; 7/5; 29/20; 29/20; 7/5; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Whitehawk; 29/20; ; 8/5; ; 6/4; 29/20; 6/4; 6/4; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; 5/2; ; 9/4; 23/10; 12/5; 12/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/welling-v-whitehawk; 2016-10-11 16:25:27 GMT+3; 2016-10-15 15:00; e70300-dr003
Welling; 29/20; ; 8/5; 29/20; 7/5; 29/20; 29/20; 7/5; 13/8; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Whitehawk; 29/20; ; 8/5; 6/4; 6/4; 29/20; 6/4; 6/4; 13/8; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; 5/2; 23/10; 9/4; 23/10; 12/5; 12/5; 5/2; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/welling-v-whitehawk; 2016-10-11 20:25:12 GMT+3; 2016-10-15 15:00; e70300-dr003
Welling; 29/20; ; 13/8; 29/20; 7/5; 29/20; 6/4; 7/5; 13/8; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Whitehawk; 29/20; ; 8/5; 29/20; 6/4; 29/20; 6/4; 6/4; 13/8; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 12/5; 12/5; 11/5; 23/10; 23/10; 23/10; 5/2; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/welling-v-whitehawk; 2016-10-12 00:23:41 GMT+3; 2016-10-15 15:00; e70300-dr003
Welling; 29/20; ; 13/8; 29/20; 7/5; 29/20; 6/4; 7/5; 13/8; 13/8; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Whitehawk; 29/20; ; 13/8; 29/20; 6/4; 29/20; 6/4; 6/4; 13/8; 8/5; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 47/20; 12/5; 9/4; 23/10; 23/10; 23/10; 5/2; 12/5; ; ; 47/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/welling-v-whitehawk; 2016-10-12 08:23:46 GMT+3; 2016-10-15 15:00; e70300-dr003
Whitehawk; 8/5; ; 8/5; 29/20; 6/4; 29/20; 6/4; 6/4; 13/8; 8/5; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Welling; 8/5; ; 33/20; 29/20; 7/5; 29/20; 6/4; 7/5; 13/8; 13/8; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 47/20; 12/5; 11/5; 23/10; 23/10; 23/10; 5/2; 12/5; ; ; 47/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/welling-v-whitehawk; 2016-10-12 12:25:56 GMT+3; 2016-10-15 15:00; e70300-dr003
Whitehawk; 8/5; ; 8/5; 6/4; 6/4; 29/20; 6/4; 6/4; 13/8; 8/5; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Welling; 8/5; ; 33/20; 31/20; 7/5; 29/20; 6/4; 7/5; 13/8; 13/8; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 47/20; 21/10; 11/5; 23/10; 23/10; 23/10; 5/2; 12/5; ; ; 47/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/welling-v-whitehawk; 2016-10-12 16:25:38 GMT+3; 2016-10-15 15:00; e70300-dr003
Whitehawk; 8/5; ; 8/5; 6/4; 6/4; 29/20; 6/4; 6/4; 13/8; 8/5; ; ; 31/20; ; ; ; ; ; 17/11; ; ; ; ; ; ; ; ; ; 
Welling; 8/5; ; 33/20; 6/4; 7/5; 29/20; 6/4; 7/5; 13/8; 13/8; ; ; 31/20; ; ; ; ; ; 17/11; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 47/20; 11/5; 11/5; 23/10; 23/10; 23/10; 5/2; 12/5; ; ; 47/20; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/welling-v-whitehawk; 2016-10-12 20:25:37 GMT+3; 2016-10-15 15:00; e70300-dr003
Whitehawk; 8/5; ; 8/5; 6/4; 6/4; 29/20; 6/4; 6/4; 13/8; 13/8; ; ; 31/20; ; ; ; ; ; 17/11; ; ; ; ; ; ; ; ; ; 
Welling; 8/5; ; 33/20; 6/4; 7/5; 29/20; 6/4; 7/5; 13/8; 13/8; ; ; 31/20; ; ; ; ; ; 17/11; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 47/20; 11/5; 11/5; 23/10; 23/10; 23/10; 5/2; 9/4; ; ; 47/20; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 
