META; english/fa-cup/eastleigh-v-swindon; 2016-10-30 20:23:09 GMT+3; 2016-11-04 19:55; e70300-dr003
Swindon; 11/8; 7/5; 29/20; ; 11/8; ; 11/8; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh; 7/4; 13/8; 37/20; ; 13/8; ; 17/10; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 23/10; ; 12/5; ; 5/2; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/eastleigh-v-swindon; 2016-10-31 00:21:59 GMT+3; 2016-11-04 19:55; e70300-dr003
Swindon; 11/8; 7/5; 29/20; ; 11/8; ; 11/8; ; ; ; 7/5; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh; 7/4; 13/8; 37/20; ; 13/8; ; 17/10; ; ; ; 9/5; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 23/10; ; 12/5; ; 5/2; ; ; ; 11/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/eastleigh-v-swindon; 2016-10-31 04:21:29 GMT+3; 2016-11-04 19:55; e70300-dr003
Swindon; 11/8; 7/5; 29/20; ; 11/8; ; 11/8; ; ; ; 7/5; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; 
Eastleigh; 7/4; 13/8; 37/20; ; 13/8; ; 17/10; ; ; ; 9/5; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; 27/20; ; 
Draw; 13/5; 5/2; 23/10; ; 12/5; ; 5/2; ; ; ; 11/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/fa-cup/eastleigh-v-swindon; 2016-10-31 08:21:17 GMT+3; 2016-11-04 19:55; e70300-dr003
Swindon; 11/8; 7/5; 29/20; ; 11/8; ; 11/8; ; ; ; 7/5; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Eastleigh; 7/4; 13/8; 37/20; ; 13/8; ; 17/10; ; ; ; 9/5; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; 10/11; ; 
Draw; 13/5; 5/2; 23/10; ; 12/5; ; 5/2; ; ; ; 11/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; 
