META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-18 20:24:16 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; ; ; ; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Witton Albion; 14/5; ; ; ; ; ; ; ; ; ; ; 17/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-19 00:22:29 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; ; 7/10; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; 29/10; ; ; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Witton Albion; 14/5; ; 15/4; ; ; ; ; ; ; ; ; 17/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-19 03:45:50 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; 6/10; 7/10; ; 4/6; ; ; ; 4/6; ; ; 4/6; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; ; 10/3; ; ; ; 7/2; ; ; 27/10; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Witton Albion; 14/5; 3; 15/4; ; 10/3; ; ; ; 3; ; ; 17/5; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-19 04:22:16 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; 6/10; 7/10; ; 4/6; ; ; ; 4/6; ; ; 4/6; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; ; 10/3; ; ; ; 7/2; ; ; 27/10; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Witton Albion; 14/5; 3; 15/4; ; 10/3; ; ; ; 3; ; ; 17/5; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-19 05:45:51 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; 6/10; 7/10; ; 4/6; ; ; ; 4/6; ; ; 4/6; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; ; 10/3; ; ; ; 7/2; ; ; 27/10; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Witton Albion; 14/5; 3; 15/4; ; 10/3; ; ; ; 3; ; ; 17/5; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-19 06:28:33 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; 6/10; 7/10; ; 4/6; ; ; ; 4/6; ; ; 4/6; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; ; 10/3; ; ; ; 7/2; ; ; 27/10; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Witton Albion; 14/5; 3; 15/4; ; 10/3; ; ; ; 3; ; ; 17/5; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-19 07:45:52 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; 6/10; 7/10; ; 4/6; ; ; ; 4/6; ; ; 4/6; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; ; 10/3; ; ; ; 7/2; ; ; 27/10; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Witton Albion; 14/5; 3; 15/4; ; 10/3; ; ; ; 3; ; ; 17/5; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-19 08:22:33 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; 6/10; 7/10; ; 4/6; ; ; ; 4/6; ; ; 4/6; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; ; 10/3; ; ; ; 7/2; ; ; 27/10; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Witton Albion; 14/5; 3; 15/4; ; 10/3; ; ; ; 3; ; ; 17/5; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-19 09:45:48 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; 8/13; 7/10; ; 4/6; ; ; ; 4/6; ; ; 4/6; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; ; 10/3; ; ; ; 7/2; ; ; 27/10; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Witton Albion; 14/5; 3; 15/4; ; 10/3; ; ; ; 3; ; ; 17/5; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-19 11:45:53 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; 6/10; 7/10; ; 4/6; ; 13/20; ; 4/6; ; ; 4/6; ; ; ; ; 4/6; 8/13; ; ; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; ; 10/3; ; 10/3; ; 7/2; ; ; 27/10; ; ; ; ; 3; 16/5; ; ; ; 16/5; ; ; ; ; ; ; 
Witton Albion; 14/5; 3; 15/4; ; 10/3; ; 7/2; ; 3; ; ; 17/5; ; ; ; ; 10/3; 29/10; ; ; ; 29/10; ; ; ; ; ; ; 
META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-19 12:22:27 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; 6/10; 7/10; ; 4/6; ; 13/20; ; 4/6; ; ; 4/6; ; ; ; ; 4/6; 8/13; ; ; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; ; 10/3; ; 10/3; ; 7/2; ; ; 27/10; ; ; ; ; 3; 16/5; ; ; ; 16/5; ; ; ; ; ; ; 
Witton Albion; 14/5; 3; 15/4; ; 10/3; ; 7/2; ; 3; ; ; 17/5; ; ; ; ; 10/3; 29/10; ; ; ; 29/10; ; ; ; ; ; ; 
META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-19 12:51:24 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; 6/10; 7/10; ; 4/6; ; 13/20; ; 4/6; ; ; 4/6; ; ; ; ; 4/6; 8/13; ; ; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; ; 10/3; ; 10/3; ; 7/2; ; ; 27/10; ; ; ; ; 3; 16/5; ; ; ; 16/5; ; ; ; ; ; ; 
Witton Albion; 14/5; 3; 15/4; ; 10/3; ; 7/2; ; 3; ; ; 17/5; ; ; ; ; 10/3; 29/10; ; ; ; 29/10; ; ; ; ; ; ; 
META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-19 13:45:51 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; 6/10; 7/10; ; 4/6; ; 13/20; ; 4/6; ; ; 4/6; ; ; ; ; 4/6; 8/13; ; ; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; ; 10/3; ; 10/3; ; 7/2; ; ; 27/10; ; ; ; ; 3; 16/5; ; ; ; 16/5; ; ; ; ; ; ; 
Witton Albion; 14/5; 3; 15/4; ; 10/3; ; 7/2; ; 3; ; ; 17/5; ; ; ; ; 10/3; 29/10; ; ; ; 29/10; ; ; ; ; ; ; 
META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-19 15:45:59 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; 6/10; 7/10; ; 4/6; ; 13/20; 8/13; 4/6; ; ; 4/6; ; ; ; ; 4/6; 8/13; ; ; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; ; 10/3; ; 10/3; 16/5; 7/2; ; ; 27/10; ; ; ; ; 10/3; 16/5; ; ; ; 16/5; ; ; ; ; ; ; 
Witton Albion; 14/5; 3; 15/4; ; 10/3; ; 7/2; 11/4; 3; ; ; 17/5; ; ; ; ; 3; 29/10; ; ; ; 29/10; ; ; ; ; ; ; 
META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-19 16:23:13 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; 6/10; 7/10; ; 4/6; ; 13/20; 8/13; 4/6; ; ; 4/6; ; ; ; ; 4/6; 8/13; ; ; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; ; 10/3; ; 10/3; 16/5; 7/2; ; ; 27/10; ; ; ; ; 10/3; 16/5; ; ; ; 16/5; ; ; ; ; ; ; 
Witton Albion; 14/5; 3; 15/4; ; 10/3; ; 7/2; 11/4; 3; ; ; 17/5; ; ; ; ; 3; 29/10; ; ; ; 29/10; ; ; ; ; ; ; 
META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-19 17:45:51 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; 6/10; 7/10; ; 4/6; 3/5; 13/20; 8/13; 4/6; ; ; 4/6; ; ; ; ; 4/6; 8/13; ; ; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; ; 10/3; 10/3; 10/3; 16/5; 7/2; ; ; 27/10; ; ; ; ; 10/3; 16/5; ; ; ; 16/5; ; ; ; ; ; ; 
Witton Albion; 14/5; 3; 15/4; ; 10/3; 11/4; 7/2; 11/4; 3; ; ; 17/5; ; ; ; ; 3; 29/10; ; ; ; 29/10; ; ; ; ; ; ; 
META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-19 18:32:34 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; 6/10; 7/10; 6/10; 4/6; ; 13/20; 8/13; 4/6; ; ; 4/6; ; ; ; ; 4/6; 8/13; ; 8/13; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; 14/5; 10/3; ; 10/3; 16/5; 7/2; ; ; 27/10; ; ; ; ; 10/3; 16/5; ; 10/3; ; 16/5; ; ; ; ; ; ; 
Witton Albion; 14/5; 3; 15/4; 10/3; 10/3; ; 7/2; 11/4; 3; ; ; 17/5; ; ; ; ; 3; 29/10; ; 3; ; 29/10; ; ; ; ; ; ; 
META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-19 19:45:48 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; 6/10; 7/10; 6/10; 4/6; 3/5; 13/20; 8/13; 4/6; ; ; 4/6; ; ; ; ; 4/6; 8/13; ; 8/13; ; 8/13; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; 14/5; 10/3; 10/3; 10/3; 16/5; 7/2; ; ; 27/10; ; ; ; ; 10/3; 16/5; ; 10/3; ; 16/5; ; ; ; ; ; ; 
Witton Albion; 14/5; 3; 15/4; 10/3; 10/3; 11/4; 7/2; 11/4; 3; ; ; 17/5; ; ; ; ; 3; 29/10; ; 3; ; 29/10; ; ; ; ; ; ; 
META; english/fa-cup/stalybridge-v-witton-albion; 2016-09-19 20:23:56 GMT+3; 2016-09-20 19:45; e70300-dr003
Stalybridge; 8/13; 6/10; 7/10; 6/10; 4/6; 3/5; 13/20; 8/13; 4/6; ; ; 4/6; ; ; ; ; 4/6; ; ; 8/13; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; 29/10; 14/5; 10/3; 10/3; 10/3; 16/5; 7/2; ; ; 27/10; ; ; ; ; 10/3; ; ; 10/3; ; ; ; ; ; ; ; ; 
Witton Albion; 14/5; 3; 15/4; 10/3; 10/3; 11/4; 7/2; 11/4; 3; ; ; 17/5; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; ; ; 
