META; english/fa-cup/barrow-v-tranmere; 2016-10-10 16:23:31 GMT+3; 2016-10-15 15:00; e70300-dr003
Tranmere; 6/4; ; ; ; ; ; 31/20; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barrow; 13/8; ; ; ; ; ; 13/8; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 5/2; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-10 20:24:36 GMT+3; 2016-10-15 15:00; e70300-dr003
Tranmere; 6/4; ; 31/20; ; 7/5; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barrow; 13/8; ; 17/10; ; 6/4; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; 23/10; ; 11/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-11 00:22:12 GMT+3; 2016-10-15 15:00; e70300-dr003
Tranmere; 6/4; ; 31/20; ; 7/5; ; 29/20; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barrow; 13/8; ; 17/10; ; 6/4; ; 31/20; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; 23/10; ; 11/5; ; 23/10; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-11 04:22:44 GMT+3; 2016-10-15 15:00; e70300-dr003
Tranmere; 6/4; ; 31/20; ; 7/5; ; 29/20; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barrow; 13/8; ; 17/10; ; 6/4; ; 31/20; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; 23/10; ; 11/5; ; 23/10; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barrow-v-tranmere; 2016-10-11 08:23:03 GMT+3; 2016-10-15 15:00; e70300-dr003
Tranmere; 6/4; ; 31/20; ; 7/5; ; 29/20; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
