META; english/fa-cup/harrogate-town-v-fc-united-of-manchester; 2016-10-02 16:23:42 GMT+3; 2016-10-04 19:45; e70300-dr003
Harrogate Town; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC United of Manchester; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-fc-united-of-manchester; 2016-10-02 20:24:22 GMT+3; 2016-10-04 19:45; e70300-dr003
Harrogate Town; 8/13; ; ; ; ; ; 13/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC United of Manchester; 14/5; ; ; ; ; ; 33/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-fc-united-of-manchester; 2016-10-03 00:22:20 GMT+3; 2016-10-04 19:45; e70300-dr003
Harrogate Town; 8/13; 6/10; ; ; 3/5; ; 13/20; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 
FC United of Manchester; 14/5; 3; ; ; 3; ; 33/10; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; ; ; 3; ; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-fc-united-of-manchester; 2016-10-03 00:45:51 GMT+3; 2016-10-04 19:45; e70300-dr003
Harrogate Town; 8/13; 6/10; ; ; 3/5; ; 13/20; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 
FC United of Manchester; 14/5; 3; ; ; 3; ; 10/3; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; ; ; 3; ; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-fc-united-of-manchester; 2016-10-03 01:45:30 GMT+3; 2016-10-04 19:45; e70300-dr003
Harrogate Town; 8/13; 6/10; ; ; 3/5; ; 13/20; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 
FC United of Manchester; 14/5; 3; ; ; 3; ; 10/3; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; ; ; 3; ; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-fc-united-of-manchester; 2016-10-03 03:45:33 GMT+3; 2016-10-04 19:45; e70300-dr003
Harrogate Town; 8/13; 6/10; ; ; 3/5; ; 13/20; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 
FC United of Manchester; 14/5; 3; ; ; 3; ; 10/3; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; ; ; 3; ; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-fc-united-of-manchester; 2016-10-03 04:21:50 GMT+3; 2016-10-04 19:45; e70300-dr003
Harrogate Town; 8/13; 6/10; ; ; 3/5; ; 13/20; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 
FC United of Manchester; 14/5; 3; ; ; 3; ; 10/3; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; ; ; 3; ; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-fc-united-of-manchester; 2016-10-03 05:45:26 GMT+3; 2016-10-04 19:45; e70300-dr003
Harrogate Town; 8/13; 6/10; ; ; 3/5; ; 13/20; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 
FC United of Manchester; 14/5; 3; ; ; 3; ; 10/3; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; ; ; 3; ; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-fc-united-of-manchester; 2016-10-03 06:29:25 GMT+3; 2016-10-04 19:45; e70300-dr003
Harrogate Town; 8/13; 6/10; ; ; 3/5; ; 13/20; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 
FC United of Manchester; 14/5; 3; ; ; 3; ; 10/3; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; ; ; 3; ; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-fc-united-of-manchester; 2016-10-03 07:45:27 GMT+3; 2016-10-04 19:45; e70300-dr003
