META; english/fa-cup/nantwich-town-v-halesowen; 2016-10-02 16:23:50 GMT+3; 2016-10-04 19:45; e70300-dr003
Nantwich Town; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Halesowen; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/nantwich-town-v-halesowen; 2016-10-02 20:24:29 GMT+3; 2016-10-04 19:45; e70300-dr003
Nantwich Town; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Halesowen; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/nantwich-town-v-halesowen; 2016-10-03 00:22:25 GMT+3; 2016-10-04 19:45; e70300-dr003
Nantwich Town; 1; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Halesowen; 2; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/nantwich-town-v-halesowen; 2016-10-03 00:45:55 GMT+3; 2016-10-04 19:45; e70300-dr003
Nantwich Town; 1; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Halesowen; 2; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/nantwich-town-v-halesowen; 2016-10-03 01:45:35 GMT+3; 2016-10-04 19:45; e70300-dr003
Nantwich Town; 1; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Halesowen; 2; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/nantwich-town-v-halesowen; 2016-10-03 03:45:39 GMT+3; 2016-10-04 19:45; e70300-dr003
Nantwich Town; 1; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Halesowen; 2; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/nantwich-town-v-halesowen; 2016-10-03 04:21:54 GMT+3; 2016-10-04 19:45; e70300-dr003
Nantwich Town; 1; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Halesowen; 2; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/nantwich-town-v-halesowen; 2016-10-03 05:45:31 GMT+3; 2016-10-04 19:45; e70300-dr003
Nantwich Town; 1; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Halesowen; 2; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/nantwich-town-v-halesowen; 2016-10-03 06:29:29 GMT+3; 2016-10-04 19:45; e70300-dr003
Nantwich Town; 1; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Halesowen; 2; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/nantwich-town-v-halesowen; 2016-10-03 07:45:32 GMT+3; 2016-10-04 19:45; e70300-dr003
Nantwich Town; 1; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Halesowen; 2; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/nantwich-town-v-halesowen; 2016-10-03 08:22:09 GMT+3; 2016-10-04 19:45; e70300-dr003
Nantwich Town; 1; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Halesowen; 2; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/nantwich-town-v-halesowen; 2016-10-03 09:45:31 GMT+3; 2016-10-04 19:45; e70300-dr003
Nantwich Town; 1; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Halesowen; 2; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/nantwich-town-v-halesowen; 2016-10-03 11:45:32 GMT+3; 2016-10-04 19:45; e70300-dr003
Nantwich Town; 1; 1; ; ; 1; ; ; ; 11/10; ; ; 21/20; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; 
Halesowen; 2; 2; ; ; 2; ; ; ; 9/4; ; ; 21/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; 12/5; ; ; ; 14/5; ; ; 12/5; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/nantwich-town-v-halesowen; 2016-10-03 12:22:27 GMT+3; 2016-10-04 19:45; e70300-dr003
Nantwich Town; 1; 1; 11/10; 21/20; 1; ; ; ; 11/10; ; ; 21/20; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; 
Halesowen; 2; 2; 9/4; 2; 2; ; ; ; 9/4; ; ; 21/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 13/5; 5/2; 12/5; ; ; ; 14/5; ; ; 12/5; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
