META; english/fa-cup/chelsea-v-brentford; 2017-01-10 00:22:51 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Brentford; ; ; ; ; ; ; ; ; ; ; ; 10; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-10 04:22:56 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 2/9; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 9/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Brentford; ; ; ; ; ; ; 11; ; ; ; ; 10; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-10 08:23:07 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Brentford; ; ; ; ; ; ; ; ; ; ; ; 10; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-10 12:23:18 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Brentford; ; ; ; ; ; ; ; ; ; ; ; 10; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-10 16:23:41 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 1/5; ; ; ; ; 1/5; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 5; ; ; ; ; 9/2; ; ; 5; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Brentford; ; ; ; ; ; ; 16; ; ; ; ; 10; ; ; 12; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-10 20:23:34 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 1/5; ; ; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 5; ; ; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 1/100; ; 
Brentford; ; ; ; ; ; ; 16; ; ; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-11 00:22:42 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 2/11; ; ; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 5; ; ; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 1/100; ; 
Brentford; ; ; ; ; ; ; 18; ; ; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-11 04:22:46 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 1/5; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 1/100; ; 
Brentford; ; ; ; ; ; ; 16; ; 14; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-11 08:22:40 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 2/11; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 1/100; ; 
Brentford; ; ; ; ; ; ; 18; ; 14; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-11 12:23:50 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 1/5; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 1/100; ; 
Brentford; ; ; ; ; ; ; 16; ; 14; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-11 16:25:53 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 2/11; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 1/100; ; 
Brentford; ; ; ; ; ; ; 18; ; 14; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-12 00:22:30 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 1/5; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 1/100; ; 
Brentford; ; ; ; ; ; ; 16; ; 14; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-12 04:22:39 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 1/5; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; ; ; 
Brentford; ; ; ; ; ; ; 16; ; 14; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; ; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-12 08:22:51 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 2/11; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; ; ; 
Brentford; ; ; ; ; ; ; 18; ; 14; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; ; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-12 16:25:07 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 1/5; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 23/10; ; 
Brentford; ; ; ; ; ; ; 16; ; 16; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-12 20:23:55 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 1/5; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 23/10; ; 
Brentford; ; ; ; ; ; ; 16; ; 14; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-13 00:22:33 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 2/11; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 23/10; ; 
Brentford; ; ; ; ; ; ; 18; ; 14; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-13 04:22:32 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 1/5; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 23/10; ; 
Brentford; ; ; ; ; ; ; 16; ; 14; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-13 08:22:18 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 2/11; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 23/10; ; 
Brentford; ; ; ; ; ; ; 18; ; 14; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-13 12:26:31 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 1/5; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 23/10; ; 
Brentford; ; ; ; ; ; ; 16; ; 14; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-13 16:23:30 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 1/5; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 23/10; ; 
Brentford; ; ; ; ; ; ; 16; ; 14; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-13 20:24:23 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 2/11; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 13/5; ; 
Brentford; ; ; ; ; ; ; 18; ; 14; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/50; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-14 00:24:05 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 2/11; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 13/5; ; 
Brentford; ; ; ; ; ; ; 18; ; 16; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/50; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-14 04:22:20 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 1/5; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 13/5; ; 
Brentford; ; ; ; ; ; ; 16; ; 14; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/50; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-14 08:22:17 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 2/11; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 13/5; ; 
Brentford; ; ; ; ; ; ; 18; ; 14; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/50; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-14 12:24:37 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 2/11; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 13/5; ; 
Brentford; ; ; ; ; ; ; 18; ; 16; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/50; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-14 16:23:39 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 2/11; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 2/13; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 13/5; ; 
Brentford; ; ; ; ; ; ; 18; ; 16; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/50; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-14 20:25:41 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 2/11; ; 1/5; ; ; 1/5; ; ; 1/5; ; ; ; 1/5; ; ; ; 1/5; ; ; 2/13; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; ; ; ; 5; ; ; ; 5; ; ; 1/100; ; 
Brentford; ; ; ; ; ; ; 18; ; 14; ; ; 10; ; ; 12; ; ; ; 16; ; ; ; 16; ; ; 1/20; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-15 00:26:06 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 2/11; ; 1/5; ; ; 1/5; ; ; 1/5; 1/5; 2/11; ; 1/5; 3/16; ; ; 1/5; ; ; 2/13; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; 11/2; 23/5; ; 5; 63/13; ; ; 5; ; ; 1/100; ; 
Brentford; ; ; ; ; ; ; 18; ; 14; ; ; 10; ; ; 12; 16; 51/4; ; 16; 57/4; ; ; 16; ; ; 1/20; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-15 04:22:17 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 2/11; ; 1/5; ; ; 1/5; ; ; 1/5; 1/5; 2/11; ; 1/5; 3/16; ; ; 1/5; ; ; 2/13; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; 11/2; 23/5; ; 5; 63/13; ; ; 5; ; ; 1/100; ; 
Brentford; ; ; ; ; ; ; 18; ; 14; ; ; 10; ; ; 12; 16; 51/4; ; 16; 57/4; ; ; 16; ; ; 1/20; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-15 08:22:15 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 2/11; ; 1/5; ; ; 1/5; ; ; 1/5; 1/5; 2/9; ; 1/5; 3/16; ; ; 1/5; ; ; 2/13; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; 11/2; 49/11; ; 5; 63/13; ; ; 5; ; ; 1/100; ; 
Brentford; ; ; ; ; ; ; 18; ; 14; ; ; 10; ; ; 12; 16; 37/4; ; 16; 57/4; ; ; 16; ; ; 1/20; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-15 12:23:29 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 1/5; ; 1/5; ; ; 1/5; ; ; 1/5; 2/9; 2/11; ; 1/5; 3/16; ; ; 1/5; ; ; 2/13; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; 5; 23/5; ; 5; 63/13; ; ; 5; ; ; 1/100; ; 
Brentford; ; ; ; ; ; ; 17; ; 14; ; ; 10; ; ; 12; 16; 51/4; ; 16; 57/4; ; ; 16; ; ; 1/20; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-15 16:24:14 GMT+2; 2017-01-28 15:00; e70300-dr003
Chelsea; ; ; ; ; ; ; 2/11; ; 1/5; ; ; 1/5; ; ; 1/5; 1/5; 2/11; ; 1/5; 3/16; ; ; 1/5; ; ; 2/13; ; 
Draw; ; ; ; ; ; ; 5; ; 21/4; ; ; 9/2; ; ; 5; 11/2; 23/5; ; 5; 63/13; ; ; 5; ; ; 1/100; ; 
Brentford; ; ; ; ; ; ; 18; ; 14; ; ; 10; ; ; 12; 16; 51/4; ; 16; 57/4; ; ; 16; ; ; 1/20; ; 
META; english/fa-cup/chelsea-v-brentford; 2017-01-15 20:23:16 GMT+2; 2017-01-28 15:00; e70300-dr003
