META; english/fa-cup/torquay-v-woking; 2016-10-10 16:24:15 GMT+3; 2016-10-15 15:00; e70300-dr003
Torquay; ; ; ; ; ; ; ; ; ; ; 23/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking; ; ; ; ; ; ; ; ; ; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/torquay-v-woking; 2016-10-10 20:25:45 GMT+3; 2016-10-15 15:00; e70300-dr003
Torquay; 5/4; ; 5/4; ; 6/5; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking; 21/10; ; 41/20; ; 7/4; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 5/2; ; 9/4; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/torquay-v-woking; 2016-10-11 00:23:09 GMT+3; 2016-10-15 15:00; e70300-dr003
Torquay; 5/4; ; 5/4; ; 23/20; ; 6/5; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking; 21/10; ; 41/20; ; 7/4; ; 2; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 5/2; ; 23/10; ; 23/10; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/torquay-v-woking; 2016-10-11 04:23:41 GMT+3; 2016-10-15 15:00; e70300-dr003
Torquay; 5/4; ; 5/4; ; 23/20; ; 23/20; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking; 21/10; ; 41/20; ; 7/4; ; 19/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 5/2; ; 23/10; ; 12/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/torquay-v-woking; 2016-10-11 08:23:59 GMT+3; 2016-10-15 15:00; e70300-dr003
Torquay; 5/4; ; 5/4; ; 23/20; ; 23/20; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking; 21/10; ; 41/20; ; 9/5; ; 2; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 5/2; ; 9/4; ; 23/10; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/torquay-v-woking; 2016-10-11 12:25:04 GMT+3; 2016-10-15 15:00; e70300-dr003
Torquay; 5/4; ; 5/4; ; 23/20; 23/20; 6/5; 6/5; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking; 21/10; ; 41/20; ; 7/4; 37/20; 15/8; 9/5; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
