META; english/fa-cup/taunton-v-barrow; 2016-10-30 20:25:17 GMT+3; 2016-11-06 14:00; e70300-dr003
Barrow; 1/2; 1/2; 1/2; ; 4/9; ; 9/20; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 10/3; 10/3; ; 16/5; ; 10/3; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Taunton; 5; 9/2; 5; ; 5; ; 21/4; ; ; ; 24/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/taunton-v-barrow; 2016-10-31 00:23:32 GMT+3; 2016-11-06 14:00; e70300-dr003
Barrow; 1/2; 1/2; 1/2; ; 1/2; ; 1/2; ; ; ; 1/2; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 10/3; 10/3; ; 16/5; ; 10/3; ; ; ; 16/5; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Taunton; 5; 9/2; 5; ; 9/2; ; 19/4; ; ; ; 24/5; ; ; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/taunton-v-barrow; 2016-10-31 04:23:04 GMT+3; 2016-11-06 14:00; e70300-dr003
Barrow; 1/2; 1/2; 1/2; ; 1/2; ; 1/2; ; ; ; 1/2; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; 3/10; ; 
Draw; 10/3; 10/3; 10/3; ; 16/5; ; 10/3; ; ; ; 16/5; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; 
Taunton; 5; 9/2; 5; ; 9/2; ; 19/4; ; ; ; 24/5; ; ; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; 1/6; ; 
META; english/fa-cup/taunton-v-barrow; 2016-10-31 08:22:43 GMT+3; 2016-11-06 14:00; e70300-dr003
Barrow; 1/2; 1/2; 1/2; ; 1/2; ; 1/2; ; ; ; 1/2; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; 3/10; ; 
Draw; 10/3; 10/3; 10/3; ; 16/5; ; 10/3; ; ; ; 16/5; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; 
Taunton; 5; 9/2; 5; ; 9/2; ; 19/4; ; ; ; 24/5; ; ; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; 1/6; ; 
META; english/fa-cup/taunton-v-barrow; 2016-10-31 12:23:47 GMT+3; 2016-11-06 14:00; e70300-dr003
Barrow; 1/2; 1/2; 1/2; ; 1/2; ; 1/2; ; 1/2; ; 1/2; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; 3/10; ; 
Draw; 10/3; 10/3; 10/3; ; 16/5; ; 10/3; ; 10/3; ; 16/5; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; 
Taunton; 5; 9/2; 5; ; 9/2; ; 19/4; ; 11/2; ; 24/5; ; ; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; 1/6; ; 
META; english/fa-cup/taunton-v-barrow; 2016-10-31 16:23:39 GMT+3; 2016-11-06 14:00; e70300-dr003
Barrow; 1/2; 1/2; 1/2; 4/9; 4/9; ; 9/20; ; 1/2; ; 1/2; ; ; 4/9; 1/2; ; ; ; 1/2; ; ; ; ; ; ; ; 2/5; ; 
Draw; 10/3; 10/3; 10/3; 14/5; 16/5; ; 17/5; ; 10/3; ; 16/5; ; ; 16/5; 10/3; ; ; ; 3; ; ; ; ; ; ; ; 14/5; ; 
Taunton; 5; 9/2; 5; 5; 5; ; 5; ; 11/2; ; 24/5; ; ; 9/2; 19/4; ; ; ; 5; ; ; ; ; ; ; ; 4; ; 
META; english/fa-cup/taunton-v-barrow; 2016-10-31 20:25:00 GMT+3; 2016-11-06 14:00; e70300-dr003
Barrow; 1/2; 1/2; 1/2; 4/9; 4/9; ; 9/20; ; 1/2; 9/20; 1/2; 4/11; ; 4/9; 1/2; ; ; ; 1/2; ; ; ; ; ; ; ; 2/5; ; 
Draw; 10/3; 10/3; 10/3; 16/5; 16/5; ; 17/5; ; 10/3; 7/2; 16/5; 7/2; ; 16/5; 10/3; ; ; ; 3; ; ; ; ; ; ; ; 14/5; ; 
Taunton; 5; 5; 5; 9/2; 5; ; 21/4; ; 11/2; 9/2; 24/5; 5; ; 9/2; 19/4; ; ; ; 5; ; ; ; ; ; ; ; 4; ; 
META; english/fa-cup/taunton-v-barrow; 2016-11-01 00:24:07 GMT+3; 2016-11-06 14:00; e70300-dr003
Barrow; 1/2; 1/2; 1/2; 4/9; 4/9; ; 9/20; ; 1/2; 9/20; ; 4/11; ; 4/9; 1/2; ; ; ; 1/2; ; ; ; ; ; ; ; 2/5; ; 
