Cambridge Utd; 1; 1; 1; 20/21; 19/20; ; 19/20; 10/11; 21/20; 10/11; 19/20; 5/6; ; 10/11; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 5/6; ; 
Draw; 5/2; 5/2; 49/20; 12/5; 12/5; ; 5/2; 12/5; 5/2; 13/5; 12/5; 12/5; ; 23/10; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 9/4; ; 
Dover; 13/5; 13/5; 27/10; 23/10; 5/2; ; 13/5; 23/10; 13/5; 12/5; 5/2; 5/2; ; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 11/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-01 16:24:03 GMT+3; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 1; 20/21; 19/20; ; 19/20; 10/11; 21/20; 10/11; 19/20; 5/6; ; 10/11; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 5/6; ; 
Draw; 5/2; 5/2; 49/20; 12/5; 12/5; ; 5/2; 12/5; 5/2; 13/5; 12/5; 12/5; ; 23/10; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 9/4; ; 
Dover; 13/5; 13/5; 27/10; 23/10; 5/2; ; 13/5; 23/10; 13/5; 12/5; 5/2; 5/2; ; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 11/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-01 20:23:21 GMT+3; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 20/21; 19/20; ; 1; 10/11; 21/20; 1; 1; 5/6; 1; 19/20; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
Draw; 5/2; 5/2; 49/20; 9/4; 12/5; ; 5/2; 12/5; 5/2; 5/2; 23/10; 12/5; 49/20; 11/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 23/10; ; 
Dover; 13/5; 13/5; 13/5; 12/5; 5/2; ; 12/5; 23/10; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 12/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-02 00:23:40 GMT+3; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 20/21; 19/20; ; 1; 10/11; 21/20; 1; 1; 5/6; 1; 19/20; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
Draw; 5/2; 5/2; 49/20; 9/4; 12/5; ; 5/2; 12/5; 5/2; 5/2; 23/10; 12/5; 49/20; 11/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 23/10; ; 
Dover; 13/5; 13/5; 13/5; 12/5; 5/2; ; 12/5; 23/10; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 12/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-02 04:22:37 GMT+3; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 20/21; 19/20; ; 1; 10/11; 21/20; 1; 1; 5/6; ; 19/20; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
Draw; 5/2; 5/2; 49/20; 9/4; 12/5; ; 5/2; 12/5; 5/2; 5/2; 23/10; 12/5; ; 11/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 23/10; ; 
Dover; 13/5; 13/5; 13/5; 12/5; 5/2; ; 12/5; 23/10; 13/5; 5/2; 5/2; 5/2; ; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 12/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-02 08:22:27 GMT+3; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 20/21; 19/20; ; 1; 10/11; 21/20; 1; 1; 5/6; 1; 19/20; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
Draw; 5/2; 5/2; 49/20; 9/4; 12/5; ; 5/2; 12/5; 5/2; 5/2; 23/10; 12/5; 49/20; 11/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 23/10; ; 
Dover; 13/5; 13/5; 13/5; 12/5; 5/2; ; 12/5; 23/10; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 12/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-02 12:23:35 GMT+3; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 20/21; 1; ; 1; 10/11; 21/20; 1; 1; 1; ; 19/20; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
Draw; 5/2; 12/5; 49/20; 9/4; 12/5; ; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; ; 11/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 23/10; ; 
Dover; 13/5; 13/5; 13/5; 12/5; 12/5; ; 12/5; 23/10; 13/5; 13/5; 5/2; 12/5; ; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 12/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-02 16:24:04 GMT+3; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 20/21; 1; ; 1; 10/11; 21/20; 1; 1; 1; ; 19/20; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
Draw; 5/2; 12/5; 49/20; 9/4; 12/5; ; 12/5; 12/5; 5/2; 12/5; 23/10; 12/5; ; 11/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 23/10; ; 
Dover; 13/5; 13/5; 13/5; 12/5; 12/5; ; 5/2; 23/10; 13/5; 13/5; 5/2; 12/5; ; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 12/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-02 20:24:51 GMT+3; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 20/21; 1; ; 1; 10/11; 21/20; 1; 1; 1; 1; 19/20; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
Draw; 5/2; 5/2; 49/20; 9/4; 12/5; ; 12/5; 12/5; 5/2; 12/5; 23/10; 12/5; 49/20; 11/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 23/10; ; 
Dover; 13/5; 13/5; 13/5; 12/5; 12/5; ; 5/2; 23/10; 13/5; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 12/5; ; 
META; english/fa-cup/cambridge-utd-v-dover; 2016-11-03 00:22:14 GMT+2; 2016-11-05 15:00; e70300-dr003
Cambridge Utd; 1; 1; 21/20; 20/21; 1; ; 1; 10/11; 21/20; 1; 1; 1; 1; 19/20; 1; ; ; ; 19/20; ; ; ; ; ; ; ; 20/21; ; 
Draw; 5/2; 5/2; 49/20; 9/4; 12/5; ; 12/5; 12/5; 5/2; 12/5; 23/10; 12/5; 49/20; 11/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 23/10; ; 
Dover; 13/5; 13/5; 13/5; 12/5; 12/5; ; 5/2; 23/10; 13/5; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; 12/5; ; 
