Draw; 9/4; 9/4; 43/20; 11/5; 11/5; ; 11/5; 21/10; 23/10; 23/10; 21/10; 11/5; ; 2; 9/4; ; 28/13; ; 21/10; ; 28/13; 12/5; ; ; 9/4; ; 11/5; ; 
META; english/fa-cup/mansfield-v-plymouth; 2016-11-01 08:22:22 GMT+3; 2016-11-05 15:00; e70300-dr003
Plymouth; 6/4; 6/4; 31/20; 31/20; 7/5; ; 29/20; 7/5; 6/4; 27/20; 6/4; 6/5; ; 7/5; 6/4; ; 16/11; ; 17/11; ; 16/11; 17/11; ; ; 6/4; ; 13/10; ; 
Mansfield; 9/5; 9/5; 37/20; 15/8; 7/4; ; 9/5; 13/8; 9/5; 9/5; 7/4; 9/5; ; 17/10; 7/4; ; 7/4; ; 7/4; ; 7/4; 37/19; ; ; 9/5; ; 8/5; ; 
Draw; 9/4; 9/4; 43/20; 11/5; 11/5; ; 11/5; 21/10; 23/10; 23/10; 21/10; 11/5; ; 2; 9/4; ; 28/13; ; 21/10; ; 28/13; 12/5; ; ; 9/4; ; 11/5; ; 
META; english/fa-cup/mansfield-v-plymouth; 2016-11-01 12:22:45 GMT+3; 2016-11-05 15:00; e70300-dr003
Plymouth; 6/4; 6/4; 31/20; 31/20; 7/5; ; 29/20; 7/5; 6/4; 27/20; 6/4; 6/5; ; 7/5; 6/4; ; 16/11; ; 17/11; ; ; 17/11; ; ; 6/4; ; 13/10; ; 
Mansfield; 9/5; 9/5; 37/20; 15/8; 7/4; ; 7/4; 13/8; 9/5; 9/5; 7/4; 9/5; ; 17/10; 7/4; ; 7/4; ; 7/4; ; ; 37/19; ; ; 9/5; ; 8/5; ; 
Draw; 9/4; 9/4; 43/20; 11/5; 11/5; ; 11/5; 21/10; 23/10; 23/10; 21/10; 11/5; ; 2; 9/4; ; 11/5; ; 21/10; ; 11/5; 12/5; ; ; 9/4; ; 11/5; ; 
META; english/fa-cup/mansfield-v-plymouth; 2016-11-01 16:24:39 GMT+3; 2016-11-05 15:00; e70300-dr003
