META; english/fa-cup/bristol-city-v-fleetwood; 2016-12-14 16:24:36 GMT+2; 2017-01-07 15:00; e70300-dr003
Bristol City; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/bristol-city-v-fleetwood; 2016-12-14 20:25:12 GMT+2; 2017-01-07 15:00; e70300-dr003
Bristol City; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/bristol-city-v-fleetwood; 2016-12-15 00:23:12 GMT+2; 2017-01-07 15:00; e70300-dr003
Bristol City; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/bristol-city-v-fleetwood; 2016-12-15 04:23:16 GMT+2; 2017-01-07 15:00; e70300-dr003
Bristol City; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/bristol-city-v-fleetwood; 2016-12-15 08:23:10 GMT+2; 2017-01-07 15:00; e70300-dr003
Bristol City; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/bristol-city-v-fleetwood; 2016-12-15 12:36:20 GMT+2; 2017-01-07 15:00; e70300-dr003
Bristol City; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/bristol-city-v-fleetwood; 2016-12-15 16:23:19 GMT+2; 2017-01-07 15:00; e70300-dr003
Bristol City; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/bristol-city-v-fleetwood; 2016-12-15 20:23:36 GMT+2; 2017-01-07 15:00; e70300-dr003
Bristol City; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/bristol-city-v-fleetwood; 2016-12-16 00:23:05 GMT+2; 2017-01-07 15:00; e70300-dr003
Bristol City; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/bristol-city-v-fleetwood; 2016-12-16 04:23:23 GMT+2; 2017-01-07 15:00; e70300-dr003
Bristol City; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/bristol-city-v-fleetwood; 2016-12-16 08:23:10 GMT+2; 2017-01-07 15:00; e70300-dr003
Bristol City; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/bristol-city-v-fleetwood; 2016-12-16 12:24:55 GMT+2; 2017-01-07 15:00; e70300-dr003
Bristol City; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/bristol-city-v-fleetwood; 2016-12-16 16:26:20 GMT+2; 2017-01-07 15:00; e70300-dr003
Bristol City; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/bristol-city-v-fleetwood; 2016-12-17 00:24:25 GMT+2; 2017-01-07 15:00; e70300-dr003
Bristol City; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
