META; english/fa-cup/leek-town-v-kettering; 2016-09-01 20:22:48 GMT+3; 2016-09-03 15:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Kettering; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Leek Town; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/fa-cup/leek-town-v-kettering; 2016-09-02 07:46:13 GMT+3; 2016-09-03 15:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Kettering; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Leek Town; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/fa-cup/leek-town-v-kettering; 2016-09-02 12:22:08 GMT+3; 2016-09-03 15:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Kettering; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Leek Town; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/fa-cup/leek-town-v-kettering; 2016-09-02 12:54:25 GMT+3; 2016-09-03 15:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Kettering; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Leek Town; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/fa-cup/leek-town-v-kettering; 2016-09-02 13:46:21 GMT+3; 2016-09-03 15:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Kettering; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Leek Town; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/fa-cup/leek-town-v-kettering; 2016-09-02 16:22:30 GMT+3; 2016-09-03 15:00; e70300-dr003
Kettering; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leek Town; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/leek-town-v-kettering; 2016-09-02 17:46:22 GMT+3; 2016-09-03 15:00; e70300-dr003
Kettering; 10/11; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leek Town; 21/10; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/leek-town-v-kettering; 2016-09-02 18:33:07 GMT+3; 2016-09-03 15:00; e70300-dr003
Kettering; 10/11; ; ; ; ; 9/10; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; 
Leek Town; 21/10; ; ; ; ; 21/10; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; 
Draw; 11/4; ; ; ; ; 11/4; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
META; english/fa-cup/leek-town-v-kettering; 2016-09-02 19:46:26 GMT+3; 2016-09-03 15:00; e70300-dr003
Kettering; 10/11; ; ; ; ; 9/10; 1; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leek Town; 21/10; ; ; ; ; 21/10; 23/10; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; 11/4; 11/4; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/leek-town-v-kettering; 2016-09-02 20:22:19 GMT+3; 2016-09-03 15:00; e70300-dr003
Kettering; 10/11; ; ; ; 1; 9/10; 1; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leek Town; 21/10; ; ; ; 12/5; 21/10; 12/5; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; 11/4; 11/4; 11/4; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/leek-town-v-kettering; 2016-09-02 21:46:21 GMT+3; 2016-09-03 15:00; e70300-dr003
Kettering; 10/11; ; ; ; 1; 9/10; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; 10/11; ; 
Leek Town; 21/10; ; ; ; 12/5; 21/10; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
Draw; 11/4; ; ; ; 11/4; 11/4; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
META; english/fa-cup/leek-town-v-kettering; 2016-09-02 23:46:06 GMT+3; 2016-09-03 15:00; e70300-dr003
Kettering; 10/11; ; 1; ; 1; 9/10; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leek Town; 21/10; ; 49/20; ; 12/5; 21/10; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; 27/10; ; 11/4; 11/4; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/leek-town-v-kettering; 2016-09-03 00:21:48 GMT+3; 2016-09-03 15:00; e70300-dr003
Kettering; 10/11; ; 1; ; 1; 9/10; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; 10/11; ; 
Leek Town; 21/10; ; 49/20; ; 12/5; 21/10; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
Draw; 11/4; ; 27/10; ; 11/4; 11/4; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
META; english/fa-cup/leek-town-v-kettering; 2016-09-03 00:48:49 GMT+3; 2016-09-03 15:00; e70300-dr003
Kettering; 10/11; ; 1; ; 1; 9/10; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leek Town; 21/10; ; 49/20; ; 12/5; 21/10; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; 27/10; ; 11/4; 11/4; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/leek-town-v-kettering; 2016-09-03 01:46:02 GMT+3; 2016-09-03 15:00; e70300-dr003
