META; english/fa-cup/westfields-v-curzon-ashton; 2016-10-30 20:24:37 GMT+3; 2016-11-05 15:00; e70300-dr003
Curzon Ashton; 8/13; 4/7; 8/13; ; 4/7; ; 4/7; ; ; ; 6/10; ; ; ; ; ; ; ; ; ; ; 5/8; ; ; ; ; ; ; 
Draw; 31/10; 3; 16/5; ; 3; ; 31/10; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; 
Westfields; 4; 4; 4; ; 4; ; 4; ; ; ; 15/4; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; 
META; english/fa-cup/westfields-v-curzon-ashton; 2016-10-31 00:23:05 GMT+3; 2016-11-05 15:00; e70300-dr003
Curzon Ashton; 8/13; 4/7; 8/13; ; 4/7; ; 4/7; ; ; ; 6/10; ; ; ; 3/5; ; ; ; ; ; ; 5/8; ; ; ; ; ; ; 
Draw; 31/10; 3; 16/5; ; 3; ; 31/10; ; ; ; 3; ; ; ; 16/5; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; 
Westfields; 4; 4; 4; ; 19/5; ; 4; ; ; ; 15/4; ; ; ; 15/4; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; 
META; english/fa-cup/westfields-v-curzon-ashton; 2016-10-31 04:22:38 GMT+3; 2016-11-05 15:00; e70300-dr003
Curzon Ashton; 8/13; 4/7; 8/13; ; 4/7; ; 4/7; ; ; ; 6/10; ; ; ; 3/5; ; ; ; ; ; ; 5/8; ; ; ; ; 4/11; ; 
Draw; 31/10; 3; 16/5; ; 3; ; 31/10; ; ; ; 3; ; ; ; 16/5; ; ; ; ; ; ; 10/3; ; ; ; ; 13/8; ; 
Westfields; 4; 4; 4; ; 19/5; ; 4; ; ; ; 15/4; ; ; ; 15/4; ; ; ; ; ; ; 9/2; ; ; ; ; 1/100; ; 
META; english/fa-cup/westfields-v-curzon-ashton; 2016-10-31 08:22:17 GMT+3; 2016-11-05 15:00; e70300-dr003
Curzon Ashton; 8/13; 4/7; 8/13; ; 4/7; ; 4/7; ; ; ; 6/10; ; ; ; 3/5; ; ; ; ; ; ; 5/8; ; ; ; ; 4/11; ; 
Draw; 31/10; 3; 16/5; ; 3; ; 31/10; ; ; ; 3; ; ; ; 16/5; ; ; ; ; ; ; 10/3; ; ; ; ; 13/8; ; 
Westfields; 4; 4; 4; ; 19/5; ; 4; ; ; ; 15/4; ; ; ; 15/4; ; ; ; ; ; ; 9/2; ; ; ; ; 17/10; ; 
META; english/fa-cup/westfields-v-curzon-ashton; 2016-10-31 12:23:15 GMT+3; 2016-11-05 15:00; e70300-dr003
Curzon Ashton; 8/13; 4/7; 8/13; ; 4/7; ; 4/7; ; 8/13; ; 6/10; ; ; ; 3/5; ; ; ; ; ; ; 5/8; ; ; ; ; 2/5; ; 
Draw; 31/10; 3; 16/5; ; 3; ; 31/10; ; 3; ; 3; ; ; ; 16/5; ; ; ; ; ; ; 10/3; ; ; ; ; 19/10; ; 
Westfields; 4; 4; 4; ; 19/5; ; 4; ; 17/4; ; 15/4; ; ; ; 15/4; ; ; ; ; ; ; 9/2; ; ; ; ; 1/50; ; 
META; english/fa-cup/westfields-v-curzon-ashton; 2016-10-31 16:23:11 GMT+3; 2016-11-05 15:00; e70300-dr003
Curzon Ashton; 8/13; 4/7; 8/13; 11/20; 4/7; ; 4/7; ; 8/13; ; 6/10; ; ; 8/15; 3/5; ; 5/9; ; 4/7; ; 5/9; 5/8; ; ; ; ; 1/2; ; 
Draw; 31/10; 3; 16/5; 3; 3; ; 16/5; ; 3; ; 3; ; ; 3; 16/5; ; 3; ; 31/10; ; 3; 10/3; ; ; ; ; 14/5; ; 
Westfields; 4; 4; 4; 7/2; 4; ; 4; ; 17/4; ; 15/4; ; ; 15/4; 15/4; ; 50/13; ; 4; ; 50/13; 9/2; ; ; ; ; 10/3; ; 
META; english/fa-cup/westfields-v-curzon-ashton; 2016-10-31 20:24:24 GMT+3; 2016-11-05 15:00; e70300-dr003
Curzon Ashton; 8/13; 4/7; 8/13; 11/20; 4/7; ; 4/7; ; 8/13; 11/20; 6/10; 8/15; ; 8/15; 3/5; ; 10/17; ; 4/7; ; 10/17; 5/8; ; ; 8/13; ; 1/2; ; 
Draw; 31/10; 3; 16/5; 16/5; 3; ; 31/10; ; 3; 7/2; 3; 3; ; 3; 16/5; ; 3; ; 31/10; ; 3; 10/3; ; ; 3; ; 14/5; ; 
Westfields; 4; 4; 4; 10/3; 19/5; ; 4; ; 17/4; 7/2; 15/4; 7/2; ; 18/5; 15/4; ; 50/13; ; 4; ; 50/13; 9/2; ; ; 4; ; 3; ; 
META; english/fa-cup/westfields-v-curzon-ashton; 2016-11-01 00:23:38 GMT+3; 2016-11-05 15:00; e70300-dr003
Curzon Ashton; 8/13; 8/13; 8/13; 11/20; 4/7; ; 11/20; 8/15; 8/13; 11/20; ; 8/15; ; 8/15; 3/5; ; 10/17; ; 4/7; ; 10/17; 5/8; ; ; 8/13; ; 1/2; ; 
Draw; 31/10; 10/3; 16/5; 16/5; 3; ; 33/10; 11/4; 3; 7/2; ; 3; ; 3; 16/5; ; 3; ; 31/10; ; 3; 10/3; ; ; 3; ; 14/5; ; 
Westfields; 4; 19/5; 4; 10/3; 19/5; ; 4; 4; 17/4; 7/2; ; 7/2; ; 18/5; 15/4; ; 50/13; ; 4; ; 50/13; 9/2; ; ; 4; ; 3; ; 
META; english/fa-cup/westfields-v-curzon-ashton; 2016-11-01 04:22:45 GMT+3; 2016-11-05 15:00; e70300-dr003
Curzon Ashton; 8/13; 8/13; 8/13; 11/20; 4/7; ; 11/20; 8/15; 8/13; 11/20; ; 8/15; ; 8/15; 3/5; ; 10/17; ; 4/7; ; 10/17; 5/8; ; ; 8/13; ; 1/2; ; 
Draw; 31/10; 10/3; 16/5; 16/5; 3; ; 33/10; 11/4; 3; 7/2; ; 3; ; 3; 16/5; ; 3; ; 31/10; ; 3; 10/3; ; ; 3; ; 14/5; ; 
Westfields; 4; 19/5; 4; 10/3; 19/5; ; 4; 4; 17/4; 7/2; ; 7/2; ; 18/5; 15/4; ; 39/10; ; 4; ; 39/10; 9/2; ; ; 4; ; 3; ; 
META; english/fa-cup/westfields-v-curzon-ashton; 2016-11-01 08:22:51 GMT+3; 2016-11-05 15:00; e70300-dr003
Curzon Ashton; 8/13; 8/13; 8/13; 11/20; 4/7; ; 4/7; 8/15; 8/13; 11/20; ; 8/15; ; 8/15; 3/5; ; 10/17; ; 4/7; ; 10/17; 5/8; ; ; 8/13; ; 1/2; ; 
Draw; 31/10; 10/3; 16/5; 16/5; 3; ; 16/5; 11/4; 3; 7/2; ; 3; ; 3; 16/5; ; 3; ; 31/10; ; 3; 10/3; ; ; 3; ; 14/5; ; 
Westfields; 4; 19/5; 4; 10/3; 19/5; ; 19/5; 4; 17/4; 7/2; ; 7/2; ; 18/5; 15/4; ; 39/10; ; 4; ; 39/10; 9/2; ; ; 4; ; 3; ; 
META; english/fa-cup/westfields-v-curzon-ashton; 2016-11-01 12:23:11 GMT+3; 2016-11-05 15:00; e70300-dr003
Curzon Ashton; 8/13; 8/13; 8/13; 11/20; 4/7; ; 4/7; 8/15; 8/13; 11/20; ; 8/15; ; 8/15; 3/5; ; 10/17; ; 4/7; ; 10/17; 5/8; ; ; 8/13; ; 1/2; ; 
Draw; 31/10; 10/3; 16/5; 16/5; 3; ; 16/5; 11/4; 3; 7/2; ; 3; ; 3; 16/5; ; 56/19; ; 31/10; ; 56/19; 10/3; ; ; 3; ; 14/5; ; 
Westfields; 4; 19/5; 4; 10/3; 19/5; ; 19/5; 4; 17/4; 7/2; ; 7/2; ; 18/5; 15/4; ; 39/10; ; 4; ; 39/10; 9/2; ; ; 4; ; 3; ; 
META; english/fa-cup/westfields-v-curzon-ashton; 2016-11-01 16:25:10 GMT+3; 2016-11-05 15:00; e70300-dr003
Curzon Ashton; 8/13; 8/13; 8/13; 11/20; 4/7; ; 4/7; 8/15; 8/13; 11/20; 6/10; 8/15; ; 8/15; 3/5; 4/7; 10/17; ; 4/7; ; 10/17; 7/11; ; ; 8/13; ; 1/2; ; 
Draw; 31/10; 10/3; 16/5; 16/5; 3; ; 16/5; 11/4; 3; 7/2; 3; 3; ; 3; 16/5; 3; 3; ; 31/10; ; 3; 13/4; ; ; 3; ; 14/5; ; 
Westfields; 4; 19/5; 4; 10/3; 19/5; ; 19/5; 4; 17/4; 7/2; 15/4; 7/2; ; 18/5; 15/4; 4; 50/13; ; 4; ; 50/13; 41/10; ; ; 4; ; 3; ; 
META; english/fa-cup/westfields-v-curzon-ashton; 2016-11-01 20:24:30 GMT+3; 2016-11-05 15:00; e70300-dr003
Curzon Ashton; 8/13; 8/13; 8/13; 11/20; 4/7; ; 4/7; 8/15; 8/13; 11/20; 6/10; 8/15; ; 8/15; 3/5; 4/7; 10/17; ; 4/7; ; 10/17; 7/11; ; ; 8/13; ; 1/2; ; 
Draw; 31/10; 10/3; 16/5; 16/5; 3; ; 16/5; 11/4; 3; 7/2; 3; 3; ; 3; 16/5; 3; 3; ; 31/10; ; 3; 13/4; ; ; 3; ; 14/5; ; 
Westfields; 4; 19/5; 4; 10/3; 19/5; ; 19/5; 4; 17/4; 7/2; 15/4; 7/2; ; 18/5; 15/4; 4; 50/13; ; 4; ; 50/13; 41/10; ; ; 4; ; 3; ; 
META; english/fa-cup/westfields-v-curzon-ashton; 2016-11-02 00:24:42 GMT+3; 2016-11-05 15:00; e70300-dr003
Curzon Ashton; 8/13; 8/13; 8/13; 11/20; 4/7; ; 4/7; 8/15; 8/13; 11/20; 6/10; 8/15; ; 8/15; 3/5; 4/7; 10/17; ; 4/7; ; 10/17; 7/11; ; ; 8/13; ; 1/2; ; 
Draw; 31/10; 10/3; 16/5; 16/5; 3; ; 16/5; 11/4; 3; 7/2; 3; 3; ; 3; 16/5; 3; 3; ; 31/10; ; 3; 13/4; ; ; 3; ; 14/5; ; 
Westfields; 4; 19/5; 4; 10/3; 19/5; ; 19/5; 4; 17/4; 7/2; 15/4; 7/2; ; 18/5; 15/4; 4; 50/13; ; 4; ; 50/13; 41/10; ; ; 4; ; 3; ; 
META; english/fa-cup/westfields-v-curzon-ashton; 2016-11-02 04:23:35 GMT+3; 2016-11-05 15:00; e70300-dr003
Curzon Ashton; 8/13; 8/13; 8/13; 11/20; 4/7; ; 11/20; 8/15; 8/13; 11/20; 6/10; 8/15; ; 8/15; 3/5; 4/7; 10/17; ; 4/7; ; 10/17; 7/11; ; ; 8/13; ; 1/2; ; 
