META; english/fa-cup/mk-dons-v-spennymoor-town; 2016-10-30 20:24:04 GMT+3; 2016-11-05 15:00; e70300-dr003
MK Dons; 1/5; 1/6; ; ; 1/6; ; 2/13; ; ; ; 2/11; ; ; ; ; ; ; ; ; ; ; 2/9; ; ; ; ; ; ; 
Draw; 11/2; 11/2; ; ; 11/2; ; 11/2; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; 
Spennymoor Town; 12; 14; ; ; 12; ; 16; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; 29/2; ; ; ; ; ; ; 
META; english/fa-cup/mk-dons-v-spennymoor-town; 2016-10-31 00:22:40 GMT+3; 2016-11-05 15:00; e70300-dr003
MK Dons; 1/5; 1/6; ; ; 2/11; ; 1/6; ; ; ; 2/11; ; ; ; 1/5; ; ; ; ; ; ; 2/9; ; ; ; ; ; ; 
Draw; 11/2; 11/2; ; ; 5; ; 11/2; ; ; ; 11/2; ; ; ; 11/2; ; ; ; ; ; ; 6; ; ; ; ; ; ; 
Spennymoor Town; 12; 14; ; ; 12; ; 14; ; ; ; 14; ; ; ; 11; ; ; ; ; ; ; 29/2; ; ; ; ; ; ; 
META; english/fa-cup/mk-dons-v-spennymoor-town; 2016-10-31 04:22:10 GMT+3; 2016-11-05 15:00; e70300-dr003
MK Dons; 1/5; 1/6; ; ; 2/11; ; 1/6; ; ; ; 2/11; ; ; ; 1/5; ; ; ; ; ; ; 2/9; ; ; ; ; 1/50; ; 
Draw; 11/2; 11/2; ; ; 5; ; 11/2; ; ; ; 11/2; ; ; ; 11/2; ; ; ; ; ; ; 6; ; ; ; ; 1/50; ; 
Spennymoor Town; 12; 14; ; ; 12; ; 14; ; ; ; 14; ; ; ; 11; ; ; ; ; ; ; 29/2; ; ; ; ; 1/50; ; 
META; english/fa-cup/mk-dons-v-spennymoor-town; 2016-10-31 08:21:53 GMT+3; 2016-11-05 15:00; e70300-dr003
MK Dons; 1/5; 1/6; ; ; 2/11; ; 1/6; ; ; ; 2/11; ; ; ; 1/5; ; ; ; ; ; ; 2/9; ; ; ; ; 1/50; ; 
Draw; 11/2; 11/2; ; ; 5; ; 11/2; ; ; ; 11/2; ; ; ; 11/2; ; ; ; ; ; ; 6; ; ; ; ; 1/50; ; 
Spennymoor Town; 12; 14; ; ; 12; ; 14; ; ; ; 14; ; ; ; 11; ; ; ; ; ; ; 29/2; ; ; ; ; 1/50; ; 
META; english/fa-cup/mk-dons-v-spennymoor-town; 2016-10-31 12:22:44 GMT+3; 2016-11-05 15:00; e70300-dr003
MK Dons; 1/5; 1/6; ; ; 2/11; ; 1/6; ; 1/5; ; 2/11; ; ; ; 1/5; ; ; ; ; ; ; 2/9; ; ; ; ; 1/25; ; 
Draw; 11/2; 11/2; ; ; 5; ; 11/2; ; 11/2; ; 11/2; ; ; ; 11/2; ; ; ; ; ; ; 6; ; ; ; ; 5/6; ; 
Spennymoor Town; 12; 14; ; ; 12; ; 14; ; 12; ; 14; ; ; ; 11; ; ; ; ; ; ; 29/2; ; ; ; ; 8/11; ; 
META; english/fa-cup/mk-dons-v-spennymoor-town; 2016-10-31 16:22:44 GMT+3; 2016-11-05 15:00; e70300-dr003
MK Dons; 1/5; 1/6; ; 1/5; 1/6; ; 2/13; ; 1/5; ; 2/11; ; ; 3/20; 1/5; ; 2/11; ; 1/5; ; 2/11; 2/9; ; ; ; ; 2/15; ; 
Draw; 11/2; 11/2; ; 11/2; 11/2; ; 6; ; 11/2; ; 11/2; ; ; 11/2; 11/2; ; 5; ; 5; ; 5; 6; ; ; ; ; 24/5; ; 
Spennymoor Town; 12; 14; ; 12; 12; ; 14; ; 12; ; 14; ; ; 12; 11; ; 21/2; ; 11; ; 21/2; 29/2; ; ; ; ; 54/5; ; 
META; english/fa-cup/mk-dons-v-spennymoor-town; 2016-10-31 20:23:53 GMT+3; 2016-11-05 15:00; e70300-dr003
MK Dons; 1/5; 1/6; ; 2/11; 1/6; ; 2/13; 1/6; 1/5; 1/6; ; 1/7; ; 2/13; 1/5; ; 3/16; ; 1/5; ; 3/16; 2/9; ; ; 1/5; ; 2/15; ; 
Draw; 11/2; 11/2; ; 6; 11/2; ; 6; 5; 11/2; 11/2; ; 5; ; 11/2; 11/2; ; 51/10; ; 5; ; 51/10; 6; ; ; 11/2; ; 24/5; ; 
Spennymoor Town; 12; 14; ; 12; 12; ; 14; 10; 12; 11; ; 11; ; 11; 11; ; 43/4; ; 11; ; 43/4; 29/2; ; ; 12; ; 10; ; 
META; english/fa-cup/mk-dons-v-spennymoor-town; 2016-11-01 00:23:07 GMT+3; 2016-11-05 15:00; e70300-dr003
MK Dons; 1/5; 1/5; ; 2/11; 1/6; ; 2/13; 1/6; 1/5; 1/6; ; 1/7; ; 2/13; 1/5; ; 3/16; ; 1/5; ; 3/16; 2/9; ; ; 1/5; ; 2/15; ; 
Draw; 11/2; 11/2; ; 6; 11/2; ; 6; 5; 11/2; 11/2; ; 5; ; 11/2; 11/2; ; 51/10; ; 5; ; 51/10; 6; ; ; 11/2; ; 24/5; ; 
Spennymoor Town; 12; 12; ; 12; 11; ; 14; 10; 12; 11; ; 11; ; 11; 11; ; 43/4; ; 11; ; 43/4; 29/2; ; ; 12; ; 10; ; 
META; english/fa-cup/mk-dons-v-spennymoor-town; 2016-11-01 04:22:15 GMT+3; 2016-11-05 15:00; e70300-dr003
MK Dons; 1/5; 1/5; ; 2/11; 1/6; ; 2/13; 1/6; 1/5; 1/6; ; 1/7; ; 2/13; 1/5; ; 3/16; ; 1/5; ; 3/16; 2/9; ; ; 1/5; ; 2/15; ; 
Draw; 11/2; 11/2; ; 6; 11/2; ; 6; 5; 11/2; 11/2; ; 5; ; 11/2; 11/2; ; 51/10; ; 5; ; 51/10; 6; ; ; 11/2; ; 24/5; ; 
Spennymoor Town; 12; 12; ; 12; 11; ; 14; 10; 12; 11; ; 11; ; 11; 11; ; 43/4; ; 11; ; 43/4; 29/2; ; ; 12; ; 10; ; 
META; english/fa-cup/mk-dons-v-spennymoor-town; 2016-11-01 08:22:20 GMT+3; 2016-11-05 15:00; e70300-dr003
