META; english/fa-cup/gillingham-v-brackley; 2016-10-30 20:23:55 GMT+3; 2016-11-05 15:00; e70300-dr003
Gillingham; 4/11; 1/3; 4/11; ; 1/3; ; 3/10; ; ; ; 1/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 4; 4; 4; ; 19/5; ; 4; ; ; ; 15/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Brackley; 7; 7; 15/2; ; 7; ; 15/2; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/gillingham-v-brackley; 2016-10-31 00:22:34 GMT+3; 2016-11-05 15:00; e70300-dr003
Gillingham; 4/11; 1/3; 4/11; ; 1/3; ; 1/3; ; ; ; 1/3; ; ; ; 7/20; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 4; 4; 4; ; 19/5; ; 4; ; ; ; 15/4; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Brackley; 7; 7; 15/2; ; 13/2; ; 7; ; ; ; 7; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/gillingham-v-brackley; 2016-10-31 04:22:05 GMT+3; 2016-11-05 15:00; e70300-dr003
Gillingham; 4/11; 1/3; 4/11; ; 1/3; ; 1/3; ; ; ; 1/3; ; ; ; 7/20; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 4; 4; 4; ; 19/5; ; 4; ; ; ; 15/4; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Brackley; 7; 7; 15/2; ; 13/2; ; 7; ; ; ; 7; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/fa-cup/gillingham-v-brackley; 2016-10-31 08:21:49 GMT+3; 2016-11-05 15:00; e70300-dr003
Gillingham; 4/11; 1/3; 4/11; ; 1/3; ; 1/3; ; ; ; 1/3; ; ; ; 7/20; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 4; 4; 4; ; 19/5; ; 4; ; ; ; 15/4; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Brackley; 7; 7; 15/2; ; 13/2; ; 7; ; ; ; 7; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/fa-cup/gillingham-v-brackley; 2016-10-31 12:22:35 GMT+3; 2016-11-05 15:00; e70300-dr003
Gillingham; 4/11; 1/3; 4/11; ; 1/3; ; 1/3; ; 2/5; ; 1/3; ; ; ; 7/20; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 4; 4; 4; ; 19/5; ; 4; ; 17/4; ; 15/4; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Brackley; 7; 7; 15/2; ; 13/2; ; 7; ; 7; ; 7; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
META; english/fa-cup/gillingham-v-brackley; 2016-10-31 16:22:38 GMT+3; 2016-11-05 15:00; e70300-dr003
Gillingham; 4/11; 1/3; 4/11; 4/11; 1/3; ; 3/10; ; 1/3; ; 1/3; ; ; 3/10; 7/20; ; ; ; 3/10; ; ; ; ; ; ; ; 1/4; ; 
Draw; 4; 4; 4; 4; 19/5; ; 17/4; ; 17/4; ; 15/4; ; ; 15/4; 4; ; ; ; 17/4; ; ; ; ; ; ; ; 10/3; ; 
Brackley; 7; 7; 15/2; 15/2; 7; ; 15/2; ; 15/2; ; 7; ; ; 7; 13/2; ; ; ; 15/2; ; ; ; ; ; ; ; 32/5; ; 
META; english/fa-cup/gillingham-v-brackley; 2016-10-31 20:23:48 GMT+3; 2016-11-05 15:00; e70300-dr003
Gillingham; 4/11; 1/3; 4/11; 4/11; 1/3; ; 3/10; 3/10; 1/3; 7/20; ; 1/3; ; 3/10; 7/20; ; ; ; 3/10; ; ; ; ; ; 4/11; ; 1/4; ; 
Draw; 4; 4; 4; 4; 19/5; ; 21/5; 4; 17/4; 19/5; ; 10/3; ; 15/4; 4; ; ; ; 17/4; ; ; ; ; ; 4; ; 10/3; ; 
Brackley; 7; 7; 15/2; 15/2; 7; ; 15/2; 11/2; 15/2; 6; ; 6; ; 13/2; 13/2; ; ; ; 15/2; ; ; ; ; ; 7; ; 29/5; ; 
META; english/fa-cup/gillingham-v-brackley; 2016-11-01 00:23:00 GMT+3; 2016-11-05 15:00; e70300-dr003
Gillingham; 4/11; 4/11; 4/11; 4/11; 1/3; ; 3/10; 3/10; 1/3; 7/20; ; 1/3; ; 3/10; 7/20; ; ; ; 3/10; ; ; ; ; ; 4/11; ; 1/4; ; 
Draw; 4; 19/5; 4; 4; 19/5; ; 21/5; 4; 17/4; 19/5; ; 10/3; ; 15/4; 4; ; ; ; 17/4; ; ; ; ; ; 4; ; 10/3; ; 
Brackley; 7; 7; 15/2; 15/2; 13/2; ; 15/2; 11/2; 15/2; 6; ; 6; ; 13/2; 13/2; ; ; ; 15/2; ; ; ; ; ; 7; ; 29/5; ; 
META; english/fa-cup/gillingham-v-brackley; 2016-11-01 04:22:11 GMT+3; 2016-11-05 15:00; e70300-dr003
Gillingham; 4/11; 4/11; 4/11; 4/11; 1/3; ; 3/10; 3/10; 1/3; 7/20; ; 1/3; ; 3/10; 7/20; ; ; ; 3/10; ; ; ; ; ; 4/11; ; 1/4; ; 
Draw; 4; 19/5; 4; 4; 19/5; ; 21/5; 4; 17/4; 19/5; ; 10/3; ; 15/4; 4; ; ; ; 17/4; ; ; ; ; ; 4; ; 10/3; ; 
