META; english/fa-cup/slimbridge-v-fleet-town; 2016-09-06 12:23:20 GMT+3; 2016-09-07 19:45; e70300-dr003
Slimbridge; 1; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleet Town; 2; ; ; ; ; ; 85/40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/slimbridge-v-fleet-town; 2016-09-06 12:59:00 GMT+3; 2016-09-07 19:45; e70300-dr003
Slimbridge; 1; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleet Town; 2; ; ; ; ; ; 85/40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/slimbridge-v-fleet-town; 2016-09-06 13:46:50 GMT+3; 2016-09-07 19:45; e70300-dr003
Slimbridge; 1; 21/20; ; ; ; ; 23/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 1; ; ; ; ; ; ; ; ; 
Fleet Town; 2; 19/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 2; ; ; 21/10; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 13/5; ; ; 5/2; ; ; ; ; ; ; ; ; 
META; english/fa-cup/slimbridge-v-fleet-town; 2016-09-06 16:23:11 GMT+3; 2016-09-07 19:45; e70300-dr003
Slimbridge; 1; 1; ; ; 11/10; ; 11/10; ; ; ; ; ; ; ; ; ; 21/20; ; ; 1; ; ; ; ; ; ; ; ; 
Fleet Town; 2; 2; ; ; 11/5; ; 11/5; ; ; ; ; ; ; ; ; ; 2; ; ; 21/10; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 11/4; ; ; 5/2; ; ; ; ; ; ; ; ; 
META; english/fa-cup/slimbridge-v-fleet-town; 2016-09-06 17:46:43 GMT+3; 2016-09-07 19:45; e70300-dr003
Slimbridge; 1; 1; ; ; 11/10; ; 11/10; ; ; ; ; ; ; ; ; ; 21/20; ; ; 1; ; ; ; ; ; ; ; ; 
Fleet Town; 2; 2; ; ; 11/5; ; 11/5; ; ; ; ; ; ; ; ; ; 2; ; ; 21/10; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 11/4; ; ; 5/2; ; ; ; ; ; ; ; ; 
META; english/fa-cup/slimbridge-v-fleet-town; 2016-09-06 18:31:35 GMT+3; 2016-09-07 19:45; e70300-dr003
Slimbridge; 1; 1; ; ; 11/10; ; 11/10; ; ; ; ; ; ; ; ; ; 21/20; 1; ; 1; ; 1; ; ; ; ; ; ; 
Fleet Town; 2; 21/10; ; ; 11/5; ; 11/5; ; ; ; ; ; ; ; ; ; 11/5; 2; ; 21/10; ; 2; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 5/2; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/slimbridge-v-fleet-town; 2016-09-06 19:46:26 GMT+3; 2016-09-07 19:45; e70300-dr003
Slimbridge; 1; 1; ; ; 11/10; ; 21/20; ; ; ; ; ; ; ; ; ; 21/20; 1; ; 1; ; 1; ; ; ; ; ; ; 
Fleet Town; 2; 21/10; ; ; 11/5; ; 9/4; ; ; ; ; ; ; ; ; ; 11/5; 2; ; 21/10; ; 2; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 5/2; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/slimbridge-v-fleet-town; 2016-09-06 20:22:53 GMT+3; 2016-09-07 19:45; e70300-dr003
Slimbridge; 1; 1; ; ; 11/10; ; 21/20; ; ; ; ; ; ; ; ; ; 21/20; 1; ; 1; ; 1; ; ; ; ; ; ; 
Fleet Town; 2; 21/10; ; ; 11/5; ; 9/4; ; ; ; ; ; ; ; ; ; 11/5; 2; ; 21/10; ; 2; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 5/2; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/slimbridge-v-fleet-town; 2016-09-06 21:46:23 GMT+3; 2016-09-07 19:45; e70300-dr003
Slimbridge; 1; 1; ; ; 21/20; ; 21/20; ; ; ; ; ; ; ; ; ; 21/20; 1; ; 1; ; 1; ; ; ; ; ; ; 
Fleet Town; 2; 21/10; ; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; 11/5; 2; ; 21/10; ; 2; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 5/2; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/slimbridge-v-fleet-town; 2016-09-06 23:45:45 GMT+3; 2016-09-07 19:45; e70300-dr003
Slimbridge; 1; 1; ; ; 21/20; ; 21/20; ; ; ; ; ; ; ; ; ; 21/20; 1; ; 1; ; 1; ; ; ; ; ; ; 
Fleet Town; 2; 21/10; ; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; 11/5; 2; ; 21/10; ; 2; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 5/2; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/slimbridge-v-fleet-town; 2016-09-07 00:22:31 GMT+3; 2016-09-07 19:45; e70300-dr003
Slimbridge; 1; 1; ; ; 21/20; ; 21/20; ; ; ; ; ; ; ; ; ; 21/20; 1; ; 1; ; 1; ; ; ; ; ; ; 
Fleet Town; 2; 21/10; ; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; 11/5; 2; ; 21/10; ; 2; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 5/2; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/slimbridge-v-fleet-town; 2016-09-07 00:54:28 GMT+3; 2016-09-07 19:45; e70300-dr003
Slimbridge; 1; 1; ; ; 21/20; ; 21/20; ; ; ; ; ; ; ; ; ; 21/20; 1; ; 1; ; 1; ; ; ; ; ; ; 
Fleet Town; 2; 21/10; ; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; 11/5; 2; ; 21/10; ; 2; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 5/2; ; 28/11; ; ; ; ; ; ; 
