META; english/fa-cup/man-utd-v-wigan; 2017-01-11 16:26:03 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; 1/100; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-12 00:22:37 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; 1/100; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-12 04:22:48 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; ; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; ; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; ; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-12 08:22:58 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; ; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; ; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; ; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-12 12:24:15 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; ; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; ; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; ; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-12 16:25:14 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; 13/5; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-12 20:24:04 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; 14/5; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-13 00:22:42 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; 14/5; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-13 04:22:38 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; 14/5; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-13 08:22:26 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; 14/5; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-13 12:26:43 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; 14/5; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-13 16:23:38 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; 14/5; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; 1/100; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-13 20:24:33 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; 14/5; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; 1/50; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-14 00:24:14 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; 14/5; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; 1/50; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-14 04:22:27 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; 14/5; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; 1/50; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-14 08:22:24 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; 14/5; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; 1/50; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-14 12:24:46 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; 14/5; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; 1/50; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-14 16:23:49 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; 1/8; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; 14/5; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; 1/50; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-14 20:25:51 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; ; ; ; 2/13; ; ; ; 2/13; ; ; 1/8; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; 1/100; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; ; ; ; 16; ; ; ; 16; ; ; 1/20; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-15 00:26:14 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; 1/7; 1/8; ; 2/13; 1/7; ; ; 2/13; ; ; 1/8; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; 7; 59/10; ; 13/2; 6; ; ; 13/2; ; ; 1/100; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; 20; 13; ; 16; 29/2; ; ; 16; ; ; 1/20; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-15 04:22:24 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; 1/7; 1/8; ; 2/13; 1/7; ; ; 2/13; ; ; 1/8; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; 7; 59/10; ; 13/2; 6; ; ; 13/2; ; ; 1/100; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; 20; 13; ; 16; 29/2; ; ; 16; ; ; 1/20; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-15 08:22:23 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; 1/7; 3/19; ; 2/13; 1/7; ; ; 2/13; ; ; 1/8; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; 7; 27/5; ; 13/2; 6; ; ; 13/2; ; ; 1/100; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; 20; 11; ; 16; 29/2; ; ; 16; ; ; 1/20; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-15 12:23:36 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; 1/7; 1/8; ; 2/13; 1/7; ; ; 2/13; ; ; 1/8; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; 7; 59/10; ; 13/2; 6; ; ; 13/2; ; ; 1/100; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; 20; 13; ; 16; 29/2; ; ; 16; ; ; 1/20; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-15 16:24:26 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; 1/7; 1/8; ; 2/13; 1/7; ; ; 2/13; ; ; 1/8; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; 7; 59/10; ; 13/2; 6; ; ; 13/2; ; ; 1/100; ; 
Wigan; ; ; ; ; ; ; 22; ; 16; ; ; 12; ; ; 20; 20; 13; ; 16; 29/2; ; ; 16; ; ; 1/20; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-15 20:23:24 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; 2/13; ; ; 1/8; ; ; 1/8; 1/7; 1/8; ; 2/13; 1/7; ; ; 2/13; ; ; 1/8; ; 
Draw; ; ; ; ; ; ; 13/2; ; 7; ; ; 11/2; ; ; 13/2; 7; 59/10; ; 13/2; 6; ; ; 13/2; ; ; 1/100; ; 
