META; english/fa-cup/luton-v-solihull-moors; 2016-11-18 20:25:45 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; ; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-19 00:24:20 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; ; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-19 04:24:00 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; ; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-19 08:24:37 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; ; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-19 12:25:40 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; ; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-19 16:25:42 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; ; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-20 00:25:22 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; ; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-20 04:23:50 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; ; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-20 08:24:11 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; ; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-20 12:25:08 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; ; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-20 16:26:52 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; 4/9; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; 7/2; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; 6; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-20 20:26:10 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; 4/9; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; 7/2; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; 6; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-21 00:24:29 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; 4/9; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; 7/2; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; 6; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-21 04:24:22 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; 4/9; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; 7/2; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; 6; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-21 08:24:38 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; 4/9; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; 7/2; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; 6; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-21 12:25:01 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; 4/9; ; 2/5; ; ; ; 2/5; ; 7/17; ; ; ; 7/17; ; ; ; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; 7/2; ; 10/3; ; ; ; 7/2; ; 16/5; ; ; ; 16/5; ; ; ; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; 6; ; 6; ; ; ; 6; ; 61/11; ; ; ; 61/11; ; ; ; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-21 16:25:05 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; 4/9; ; 2/5; ; ; ; 2/5; ; 7/17; ; ; ; 7/17; ; ; ; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; 7/2; ; 10/3; ; ; ; 7/2; ; 16/5; ; ; ; 16/5; ; ; ; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; 6; ; 6; ; ; ; 6; ; 61/11; ; ; ; 61/11; ; ; ; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-21 20:25:11 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; 4/9; ; 2/5; ; ; ; 2/5; ; 7/17; 4/9; ; 4/9; 7/17; ; ; 4/9; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; 7/2; ; 10/3; ; ; ; 7/2; ; 16/5; 13/4; ; 3; 16/5; ; ; 13/4; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; 6; ; 6; ; ; ; 6; ; 61/11; 13/2; ; 13/2; 61/11; ; ; 13/2; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-22 00:24:12 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; 4/9; ; 2/5; ; ; ; 2/5; ; 7/17; 4/9; ; 4/9; 7/17; ; ; 4/9; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; 7/2; ; 10/3; ; ; ; 7/2; ; 16/5; 13/4; ; 3; 16/5; ; ; 13/4; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; 6; ; 6; ; ; ; 6; ; 61/11; 13/2; ; 13/2; 61/11; ; ; 13/2; ; ; ; ; 
META; english/fa-cup/luton-v-solihull-moors; 2016-11-22 04:25:00 GMT+2; 2016-12-03 15:00; e70300-dr003
Luton; 4/9; 2/5; ; ; ; ; 2/5; ; 4/9; ; 2/5; ; ; ; 2/5; ; 7/17; 4/9; ; 4/9; 7/17; ; ; 4/9; ; ; ; ; 
Draw; 17/5; 10/3; ; ; ; ; 7/2; ; 7/2; ; 10/3; ; ; ; 7/2; ; 16/5; 13/4; ; 3; 16/5; ; ; 13/4; ; ; ; ; 
Solihull Moors; 6; 6; ; ; ; ; 6; ; 6; ; 6; ; ; ; 6; ; 61/11; 13/2; ; 13/2; 61/11; ; ; 13/2; ; ; ; ; 
