META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-10 20:25:34 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; ; ; ; 3/10; ; 1/3; ; ; ; ; ; ; ; ; 1/3; ; ; ; ; ; 6/17; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; 19/5; ; 9/2; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; 9/2; ; ; ; ; ; ; 
Bishop Auckland; 11/2; ; ; ; 6; ; 7; ; ; ; ; ; ; ; ; 13/2; ; ; ; ; ; 17/2; ; ; ; ; ; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-11 00:23:00 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; ; ; ; 2/7; ; 2/7; 1/4; ; ; ; ; ; ; ; 3/10; ; ; ; ; ; 6/17; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; 4; ; 9/2; 4; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; 9/2; ; ; ; ; ; ; 
Bishop Auckland; 11/2; ; ; ; 6; ; 6; 6; ; ; ; ; ; ; ; 13/2; ; ; ; ; ; 17/2; ; ; ; ; ; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-11 04:23:32 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; ; ; ; 2/7; ; 2/7; 1/4; ; ; ; ; ; ; ; 3/10; ; ; ; ; ; 6/17; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; 4; ; 9/2; 4; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; 9/2; ; ; ; ; ; ; 
Bishop Auckland; 11/2; ; ; ; 6; ; 13/2; 6; ; ; ; ; ; ; ; 13/2; ; ; ; ; ; 17/2; ; ; ; ; ; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-11 08:23:49 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; ; ; ; 2/7; ; 2/7; 1/4; ; ; ; ; ; ; ; 3/10; ; ; ; ; ; 6/17; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; 4; ; 9/2; 4; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; 9/2; ; ; ; ; ; ; 
Bishop Auckland; 11/2; ; ; ; 6; ; 13/2; 6; ; ; ; ; ; ; ; 13/2; ; ; ; ; ; 17/2; ; ; ; ; ; ; 
META; english/fa-cup/stockport-v-bishop-auckland; 2016-10-11 12:24:52 GMT+3; 2016-10-15 15:00; e70300-dr003
Stockport; 2/7; ; ; ; 2/7; 2/7; 2/7; 1/4; 1/3; ; ; ; ; ; ; 3/10; 5/18; ; ; ; 5/18; 6/17; ; ; ; ; ; ; 
