META; english/fa-cup/consett-v-curzon-ashton; 2016-09-18 20:24:03 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; ; ; ; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Consett; 7/2; ; ; ; ; ; ; ; ; ; ; 19/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 00:22:18 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; ; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; 10/3; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Consett; 7/2; ; 17/4; ; ; ; ; ; ; ; ; 19/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 03:45:37 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; ; 4/7; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; ; 7/2; ; ; ; 7/2; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; ; 4; ; ; ; 19/5; ; ; 19/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 04:22:03 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; ; 4/7; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; ; 7/2; ; ; ; 7/2; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; ; 4; ; ; ; 19/5; ; ; 19/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 05:45:40 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; ; 4/7; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; ; 7/2; ; ; ; 7/2; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; ; 4; ; ; ; 19/5; ; ; 19/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 06:28:20 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; ; 4/7; ; ; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; ; 7/2; ; ; ; 7/2; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; ; 4; ; ; ; 19/5; ; ; 19/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 07:45:42 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; ; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; ; 7/2; ; 16/5; ; 7/2; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Consett; 7/2; 4; 17/4; ; 4; ; 15/4; ; 19/5; ; ; 19/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 08:22:22 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; ; 4/7; ; 11/20; ; 4/7; ; ; 8/15; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; ; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; ; 4; ; 17/4; ; 19/5; ; ; 19/5; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 09:45:37 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; ; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; ; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; ; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 11:45:38 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; ; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; ; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; ; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 12:22:17 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; ; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; ; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
Consett; 7/2; 15/4; 17/4; ; 4; ; 4; ; 19/5; ; ; 19/5; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/consett-v-curzon-ashton; 2016-09-19 12:51:13 GMT+3; 2016-09-20 19:45; e70300-dr003
Curzon Ashton; 8/15; 1/2; 4/7; ; 4/7; ; 4/7; ; 4/7; ; ; 8/15; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; 3; 10/3; ; 7/2; ; 7/2; ; 7/2; ; ; 3; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 
