META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-06 12:23:15 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lewes; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-06 12:58:56 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lewes; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-06 13:46:45 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; 
Lewes; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-06 15:46:39 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; 
Lewes; 7/5; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-06 16:23:06 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; 
Lewes; 7/5; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-06 17:46:39 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; 
Lewes; 7/5; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-06 18:31:30 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; 
Lewes; 7/5; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-06 19:46:22 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; 
Lewes; 7/5; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-06 20:22:49 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; 
Lewes; 7/5; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 
META; english/fa-cup/sevenoaks-town-v-lewes; 2016-09-06 21:46:17 GMT+3; 2016-09-07 19:30; e70300-dr003
Sevenoaks Town; 5/4; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; 
Lewes; 7/5; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; ; ; ; ; ; ; ; 
