META; english/fa-cup/dartford-v-sutton-utd; 2016-10-30 20:23:49 GMT+3; 2016-11-05 15:00; e70300-dr003
Sutton Utd; 6/5; 6/5; 5/4; ; 23/20; ; 23/20; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dartford; 21/10; 2; 11/5; ; 2; ; 21/10; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 12/5; 47/20; ; 12/5; ; 12/5; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/dartford-v-sutton-utd; 2016-10-31 00:22:30 GMT+3; 2016-11-05 15:00; e70300-dr003
Sutton Utd; 6/5; 6/5; 5/4; ; 23/20; ; 23/20; ; ; ; 6/5; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dartford; 21/10; 2; 11/5; ; 2; ; 21/10; ; ; ; 21/10; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 12/5; 47/20; ; 12/5; ; 12/5; ; ; ; 9/4; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/dartford-v-sutton-utd; 2016-10-31 04:22:00 GMT+3; 2016-11-05 15:00; e70300-dr003
Sutton Utd; 6/5; 6/5; 5/4; ; 23/20; ; 23/20; ; ; ; 6/5; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Dartford; 21/10; 2; 11/5; ; 2; ; 21/10; ; ; ; 21/10; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; 
Draw; 5/2; 12/5; 47/20; ; 12/5; ; 12/5; ; ; ; 9/4; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; 
META; english/fa-cup/dartford-v-sutton-utd; 2016-10-31 08:21:44 GMT+3; 2016-11-05 15:00; e70300-dr003
Sutton Utd; 6/5; 6/5; 5/4; ; 23/20; ; 23/20; ; ; ; 6/5; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Dartford; 21/10; 2; 11/5; ; 2; ; 21/10; ; ; ; 21/10; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; 
Draw; 5/2; 12/5; 47/20; ; 12/5; ; 12/5; ; ; ; 9/4; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; 
META; english/fa-cup/dartford-v-sutton-utd; 2016-10-31 12:22:28 GMT+3; 2016-11-05 15:00; e70300-dr003
