Draw; 3; ; 14/5; 13/5; 11/4; ; 3; 3; 3; ; ; ; 3; ; ; 10/3; ; ; ; ; ; 3; ; ; ; ; ; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-12 12:25:16 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/11; ; 4/5; 3/4; 7/10; ; 7/10; 4/6; 4/5; ; ; ; 10/13; ; ; 8/11; ; ; ; ; ; 5/6; ; ; ; ; ; ; 
Lincoln Utd; 5/2; ; 3; 14/5; 13/5; ; 14/5; 11/4; 14/5; ; ; ; 27/10; ; ; 14/5; ; ; ; ; ; 13/4; ; ; ; ; ; ; 
Draw; 3; ; 14/5; 13/5; 11/4; ; 3; 3; 3; ; ; ; 3; ; ; 10/3; ; ; ; ; ; 3; ; ; ; ; ; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-12 16:25:00 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/11; ; 4/5; 3/4; 7/10; ; 8/11; 4/6; 4/5; ; ; ; 10/13; ; ; 4/5; 5/7; ; 3/4; ; 5/7; 5/6; ; ; ; ; ; ; 
Draw; 3; ; 14/5; 13/5; 11/4; ; 3; 3; 3; ; ; ; 3; ; ; 3; 29/10; ; 3; ; 29/10; 3; ; ; ; ; ; ; 
Lincoln Utd; 5/2; ; 3; 14/5; 13/5; ; 11/4; 11/4; 14/5; ; ; ; 27/10; ; ; 14/5; 5/2; ; 13/5; ; 5/2; 13/4; ; ; ; ; ; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-12 20:24:47 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/11; ; 4/5; 4/5; 7/10; ; 8/11; 4/6; 4/5; ; ; ; 10/13; ; ; 4/5; 5/7; ; 3/4; ; 5/7; 5/6; ; ; ; ; ; ; 
