META; english/fa-cup/maidstone-v-rochdale; 2016-10-30 20:25:03 GMT+3; 2016-11-06 14:00; e70300-dr003
Rochdale; 8/11; 8/11; 3/4; ; 7/10; ; 7/10; ; ; ; 7/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 11/4; 27/10; ; 11/4; ; 11/4; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; 7/2; 10/3; 18/5; ; 10/3; ; 17/5; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/maidstone-v-rochdale; 2016-10-31 00:23:21 GMT+3; 2016-11-06 14:00; e70300-dr003
Rochdale; 8/11; 8/11; 3/4; ; 7/10; ; 7/10; ; ; ; 7/10; ; ; ; 7/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 11/4; 27/10; ; 11/4; ; 11/4; ; ; ; 13/5; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; 7/2; 10/3; 18/5; ; 10/3; ; 7/2; ; ; ; 7/2; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/maidstone-v-rochdale; 2016-10-31 04:22:55 GMT+3; 2016-11-06 14:00; e70300-dr003
Rochdale; 8/11; 8/11; 3/4; ; 7/10; ; 7/10; ; ; ; 7/10; ; ; ; 7/10; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 14/5; 11/4; 27/10; ; 11/4; ; 11/4; ; ; ; 13/5; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Maidstone; 7/2; 10/3; 18/5; ; 10/3; ; 7/2; ; ; ; 7/2; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
META; english/fa-cup/maidstone-v-rochdale; 2016-10-31 08:22:33 GMT+3; 2016-11-06 14:00; e70300-dr003
Rochdale; 8/11; 8/11; 3/4; ; 7/10; ; 7/10; ; ; ; 7/10; ; ; ; 7/10; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 14/5; 11/4; 27/10; ; 11/4; ; 11/4; ; ; ; 13/5; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Maidstone; 7/2; 10/3; 18/5; ; 10/3; ; 7/2; ; ; ; 7/2; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
META; english/fa-cup/maidstone-v-rochdale; 2016-10-31 12:23:38 GMT+3; 2016-11-06 14:00; e70300-dr003
Rochdale; 8/11; 8/11; 3/4; ; 7/10; ; 7/10; ; 8/11; ; 7/10; ; ; ; 7/10; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 14/5; 11/4; 27/10; ; 11/4; ; 11/4; ; 14/5; ; 13/5; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; 
Maidstone; 7/2; 10/3; 18/5; ; 10/3; ; 7/2; ; 7/2; ; 7/2; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; 
META; english/fa-cup/maidstone-v-rochdale; 2016-10-31 16:23:27 GMT+3; 2016-11-06 14:00; e70300-dr003
Rochdale; 8/11; 8/11; 3/4; 3/4; 7/10; ; 4/6; ; 8/11; ; 7/10; ; ; 13/20; 7/10; ; ; ; 7/10; ; ; ; ; ; ; ; 4/7; ; 
Draw; 14/5; 11/4; 27/10; 13/5; 11/4; ; 11/4; ; 14/5; ; 13/5; ; ; 5/2; 14/5; ; ; ; 11/4; ; ; ; ; ; ; ; 12/5; ; 
Maidstone; 7/2; 10/3; 18/5; 7/2; 10/3; ; 18/5; ; 7/2; ; 7/2; ; ; 10/3; 7/2; ; ; ; 17/5; ; ; ; ; ; ; ; 3; ; 
META; english/fa-cup/maidstone-v-rochdale; 2016-10-31 20:24:45 GMT+3; 2016-11-06 14:00; e70300-dr003
Rochdale; 8/11; 8/11; 3/4; 3/4; 7/10; ; 4/6; ; 8/11; 2/3; 7/10; 8/11; ; 13/20; 7/10; ; ; ; 7/10; ; ; ; ; ; ; ; 4/7; ; 
Draw; 14/5; 11/4; 27/10; 13/5; 11/4; ; 14/5; ; 14/5; 29/10; 13/5; 12/5; ; 5/2; 14/5; ; ; ; 11/4; ; ; ; ; ; ; ; 12/5; ; 
Maidstone; 7/2; 18/5; 18/5; 7/2; 10/3; ; 7/2; ; 7/2; 10/3; 7/2; 3; ; 10/3; 7/2; ; ; ; 17/5; ; ; ; ; ; ; ; 3; ; 
META; english/fa-cup/maidstone-v-rochdale; 2016-11-01 00:23:57 GMT+3; 2016-11-06 14:00; e70300-dr003
Rochdale; 8/11; 8/11; 3/4; 3/4; 7/10; ; 7/10; 8/11; 8/11; 2/3; ; 8/11; ; 13/20; 7/10; ; ; ; 7/10; ; ; ; ; ; ; ; 4/7; ; 
Draw; 14/5; 11/4; 27/10; 13/5; 11/4; ; 11/4; 11/4; 14/5; 29/10; ; 12/5; ; 5/2; 14/5; ; ; ; 11/4; ; ; ; ; ; ; ; 12/5; ; 
Maidstone; 7/2; 18/5; 18/5; 7/2; 10/3; ; 7/2; 7/2; 7/2; 10/3; ; 3; ; 10/3; 7/2; ; ; ; 17/5; ; ; ; ; ; ; ; 3; ; 
META; english/fa-cup/maidstone-v-rochdale; 2016-11-01 04:23:01 GMT+3; 2016-11-06 14:00; e70300-dr003
