META; english/fa-cup/stockport-v-woking; 2016-10-30 20:24:30 GMT+3; 2016-11-05 15:00; e70300-dr003
Stockport; 6/4; 3/2; 6/4; ; 7/5; ; 29/20; ; ; ; 29/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking; 8/5; 13/8; 13/8; ; 8/5; ; 8/5; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 12/5; 13/5; ; 12/5; ; 5/2; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/stockport-v-woking; 2016-10-31 00:23:00 GMT+3; 2016-11-05 15:00; e70300-dr003
Stockport; 6/4; 3/2; 6/4; ; 7/5; ; 29/20; ; ; ; 29/20; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking; 8/5; 13/8; 13/8; ; 8/5; ; 8/5; ; ; ; 31/20; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 12/5; 13/5; ; 12/5; ; 5/2; ; ; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/stockport-v-woking; 2016-10-31 04:22:33 GMT+3; 2016-11-05 15:00; e70300-dr003
Stockport; 6/4; 3/2; 6/4; ; 7/5; ; 29/20; ; ; ; 29/20; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; 
Woking; 8/5; 13/8; 13/8; ; 8/5; ; 8/5; ; ; ; 31/20; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 13/5; 12/5; 13/5; ; 12/5; ; 5/2; ; ; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; 
META; english/fa-cup/stockport-v-woking; 2016-10-31 08:22:13 GMT+3; 2016-11-05 15:00; e70300-dr003
Stockport; 6/4; 3/2; 6/4; ; 7/5; ; 29/20; ; ; ; 29/20; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; 
Woking; 8/5; 13/8; 13/8; ; 8/5; ; 8/5; ; ; ; 31/20; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 13/5; 12/5; 13/5; ; 12/5; ; 5/2; ; ; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; 
