META; english/fa-cup/portsmouth-v-wycombe; 2016-10-30 20:24:21 GMT+3; 2016-11-05 15:00; e70300-dr003
Portsmouth; 8/13; 8/13; 8/13; ; 4/7; ; 4/7; ; ; ; 6/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 14/5; 14/5; ; 11/4; ; 14/5; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wycombe; 9/2; 4; 9/2; ; 9/2; ; 9/2; ; ; ; 17/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/portsmouth-v-wycombe; 2016-10-31 00:22:55 GMT+3; 2016-11-05 15:00; e70300-dr003
Portsmouth; 8/13; 8/13; 8/13; ; 4/7; ; 4/7; ; ; ; 6/10; ; ; ; 3/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 14/5; 14/5; ; 11/4; ; 14/5; ; ; ; 27/10; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wycombe; 9/2; 4; 9/2; ; 9/2; ; 9/2; ; ; ; 17/4; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/portsmouth-v-wycombe; 2016-10-31 04:22:25 GMT+3; 2016-11-05 15:00; e70300-dr003
Portsmouth; 8/13; 8/13; 8/13; ; 4/7; ; 4/7; ; ; ; 6/10; ; ; ; 3/5; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; 
Draw; 14/5; 14/5; 14/5; ; 11/4; ; 14/5; ; ; ; 27/10; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Wycombe; 9/2; 4; 9/2; ; 9/2; ; 9/2; ; ; ; 17/4; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/fa-cup/portsmouth-v-wycombe; 2016-10-31 08:22:08 GMT+3; 2016-11-05 15:00; e70300-dr003
Portsmouth; 8/13; 8/13; 8/13; ; 4/7; ; 4/7; ; ; ; 6/10; ; ; ; 3/5; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; 
Draw; 14/5; 14/5; 14/5; ; 11/4; ; 14/5; ; ; ; 27/10; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Wycombe; 9/2; 4; 9/2; ; 9/2; ; 9/2; ; ; ; 17/4; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; 
META; english/fa-cup/portsmouth-v-wycombe; 2016-10-31 12:23:06 GMT+3; 2016-11-05 15:00; e70300-dr003
Portsmouth; 8/13; 8/13; 8/13; ; 4/7; ; 4/7; ; 8/13; ; 6/10; ; ; ; 3/5; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; 14/5; 14/5; 14/5; ; 11/4; ; 14/5; ; 3; ; 27/10; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; 
Wycombe; 9/2; 4; 9/2; ; 9/2; ; 9/2; ; 9/2; ; 17/4; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/fa-cup/portsmouth-v-wycombe; 2016-10-31 16:23:01 GMT+3; 2016-11-05 15:00; e70300-dr003
Portsmouth; 8/13; 8/13; 8/13; 8/13; 4/7; ; 4/7; ; 8/13; ; 6/10; ; ; 11/20; 3/5; ; 10/17; ; 4/7; ; 10/17; ; ; ; 8/13; ; 1/2; ; 
Draw; 14/5; 14/5; 14/5; 14/5; 11/4; ; 14/5; ; 3; ; 27/10; ; ; 13/5; 11/4; ; 45/17; ; 14/5; ; 45/17; ; ; ; 11/4; ; 5/2; ; 
Wycombe; 9/2; 4; 9/2; 9/2; 9/2; ; 9/2; ; 9/2; ; 17/4; ; ; 4; 9/2; ; 21/5; ; 9/2; ; 21/5; ; ; ; 9/2; ; 7/2; ; 
META; english/fa-cup/portsmouth-v-wycombe; 2016-10-31 20:24:11 GMT+3; 2016-11-05 15:00; e70300-dr003
Portsmouth; 8/13; 8/13; 8/13; 6/10; 4/7; ; 4/7; ; 8/13; 8/15; 6/10; 4/7; ; 11/20; 3/5; ; 10/17; ; 4/7; ; 10/17; ; ; ; 8/13; ; 1/2; ; 
Draw; 14/5; 14/5; 14/5; 14/5; 11/4; ; 14/5; ; 3; 3; 27/10; 5/2; ; 13/5; 11/4; ; 11/4; ; 14/5; ; 11/4; ; ; ; 11/4; ; 5/2; ; 
Wycombe; 9/2; 4; 9/2; 9/2; 9/2; ; 9/2; ; 9/2; 17/4; 17/4; 4; ; 4; 9/2; ; 43/10; ; 9/2; ; 43/10; ; ; ; 9/2; ; 7/2; ; 
META; english/fa-cup/portsmouth-v-wycombe; 2016-11-01 00:23:27 GMT+3; 2016-11-05 15:00; e70300-dr003
Portsmouth; 8/13; 8/13; 8/13; 6/10; 4/7; ; 4/7; 4/7; 8/13; 8/15; ; 4/7; ; 11/20; 3/5; ; 10/17; ; 4/7; ; 10/17; ; ; ; 8/13; ; 1/2; ; 
Draw; 14/5; 14/5; 14/5; 14/5; 11/4; ; 14/5; 13/5; 3; 3; ; 5/2; ; 13/5; 11/4; ; 11/4; ; 14/5; ; 11/4; ; ; ; 11/4; ; 12/5; ; 
Wycombe; 9/2; 9/2; 9/2; 9/2; 9/2; ; 9/2; 4; 9/2; 17/4; ; 4; ; 4; 9/2; ; 43/10; ; 9/2; ; 43/10; ; ; ; 9/2; ; 7/2; ; 
META; english/fa-cup/portsmouth-v-wycombe; 2016-11-01 04:22:30 GMT+3; 2016-11-05 15:00; e70300-dr003
Portsmouth; 8/13; 8/13; 8/13; 6/10; 4/7; ; 4/7; 4/7; 8/13; 8/15; ; 4/7; ; 11/20; 3/5; ; 10/17; ; 4/7; ; 10/17; ; ; ; 8/13; ; 1/2; ; 
Draw; 14/5; 14/5; 14/5; 14/5; 11/4; ; 14/5; 13/5; 3; 3; ; 5/2; ; 13/5; 11/4; ; 11/4; ; 14/5; ; 11/4; ; ; ; 11/4; ; 12/5; ; 
Wycombe; 9/2; 9/2; 9/2; 9/2; 9/2; ; 9/2; 4; 9/2; 17/4; ; 4; ; 4; 9/2; ; 17/4; ; 9/2; ; 17/4; ; ; ; 9/2; ; 7/2; ; 
META; english/fa-cup/portsmouth-v-wycombe; 2016-11-01 08:22:40 GMT+3; 2016-11-05 15:00; e70300-dr003
Portsmouth; 8/13; 8/13; 8/13; 6/10; 4/7; ; 4/7; 4/7; 8/13; 8/15; ; 4/7; ; 11/20; 3/5; ; 10/17; ; 4/7; ; 10/17; ; ; ; 8/13; ; 1/2; ; 
Draw; 14/5; 14/5; 14/5; 14/5; 11/4; ; 14/5; 13/5; 3; 3; ; 5/2; ; 13/5; 11/4; ; 11/4; ; 14/5; ; 11/4; ; ; ; 11/4; ; 12/5; ; 
Wycombe; 9/2; 9/2; 9/2; 9/2; 9/2; ; 9/2; 4; 9/2; 17/4; ; 4; ; 4; 9/2; ; 17/4; ; 9/2; ; 17/4; ; ; ; 9/2; ; 7/2; ; 
META; english/fa-cup/portsmouth-v-wycombe; 2016-11-01 12:23:00 GMT+3; 2016-11-05 15:00; e70300-dr003
Portsmouth; 8/13; 8/13; 8/13; 6/10; 4/7; ; 4/7; 4/7; 8/13; 8/15; ; 4/7; ; 11/20; 3/5; ; 11/18; ; 4/7; ; 11/18; ; ; ; 8/13; ; 1/2; ; 
Draw; 14/5; 14/5; 14/5; 14/5; 11/4; ; 14/5; 13/5; 3; 3; ; 5/2; ; 13/5; 11/4; ; 27/10; ; 14/5; ; 27/10; ; ; ; 11/4; ; 12/5; ; 
Wycombe; 9/2; 9/2; 9/2; 9/2; 9/2; ; 9/2; 4; 9/2; 17/4; ; 4; ; 4; 9/2; ; 17/4; ; 9/2; ; 17/4; ; ; ; 9/2; ; 7/2; ; 
META; english/fa-cup/portsmouth-v-wycombe; 2016-11-01 16:24:54 GMT+3; 2016-11-05 15:00; e70300-dr003
Portsmouth; 8/13; 8/13; 8/13; 6/10; 4/7; ; 4/7; 4/7; 8/13; 8/15; 6/10; 4/7; ; 11/20; 3/5; ; 10/17; ; 4/7; ; 10/17; ; ; ; 8/13; ; 1/2; ; 
Draw; 14/5; 14/5; 14/5; 14/5; 11/4; ; 14/5; 13/5; 3; 3; 27/10; 5/2; ; 13/5; 11/4; ; 27/10; ; 14/5; ; 27/10; ; ; ; 11/4; ; 12/5; ; 
Wycombe; 9/2; 9/2; 9/2; 9/2; 9/2; ; 9/2; 4; 9/2; 17/4; 17/4; 4; ; 4; 9/2; ; 17/4; ; 9/2; ; 17/4; ; ; ; 9/2; ; 7/2; ; 
META; english/fa-cup/portsmouth-v-wycombe; 2016-11-01 20:24:19 GMT+3; 2016-11-05 15:00; e70300-dr003
Portsmouth; 4/7; 8/13; 8/13; 8/13; 4/7; ; 4/7; 4/7; 8/13; 8/13; 6/10; 4/7; 4/7; 4/7; 3/5; ; 10/17; ; 4/7; ; 10/17; ; ; ; 6/10; ; 8/15; ; 
Draw; 14/5; 14/5; 14/5; 3; 11/4; ; 14/5; 13/5; 3; 14/5; 27/10; 5/2; 14/5; 12/5; 11/4; ; 13/5; ; 14/5; ; 13/5; ; ; ; 13/5; ; 11/5; ; 
Wycombe; 5; 9/2; 9/2; 4; 9/2; ; 22/5; 4; 9/2; 17/4; 17/4; 4; 19/4; 9/2; 9/2; ; 9/2; ; 9/2; ; 9/2; ; ; ; 5; ; 4; ; 
META; english/fa-cup/portsmouth-v-wycombe; 2016-11-02 00:24:26 GMT+3; 2016-11-05 15:00; e70300-dr003
