META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-02 16:23:56 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hadley; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-02 20:24:34 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; ; ; ; ; 1/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hadley; 11/2; ; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-03 00:22:30 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; ; ; ; ; 1/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hadley; 11/2; ; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-03 04:21:59 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; ; ; ; ; 1/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hadley; 11/2; ; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-03 05:45:40 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; ; ; ; ; 1/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hadley; 11/2; ; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-03 06:29:34 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; ; ; ; ; 1/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hadley; 11/2; ; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-03 07:45:36 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; ; ; ; ; 1/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hadley; 11/2; ; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-03 08:22:14 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; ; ; ; ; 1/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hadley; 11/2; ; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-03 09:45:36 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; ; ; ; ; 1/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hadley; 11/2; ; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-03 11:45:36 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; ; ; 2/7; ; 1/3; ; 1/3; ; ; 2/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; 9/2; ; 9/2; ; 21/4; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hadley; 11/2; ; ; ; 11/2; ; 7; ; 13/2; ; ; 15/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-03 12:22:32 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; 1/3; ; 2/7; ; 1/3; ; 1/3; ; ; 2/7; ; ; ; ; 3/10; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/2; ; 17/4; ; 4; ; 9/2; ; 21/4; ; ; 4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; 
Hadley; 11/2; ; 8; ; 6; ; 7; ; 13/2; ; ; 15/2; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-03 12:47:23 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; 1/3; ; 2/7; ; 1/3; ; 1/3; ; ; 2/7; ; ; ; ; 3/10; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/2; ; 17/4; ; 4; ; 9/2; ; 21/4; ; ; 4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; 
Hadley; 11/2; ; 8; ; 6; ; 7; ; 13/2; ; ; 15/2; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-03 13:45:37 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; 1/3; 2/7; 2/7; ; 1/3; 1/4; 1/3; ; ; 2/7; ; ; ; ; 3/10; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/2; ; 17/4; 4; 4; ; 9/2; 9/2; 21/4; ; ; 4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; 
Hadley; 11/2; ; 8; 6; 6; ; 7; 6; 13/2; ; ; 15/2; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-03 15:45:36 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; 1/3; 2/7; 2/7; ; 1/3; 1/4; 1/3; ; ; 2/7; ; ; ; ; 3/10; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/2; ; 17/4; 4; 4; ; 9/2; 9/2; 21/4; ; ; 4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; 
Hadley; 11/2; ; 8; 6; 6; ; 7; 6; 13/2; ; ; 15/2; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-03 16:24:04 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; 1/3; 3/10; 2/7; ; 1/3; 1/4; 1/3; ; ; 2/7; ; ; ; ; 3/10; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; 9/2; ; 17/4; 15/4; 4; ; 9/2; 9/2; 21/4; ; ; 4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 2/9; ; 
Hadley; 11/2; ; 8; 7; 6; ; 7; 6; 13/2; ; ; 15/2; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-03 17:45:41 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; 1/3; 2/7; 2/7; ; 3/10; 1/4; 1/3; ; ; 2/7; ; ; ; ; 3/10; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; 9/2; ; 17/4; 4; 4; ; 9/2; 9/2; 21/4; ; ; 4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 7/2; ; 
Hadley; 11/2; ; 8; 13/2; 6; ; 8; 6; 13/2; ; ; 15/2; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; 23/5; ; 
META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-03 18:31:40 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; 1/3; 2/7; 2/7; ; 3/10; 1/4; 1/3; ; ; 2/7; ; ; 1/4; ; 3/10; ; ; ; ; ; ; ; ; ; 2/9; ; 
Draw; 9/2; ; 17/4; 4; 4; ; 9/2; 9/2; 21/4; ; ; 4; ; ; 4; ; 9/2; ; ; ; ; ; ; ; ; ; 7/2; ; 
Hadley; 11/2; ; 8; 13/2; 6; ; 8; 6; 13/2; ; ; 15/2; ; ; 15/2; ; 7; ; ; ; ; ; ; ; ; ; 34/5; ; 
META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-03 19:45:43 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; 1/3; 3/10; 2/7; ; 3/10; 1/4; 1/3; ; ; 2/7; ; ; 1/4; ; 3/10; ; ; ; ; ; ; ; ; ; 2/9; ; 
Draw; 9/2; ; 17/4; 4; 4; ; 9/2; 9/2; 21/4; ; ; 4; ; ; 4; ; 9/2; ; ; ; ; ; ; ; ; ; 7/2; ; 
Hadley; 11/2; ; 8; 13/2; 13/2; ; 8; 6; 13/2; ; ; 15/2; ; ; 15/2; ; 7; ; ; ; ; ; ; ; ; ; 34/5; ; 
META; english/fa-cup/hadley-v-eastbourne-borough; 2016-10-03 20:25:22 GMT+3; 2016-10-05 19:45; e70300-dr003
Eastbourne Borough; 2/7; ; 1/3; 3/10; 2/7; ; 3/10; 1/4; 1/3; ; ; 2/7; ; ; 1/4; ; 3/10; ; ; ; ; ; ; ; ; ; 2/9; ; 
Draw; 9/2; ; 17/4; 4; 4; ; 9/2; 9/2; 21/4; ; ; 4; ; ; 4; ; 9/2; ; ; ; ; ; ; ; ; ; 7/2; ; 
Hadley; 11/2; ; 8; 13/2; 13/2; ; 8; 6; 13/2; ; ; 15/2; ; ; 15/2; ; 7; ; ; ; ; ; ; ; ; ; 34/5; ; 
