META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-18 20:24:30 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; ; ; ; ; ; ; ; ; ; ; 1/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 6; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bridlington Town; 8; ; ; ; ; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 00:22:38 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; ; 2/11; ; ; ; ; ; ; ; ; 1/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 6; ; 6; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bridlington Town; 8; ; 13; ; ; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 03:45:59 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; ; ; ; ; ; 1/5; ; ; 1/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 6; 11/2; 6; ; ; ; ; ; 7; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bridlington Town; 8; 9; 13; ; ; ; ; ; 10; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 04:22:25 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; ; ; ; ; ; 1/5; ; ; 1/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 6; 11/2; 6; ; ; ; ; ; 7; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bridlington Town; 8; 9; 13; ; ; ; ; ; 10; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 05:46:00 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; ; ; ; ; ; 1/5; ; ; 1/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 6; 11/2; 6; ; ; ; ; ; 7; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bridlington Town; 8; 9; 13; ; ; ; ; ; 10; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 06:28:42 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; ; ; ; ; ; 1/5; ; ; 1/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 6; 11/2; 6; ; ; ; ; ; 7; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bridlington Town; 8; 9; 13; ; ; ; ; ; 10; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 07:46:01 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; ; ; ; ; ; 1/5; ; ; 1/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 6; 11/2; 6; ; ; ; ; ; 7; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bridlington Town; 8; 9; 13; ; ; ; ; ; 10; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 08:22:42 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 1/7; 2/11; ; 1/5; ; 1/5; ; 1/5; ; ; 1/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 6; 5; 6; ; 13/2; ; 6; ; 7; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bridlington Town; 8; 12; 13; ; 10; ; 9; ; 10; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 09:45:57 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 1/7; 2/11; ; ; ; 1/6; ; 1/5; ; ; 1/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 6; 5; 6; ; ; ; 6; ; 7; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bridlington Town; 8; 11; 13; ; ; ; 17; ; 10; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 11:46:01 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; ; ; ; 1/6; ; 1/5; ; ; 1/6; ; ; ; ; ; 3/19; ; ; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; ; ; ; 6; ; 7; ; ; 11/2; ; ; ; ; ; 6; ; ; ; 6; ; ; ; ; ; ; 
Bridlington Town; 8; 11; 13; ; ; ; 17; ; 10; ; ; 14; ; ; ; ; ; 33/4; ; ; ; 33/4; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 12:22:38 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; ; ; ; 1/6; ; 1/5; ; ; 1/6; ; ; ; ; ; 3/19; ; ; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; ; ; ; 6; ; 7; ; ; 11/2; ; ; ; ; ; 6; ; ; ; 6; ; ; ; ; ; ; 
Bridlington Town; 8; 11; 13; ; ; ; 17; ; 10; ; ; 14; ; ; ; ; ; 33/4; ; ; ; 33/4; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 12:51:33 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; ; ; ; 1/6; ; 1/5; ; ; 1/6; ; ; ; ; ; 3/19; ; ; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; ; ; ; 6; ; 7; ; ; 11/2; ; ; ; ; ; 6; ; ; ; 6; ; ; ; ; ; ; 
Bridlington Town; 8; 11; 13; ; ; ; 17; ; 10; ; ; 14; ; ; ; ; ; 33/4; ; ; ; 33/4; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 13:46:00 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 1/7; 2/11; ; ; ; 1/6; ; 1/5; ; ; 1/6; ; ; ; ; 1/6; 3/19; ; ; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; ; ; ; 6; ; 7; ; ; 11/2; ; ; ; ; 13/2; 6; ; ; ; 6; ; ; ; ; ; ; 
Bridlington Town; 8; 11; 13; ; ; ; 16; ; 10; ; ; 14; ; ; ; ; 10; 17/2; ; ; ; 33/4; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 15:46:08 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; ; ; ; 1/6; ; 1/5; ; ; 1/6; ; ; ; ; 1/6; 3/19; ; ; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; ; ; ; 6; ; 7; ; ; 11/2; ; ; ; ; 6; 6; ; ; ; 6; ; ; ; ; ; ; 
Bridlington Town; 8; 11; 13; ; ; ; 17; ; 10; ; ; 14; ; ; ; ; 11; 17/2; ; ; ; 17/2; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 16:23:22 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; ; 1/5; ; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; ; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; ; 7; ; 6; ; 7; ; ; 11/2; ; ; ; ; 13/2; 6; ; ; ; 6; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; ; 9; ; 16; ; 10; ; ; 14; ; ; ; ; 9; 17/2; ; ; ; 17/2; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 17:46:00 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; ; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; ; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; ; 7; 6; 7; ; 7; ; ; 11/2; ; ; ; ; 13/2; 6; ; ; ; 6; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; ; 9; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 17/2; ; ; ; 17/2; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 18:32:45 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; ; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; ; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; ; 7; ; 7; ; ; 11/2; ; ; ; ; 13/2; 6; ; ; ; 6; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; ; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 17/2; ; ; ; 17/2; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 19:45:57 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 20:24:04 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; ; ; 1/6; ; ; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; ; ; 5; ; ; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; ; ; 23/2; ; ; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 21:46:08 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-19 23:45:59 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 00:23:11 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 17/2; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 00:52:16 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 01:45:55 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 03:45:55 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 04:23:00 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 05:45:54 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 06:39:55 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 07:45:55 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 08:23:24 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
Draw; 6; 5; 6; 5; 13/2; 6; 13/2; ; 7; ; ; 11/2; ; ; ; ; 13/2; 29/5; ; 5; ; 29/5; ; ; ; ; ; ; 
Bridlington Town; 8; 10; 13; 10; 10; 15/2; 17/2; ; 10; ; ; 14; ; ; ; ; 9; 9; ; 23/2; ; 9; ; ; ; ; ; ; 
META; english/fa-cup/harrogate-town-v-bridlington-town; 2016-09-20 09:45:54 GMT+3; 2016-09-20 20:00; e70300-dr003
Harrogate Town; 1/6; 2/13; 2/11; 1/6; 1/5; 1/6; 2/11; ; 1/5; ; ; 1/6; ; ; ; ; 2/11; 3/19; ; 1/6; ; 3/19; ; ; ; ; ; ; 
