META; english/fa-cup/egham-town-v-faversham-town; 2016-10-03 16:23:51 GMT+3; 2016-10-04 19:45; e70300-dr003
Egham Town; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; 5/4; ; ; ; ; 1/100; ; 
Faversham Town; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; 11/4; ; ; ; ; 1/4; ; 
META; english/fa-cup/egham-town-v-faversham-town; 2016-10-03 17:45:25 GMT+3; 2016-10-04 19:45; e70300-dr003
Egham Town; ; ; 29/20; 13/10; 5/4; ; 11/8; 5/4; 7/5; ; ; ; ; ; ; ; 13/10; 5/4; ; ; ; 5/4; ; ; ; ; 20/21; ; 
Faversham Town; ; ; 17/10; 6/4; 6/4; ; 17/10; 6/4; 13/8; ; ; ; ; ; ; ; 8/5; 6/4; ; ; ; 6/4; ; ; ; ; 23/20; ; 
Draw; ; ; 13/5; 13/5; 5/2; ; 14/5; 13/5; 3; ; ; ; ; ; ; ; 11/4; 11/4; ; ; ; 11/4; ; ; ; ; 2; ; 
META; english/fa-cup/egham-town-v-faversham-town; 2016-10-03 18:31:23 GMT+3; 2016-10-04 19:45; e70300-dr003
Egham Town; ; ; 29/20; 13/10; 5/4; ; 11/8; 5/4; 7/5; ; ; ; ; ; 13/10; ; 13/10; 5/4; ; ; ; 5/4; ; ; ; ; 6/5; ; 
Faversham Town; ; ; 17/10; 6/4; 6/4; ; 17/10; 6/4; 13/8; ; ; ; ; ; 8/5; ; 8/5; 6/4; ; ; ; 6/4; ; ; ; ; 6/4; ; 
Draw; ; ; 13/5; 13/5; 5/2; ; 14/5; 13/5; 3; ; ; ; ; ; 12/5; ; 11/4; 11/4; ; ; ; 11/4; ; ; ; ; 11/5; ; 
META; english/fa-cup/egham-town-v-faversham-town; 2016-10-03 19:45:26 GMT+3; 2016-10-04 19:45; e70300-dr003
Egham Town; ; ; 29/20; 13/10; 5/4; ; 11/8; 5/4; 7/5; ; ; ; ; ; 13/10; ; 13/10; 5/4; ; ; ; 5/4; ; ; ; ; 6/5; ; 
Faversham Town; ; ; 17/10; 6/4; 6/4; ; 13/8; 6/4; 13/8; ; ; ; ; ; 8/5; ; 8/5; 6/4; ; ; ; 6/4; ; ; ; ; 6/4; ; 
Draw; ; ; 13/5; 13/5; 5/2; ; 14/5; 13/5; 3; ; ; ; ; ; 12/5; ; 11/4; 27/10; ; ; ; 27/10; ; ; ; ; 11/5; ; 
