META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-18 20:24:05 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; ; ; ; ; ; ; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 7/2; ; ; ; ; ; ; ; ; ; ; 13/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Herne Bay; 4; ; ; ; ; ; ; ; ; ; ; 24/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 00:22:20 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; ; ; ; ; ; ; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 7/2; ; ; ; ; ; ; ; ; ; ; 13/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Herne Bay; 4; ; ; ; ; ; ; ; ; ; ; 24/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 03:45:39 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; ; 1/2; ; ; ; 1/2; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; ; 19/5; ; ; ; 19/5; ; ; 13/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; ; 9/2; ; ; ; 19/4; ; ; 24/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 04:22:06 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; ; 1/2; ; ; ; 1/2; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; ; 19/5; ; ; ; 19/5; ; ; 13/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; ; 9/2; ; ; ; 19/4; ; ; 24/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 05:45:42 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; ; 1/2; ; ; ; 1/2; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; ; 19/5; ; ; ; 19/5; ; ; 13/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; ; 9/2; ; ; ; 19/4; ; ; 24/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 06:28:22 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 2/5; ; ; 1/2; ; ; ; 1/2; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 7/2; 10/3; ; ; 19/5; ; ; ; 19/5; ; ; 13/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; ; 9/2; ; ; ; 19/4; ; ; 24/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 07:45:44 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 4/9; ; ; 1/2; ; ; ; 1/2; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 7/2; 16/5; ; ; 19/5; ; ; ; 19/5; ; ; 13/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Herne Bay; 4; 9/2; ; ; 9/2; ; ; ; 19/4; ; ; 24/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/herne-bay-v-hemel-hempstead; 2016-09-19 08:22:25 GMT+3; 2016-09-20 19:45; e70300-dr003
Hemel Hempstead; 4/9; 4/9; ; ; 1/2; ; 1/2; ; 1/2; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 7/2; 16/5; ; ; 18/5; ; 7/2; ; 19/5; ; ; 13/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
