META; english/fa-cup/southport-v-fleetwood; 2016-10-30 20:25:21 GMT+3; 2016-11-07 19:45; e70300-dr003
Fleetwood; 1/2; 1/2; 1/2; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 10/3; 16/5; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 5; 9/2; 5; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/southport-v-fleetwood; 2016-10-31 00:23:34 GMT+3; 2016-11-07 19:45; e70300-dr003
Fleetwood; 1/2; 1/2; 1/2; ; ; ; ; ; ; ; 1/2; ; ; ; 9/20; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 10/3; 16/5; ; ; ; ; ; ; ; 16/5; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 5; 9/2; 5; ; ; ; ; ; ; ; 5; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/southport-v-fleetwood; 2016-10-31 04:23:07 GMT+3; 2016-11-07 19:45; e70300-dr003
Fleetwood; 1/2; 1/2; 1/2; ; ; ; 9/20; ; ; ; 1/2; ; ; ; 9/20; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 10/3; 16/5; ; ; ; 10/3; ; ; ; 16/5; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 5; 9/2; 5; ; ; ; 21/4; ; ; ; 5; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/southport-v-fleetwood; 2016-10-31 08:22:45 GMT+3; 2016-11-07 19:45; e70300-dr003
Fleetwood; 1/2; 1/2; 1/2; ; ; ; 9/20; ; ; ; 1/2; ; ; ; 9/20; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 10/3; 16/5; ; ; ; 10/3; ; ; ; 16/5; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 5; 9/2; 5; ; ; ; 21/4; ; ; ; 5; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/southport-v-fleetwood; 2016-10-31 12:23:50 GMT+3; 2016-11-07 19:45; e70300-dr003
Fleetwood; 1/2; 1/2; 1/2; ; ; ; 9/20; ; 1/2; ; 1/2; ; ; ; 9/20; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 10/3; 16/5; ; ; ; 10/3; ; 10/3; ; 16/5; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; 
