META; english/fa-cup/merstham-v-oxford; 2016-10-30 20:23:12 GMT+3; 2016-11-05 12:30; e70300-dr003
Oxford; 2/5; 2/5; 2/5; ; 4/11; ; 4/11; ; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 7/2; 7/2; 19/5; ; 7/2; ; 15/4; ; ; ; 15/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Merstham; 7; 6; 6; ; 13/2; ; 13/2; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/merstham-v-oxford; 2016-10-31 00:22:02 GMT+3; 2016-11-05 12:30; e70300-dr003
Oxford; 2/5; 2/5; 2/5; ; 4/11; ; 4/11; ; ; ; 4/11; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 7/2; 7/2; 19/5; ; 7/2; ; 15/4; ; ; ; 15/4; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Merstham; 7; 6; 6; ; 13/2; ; 13/2; ; ; ; 6; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/merstham-v-oxford; 2016-10-31 04:21:31 GMT+3; 2016-11-05 12:30; e70300-dr003
Oxford; 2/5; 2/5; 2/5; ; 4/11; ; 4/11; ; ; ; 4/11; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; 2/7; ; 
Draw; 7/2; 7/2; 19/5; ; 7/2; ; 15/4; ; ; ; 15/4; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
Merstham; 7; 6; 6; ; 13/2; ; 13/2; ; ; ; 6; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; 
META; english/fa-cup/merstham-v-oxford; 2016-10-31 08:21:19 GMT+3; 2016-11-05 12:30; e70300-dr003
Oxford; 2/5; 2/5; 2/5; ; 4/11; ; 4/11; ; ; ; 4/11; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; 1/7; ; 
Draw; 7/2; 7/2; 19/5; ; 7/2; ; 15/4; ; ; ; 15/4; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Merstham; 7; 6; 6; ; 13/2; ; 13/2; ; ; ; 6; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; 1/7; ; 
META; english/fa-cup/merstham-v-oxford; 2016-10-31 12:22:01 GMT+3; 2016-11-05 12:30; e70300-dr003
Oxford; 2/5; 2/5; 2/5; ; 4/11; ; 4/11; ; 2/5; ; 4/11; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; 1/7; ; 
