META; english/fa-cup/solihull-moors-v-kettering; 2016-10-10 16:24:09 GMT+3; 2016-10-15 15:00; e70300-dr003
Solihull Moors; 4/9; ; ; ; ; ; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Kettering; 19/4; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/solihull-moors-v-kettering; 2016-10-10 20:25:26 GMT+3; 2016-10-15 15:00; e70300-dr003
Solihull Moors; 4/9; ; 40/85; ; 2/5; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; 17/5; ; 3; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Kettering; 19/4; ; 11/2; ; 5; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/solihull-moors-v-kettering; 2016-10-11 00:22:53 GMT+3; 2016-10-15 15:00; e70300-dr003
Solihull Moors; 4/9; ; 40/85; ; 2/5; ; 2/5; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; 17/5; ; 3; ; 33/10; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Kettering; 19/4; ; 11/2; ; 5; ; 11/2; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/solihull-moors-v-kettering; 2016-10-11 04:23:24 GMT+3; 2016-10-15 15:00; e70300-dr003
Solihull Moors; 4/9; ; 40/85; ; 2/5; ; 2/5; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; 17/5; ; 3; ; 33/10; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Kettering; 19/4; ; 11/2; ; 5; ; 11/2; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/solihull-moors-v-kettering; 2016-10-11 08:23:42 GMT+3; 2016-10-15 15:00; e70300-dr003
Solihull Moors; 4/9; ; 40/85; ; 2/5; ; 4/9; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; 17/5; ; 3; ; 31/10; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Kettering; 19/4; ; 11/2; ; 5; ; 11/2; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/solihull-moors-v-kettering; 2016-10-11 12:24:44 GMT+3; 2016-10-15 15:00; e70300-dr003
Solihull Moors; 4/9; ; 40/85; ; 2/5; ; 2/5; 4/11; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; 17/5; ; 3; ; 33/10; 10/3; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Kettering; 19/4; ; 11/2; ; 5; ; 11/2; 5; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/solihull-moors-v-kettering; 2016-10-11 16:25:06 GMT+3; 2016-10-15 15:00; e70300-dr003
Solihull Moors; 4/9; ; 40/85; 4/9; 2/5; ; 2/5; 2/5; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; 17/5; 16/5; 3; ; 33/10; 10/3; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Kettering; 19/4; ; 11/2; 9/2; 5; ; 11/2; 5; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/solihull-moors-v-kettering; 2016-10-11 20:24:46 GMT+3; 2016-10-15 15:00; e70300-dr003
Solihull Moors; 4/9; ; 40/85; 4/9; 2/5; ; 2/5; 2/5; 1/2; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; 17/5; 16/5; 3; ; 33/10; 10/3; 7/2; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Kettering; 19/4; ; 11/2; 9/2; 5; ; 11/2; 5; 11/2; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
