META; english/fa-cup/stourbridge-v-whitehawk; 2016-11-07 20:23:38 GMT+2; 2016-11-14 19:45; e70300-dr003
Whitehawk; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stourbridge; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/stourbridge-v-whitehawk; 2016-11-08 00:23:22 GMT+2; 2016-11-14 19:45; e70300-dr003
Whitehawk; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stourbridge; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/stourbridge-v-whitehawk; 2016-11-08 04:23:06 GMT+2; 2016-11-14 19:45; e70300-dr003
Whitehawk; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stourbridge; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/stourbridge-v-whitehawk; 2016-11-08 08:23:35 GMT+2; 2016-11-14 19:45; e70300-dr003
Whitehawk; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stourbridge; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 
