META; english/fa-cup/oxford-v-macclesfield; 2016-12-05 20:23:25 GMT+2; 2016-12-13 19:45; e70300-dr003
Oxford; 4/9; ; ; ; ; ; 9/20; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Macclesfield; 13/2; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/oxford-v-macclesfield; 2016-12-06 00:22:35 GMT+2; 2016-12-13 19:45; e70300-dr003
Oxford; 4/9; ; ; ; 1/2; ; 9/20; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; 10/3; ; 16/5; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Macclesfield; 13/2; ; ; ; 13/2; ; 13/2; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/oxford-v-macclesfield; 2016-12-06 04:22:29 GMT+2; 2016-12-13 19:45; e70300-dr003
Oxford; 4/9; ; ; 4/9; 1/2; ; 9/20; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; 7/2; 10/3; ; 16/5; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Macclesfield; 13/2; ; ; 11/2; 13/2; ; 13/2; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/oxford-v-macclesfield; 2016-12-06 08:22:20 GMT+2; 2016-12-13 19:45; e70300-dr003
Oxford; 4/9; ; ; 4/9; 1/2; ; 9/20; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; 10/3; 10/3; ; 16/5; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Macclesfield; 13/2; ; ; 6; 13/2; ; 13/2; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/oxford-v-macclesfield; 2016-12-06 12:23:10 GMT+2; 2016-12-13 19:45; e70300-dr003
Oxford; 4/9; ; ; 4/9; 1/2; ; 4/9; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; 10/3; 10/3; ; 33/10; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Macclesfield; 13/2; ; ; 11/2; 13/2; ; 13/2; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/oxford-v-macclesfield; 2016-12-06 16:24:21 GMT+2; 2016-12-13 19:45; e70300-dr003
Oxford; 1/2; ; 4/7; 8/15; 1/2; 4/7; 8/15; ; ; ; ; ; ; ; 8/15; ; 18/35; ; ; ; 18/35; 11/20; ; ; ; ; ; ; 
Draw; 31/10; ; 29/10; 3; 10/3; 3; 31/10; ; ; ; ; ; ; ; 3; ; 14/5; ; ; ; 14/5; 17/5; ; ; ; ; ; ; 
Macclesfield; 11/2; ; 5; 5; 13/2; 5; 5; ; ; ; ; ; ; ; 5; ; 63/13; ; ; ; 63/13; 11/2; ; ; ; ; ; ; 
META; english/fa-cup/oxford-v-macclesfield; 2016-12-06 20:23:44 GMT+2; 2016-12-13 19:45; e70300-dr003
Oxford; 1/2; ; 4/7; 4/7; 1/2; 4/7; 8/15; ; ; ; 8/15; ; ; ; 8/15; ; 18/35; 1/2; ; 1/2; 18/35; 11/20; ; 1/2; ; ; ; ; 
Draw; 31/10; ; 29/10; 14/5; 10/3; 3; 31/10; ; ; ; 14/5; ; ; ; 3; ; 37/13; 41/13; ; 3; 37/13; 17/5; ; 41/13; ; ; ; ; 
Macclesfield; 11/2; ; 5; 5; 13/2; 5; 5; ; ; ; 19/4; ; ; ; 5; ; 79/17; 11/2; ; 11/2; 79/17; 11/2; ; 11/2; ; ; ; ; 
META; english/fa-cup/oxford-v-macclesfield; 2016-12-07 00:22:39 GMT+2; 2016-12-13 19:45; e70300-dr003
Oxford; 1/2; ; 4/7; 4/7; 1/2; 4/7; 8/15; ; ; ; 8/15; ; ; ; 8/15; ; 1/2; 1/2; ; 1/2; 1/2; 11/20; ; 1/2; ; ; ; ; 
Draw; 31/10; ; 29/10; 14/5; 10/3; 3; 31/10; ; ; ; 14/5; ; ; ; 3; ; 29/10; 41/13; ; 3; 29/10; 17/5; ; 41/13; ; ; ; ; 
Macclesfield; 11/2; ; 5; 5; 13/2; 5; 5; ; ; ; 19/4; ; ; ; 5; ; 47/10; 11/2; ; 11/2; 47/10; 11/2; ; 11/2; ; ; ; ; 
META; english/fa-cup/oxford-v-macclesfield; 2016-12-07 04:22:16 GMT+2; 2016-12-13 19:45; e70300-dr003
Oxford; 1/2; ; 4/7; 4/7; 1/2; 4/7; 8/15; ; ; ; 8/15; ; ; ; 8/15; ; 1/2; 1/2; ; 1/2; 1/2; 11/20; ; 1/2; ; ; ; ; 
Draw; 31/10; ; 29/10; 14/5; 10/3; 3; 31/10; ; ; ; 14/5; ; ; ; 3; ; 29/10; 41/13; ; 3; 29/10; 17/5; ; 41/13; ; ; ; ; 
Macclesfield; 11/2; ; 5; 5; 13/2; 5; 5; ; ; ; 19/4; ; ; ; 5; ; 47/10; 11/2; ; 11/2; 47/10; 11/2; ; 11/2; ; ; ; ; 
META; english/fa-cup/oxford-v-macclesfield; 2016-12-07 08:22:11 GMT+2; 2016-12-13 19:45; e70300-dr003
Oxford; 1/2; ; 4/7; 4/7; 1/2; 4/7; 8/15; ; ; 4/7; 8/15; ; ; ; 8/15; ; 1/2; 1/2; ; 1/2; 1/2; 11/20; ; 1/2; ; ; ; ; 
Draw; 31/10; ; 29/10; 14/5; 10/3; 3; 31/10; ; ; 3; 14/5; ; ; ; 3; ; 29/10; 41/13; ; 3; 29/10; 17/5; ; 41/13; ; ; ; ; 
Macclesfield; 11/2; ; 5; 5; 13/2; 5; 5; ; ; 19/4; 19/4; ; ; ; 5; ; 47/10; 11/2; ; 11/2; 47/10; 11/2; ; 11/2; ; ; ; ; 
META; english/fa-cup/oxford-v-macclesfield; 2016-12-07 12:23:13 GMT+2; 2016-12-13 19:45; e70300-dr003
Oxford; 1/2; ; 4/7; 4/7; 1/2; 4/7; 8/15; ; 8/15; 4/7; 8/15; ; 8/15; ; 8/15; ; 1/2; 1/2; ; 1/2; 1/2; 11/20; ; 1/2; ; ; ; ; 
Draw; 31/10; ; 29/10; 14/5; 10/3; 3; 31/10; ; 3; 3; 14/5; ; 3; ; 3; ; 29/10; 41/13; ; 3; 29/10; 17/5; ; 41/13; ; ; ; ; 
