META; english/fa-cup/telford-v-worcester; 2016-09-18 20:24:25 GMT+3; 2016-09-20 19:45; e70300-dr003
Telford; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Worcester; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/telford-v-worcester; 2016-09-19 00:22:33 GMT+3; 2016-09-20 19:45; e70300-dr003
Telford; 5/4; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Worcester; 8/5; ; 37/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/telford-v-worcester; 2016-09-19 03:45:55 GMT+3; 2016-09-20 19:45; e70300-dr003
Telford; 5/4; 13/10; 7/5; ; 11/8; ; ; ; 7/5; ; ; 27/20; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; 
Worcester; 8/5; 13/8; 37/20; ; 7/4; ; ; ; 9/5; ; ; 7/4; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 23/10; 12/5; ; 13/5; ; ; ; 11/4; ; ; 9/4; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/telford-v-worcester; 2016-09-19 04:22:20 GMT+3; 2016-09-20 19:45; e70300-dr003
Telford; 5/4; 13/10; 7/5; ; 11/8; ; ; ; 7/5; ; ; 27/20; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; 
Worcester; 8/5; 13/8; 37/20; ; 7/4; ; ; ; 9/5; ; ; 7/4; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 23/10; 12/5; ; 13/5; ; ; ; 11/4; ; ; 9/4; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/telford-v-worcester; 2016-09-19 05:45:55 GMT+3; 2016-09-20 19:45; e70300-dr003
Telford; 5/4; 13/10; 7/5; ; 11/8; ; ; ; 7/5; ; ; 27/20; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; 
Worcester; 8/5; 13/8; 37/20; ; 7/4; ; ; ; 9/5; ; ; 7/4; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 23/10; 12/5; ; 13/5; ; ; ; 11/4; ; ; 9/4; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/telford-v-worcester; 2016-09-19 06:28:37 GMT+3; 2016-09-20 19:45; e70300-dr003
Telford; 5/4; 5/4; 7/5; ; 11/8; ; ; ; 7/5; ; ; 27/20; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; 
Worcester; 8/5; 13/8; 37/20; ; 7/4; ; ; ; 9/5; ; ; 7/4; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 12/5; 12/5; ; 13/5; ; ; ; 11/4; ; ; 9/4; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/telford-v-worcester; 2016-09-19 07:45:56 GMT+3; 2016-09-20 19:45; e70300-dr003
Telford; 5/4; 5/4; 7/5; ; 11/8; ; 11/8; ; 7/5; ; ; 27/20; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; 
Worcester; 8/5; 17/10; 37/20; ; 7/4; ; 17/10; ; 9/5; ; ; 7/4; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 23/10; 12/5; ; 13/5; ; 5/2; ; 11/4; ; ; 9/4; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/telford-v-worcester; 2016-09-19 08:22:38 GMT+3; 2016-09-20 19:45; e70300-dr003
Telford; 5/4; 5/4; 7/5; ; 11/8; ; 11/8; ; 7/5; ; ; 27/20; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; 
Worcester; 8/5; 17/10; 37/20; ; 9/5; ; 9/5; ; 9/5; ; ; 7/4; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 23/10; 12/5; ; 5/2; ; 13/5; ; 11/4; ; ; 9/4; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/telford-v-worcester; 2016-09-19 09:45:53 GMT+3; 2016-09-20 19:45; e70300-dr003
Telford; 5/4; 5/4; 7/5; ; 11/8; ; 11/8; ; 7/5; ; ; 27/20; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; 
Worcester; 8/5; 17/10; 37/20; ; 9/5; ; 9/5; ; 9/5; ; ; 7/4; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 23/10; 12/5; ; 5/2; ; 5/2; ; 11/4; ; ; 9/4; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/telford-v-worcester; 2016-09-19 11:45:57 GMT+3; 2016-09-20 19:45; e70300-dr003
Telford; 5/4; 13/10; 7/5; ; 11/8; ; 11/8; ; 7/5; ; ; 27/20; ; ; ; ; 13/10; 5/4; ; ; ; 5/4; ; ; ; ; ; ; 
Worcester; 8/5; 13/8; 37/20; ; 9/5; ; 9/5; ; 9/5; ; ; 7/4; ; ; ; ; 7/4; 8/5; ; ; ; 8/5; ; ; ; ; ; ; 
Draw; 5/2; 23/10; 12/5; ; 5/2; ; 5/2; ; 11/4; ; ; 9/4; ; ; ; ; 5/2; 27/11; ; ; ; 27/11; ; ; ; ; ; ; 
META; english/fa-cup/telford-v-worcester; 2016-09-19 12:22:33 GMT+3; 2016-09-20 19:45; e70300-dr003
Telford; 5/4; 13/10; 7/5; ; 11/8; ; 11/8; ; 7/5; ; ; 27/20; ; ; ; ; 13/10; 5/4; ; ; ; 5/4; ; ; ; ; ; ; 
Worcester; 8/5; 13/8; 37/20; ; 9/5; ; 9/5; ; 9/5; ; ; 7/4; ; ; ; ; 7/4; 8/5; ; ; ; 8/5; ; ; ; ; ; ; 
Draw; 5/2; 23/10; 12/5; ; 5/2; ; 5/2; ; 11/4; ; ; 9/4; ; ; ; ; 5/2; 27/11; ; ; ; 27/11; ; ; ; ; ; ; 
META; english/fa-cup/telford-v-worcester; 2016-09-19 12:51:29 GMT+3; 2016-09-20 19:45; e70300-dr003
Telford; 5/4; 13/10; 7/5; ; 11/8; ; 11/8; ; 7/5; ; ; 27/20; ; ; ; ; 13/10; 5/4; ; ; ; 5/4; ; ; ; ; ; ; 
Worcester; 8/5; 13/8; 37/20; ; 9/5; ; 9/5; ; 9/5; ; ; 7/4; ; ; ; ; 7/4; 8/5; ; ; ; 8/5; ; ; ; ; ; ; 
Draw; 5/2; 23/10; 12/5; ; 5/2; ; 5/2; ; 11/4; ; ; 9/4; ; ; ; ; 5/2; 27/11; ; ; ; 27/11; ; ; ; ; ; ; 
META; english/fa-cup/telford-v-worcester; 2016-09-19 13:45:55 GMT+3; 2016-09-20 19:45; e70300-dr003
Telford; 5/4; 13/10; 7/5; ; 11/8; ; 11/8; ; 7/5; ; ; 27/20; ; ; ; ; 13/10; 5/4; ; ; ; 5/4; ; ; ; ; ; ; 
Worcester; 8/5; 13/8; 37/20; ; 7/4; ; 7/4; ; 9/5; ; ; 7/4; ; ; ; ; 7/4; 8/5; ; ; ; 8/5; ; ; ; ; ; ; 
Draw; 5/2; 23/10; 12/5; ; 13/5; ; 13/5; ; 11/4; ; ; 9/4; ; ; ; ; 5/2; 27/11; ; ; ; 27/11; ; ; ; ; ; ; 
META; english/fa-cup/telford-v-worcester; 2016-09-19 15:46:04 GMT+3; 2016-09-20 19:45; e70300-dr003
Telford; 5/4; 5/4; 7/5; ; 11/8; ; 11/8; 6/5; 7/5; ; 13/10; 27/20; ; ; ; ; 13/10; 13/10; ; ; ; 13/10; ; ; ; ; ; ; 
Worcester; 8/5; 17/10; 37/20; ; 9/5; ; 15/8; 13/8; 9/5; ; 15/8; 7/4; ; ; ; ; 7/4; 8/5; ; ; ; 8/5; ; ; ; ; ; ; 
Draw; 5/2; 23/10; 12/5; ; 13/5; ; 5/2; 5/2; 11/4; ; 12/5; 9/4; ; ; ; ; 5/2; 40/17; ; ; ; 40/17; ; ; ; ; ; ; 
