META; english/fa-cup/thamesmead-town-v-hanwell-town; 2016-09-18 20:24:27 GMT+3; 2016-09-20 19:45; e70300-dr003
Thamesmead Town; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hanwell Town; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/thamesmead-town-v-hanwell-town; 2016-09-19 00:22:36 GMT+3; 2016-09-20 19:45; e70300-dr003
Thamesmead Town; 11/10; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hanwell Town; 9/5; ; 41/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/thamesmead-town-v-hanwell-town; 2016-09-19 03:45:57 GMT+3; 2016-09-20 19:45; e70300-dr003
Thamesmead Town; 11/10; 11/10; 5/4; ; 6/5; ; ; ; 6/5; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; ; ; 
Hanwell Town; 9/5; 9/5; 41/20; ; 2; ; ; ; 2; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 5/2; ; 11/4; ; ; ; 14/5; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/thamesmead-town-v-hanwell-town; 2016-09-19 04:22:23 GMT+3; 2016-09-20 19:45; e70300-dr003
Thamesmead Town; 11/10; 11/10; 5/4; ; 6/5; ; ; ; 6/5; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; ; ; 
Hanwell Town; 9/5; 9/5; 41/20; ; 2; ; ; ; 2; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 5/2; ; 11/4; ; ; ; 14/5; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/thamesmead-town-v-hanwell-town; 2016-09-19 05:45:58 GMT+3; 2016-09-20 19:45; e70300-dr003
Thamesmead Town; 11/10; 11/10; 5/4; ; 6/5; ; ; ; 6/5; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; ; ; 
Hanwell Town; 9/5; 9/5; 41/20; ; 2; ; ; ; 2; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 5/2; ; 11/4; ; ; ; 14/5; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/thamesmead-town-v-hanwell-town; 2016-09-19 06:28:39 GMT+3; 2016-09-20 19:45; e70300-dr003
Thamesmead Town; 11/10; 11/10; 5/4; ; 6/5; ; ; ; 6/5; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; ; ; 
Hanwell Town; 9/5; 9/5; 41/20; ; 2; ; ; ; 2; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 5/2; ; 11/4; ; ; ; 14/5; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/thamesmead-town-v-hanwell-town; 2016-09-19 07:45:59 GMT+3; 2016-09-20 19:45; e70300-dr003
Thamesmead Town; 11/10; 11/10; 5/4; ; 6/5; ; ; ; 6/5; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; ; ; 
Hanwell Town; 9/5; 9/5; 41/20; ; 2; ; ; ; 2; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; 5/2; ; 11/4; ; ; ; 14/5; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/thamesmead-town-v-hanwell-town; 2016-09-19 08:22:40 GMT+3; 2016-09-20 19:45; e70300-dr003
Thamesmead Town; 11/10; 11/10; 5/4; ; 6/5; ; 6/5; ; 6/5; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; ; ; 
Hanwell Town; 9/5; 15/8; 41/20; ; 2; ; 19/10; ; 2; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 12/5; 5/2; ; 11/4; ; 13/5; ; 14/5; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/thamesmead-town-v-hanwell-town; 2016-09-19 09:45:55 GMT+3; 2016-09-20 19:45; e70300-dr003
Thamesmead Town; 11/10; 11/10; 5/4; ; 6/5; ; 23/20; ; 6/5; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; ; ; 
Hanwell Town; 9/5; 15/8; 41/20; ; 2; ; 21/10; ; 2; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 12/5; 5/2; ; 11/4; ; 27/10; ; 14/5; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/thamesmead-town-v-hanwell-town; 2016-09-19 11:45:59 GMT+3; 2016-09-20 19:45; e70300-dr003
Thamesmead Town; 11/10; 11/10; 5/4; ; 6/5; ; 23/20; ; 6/5; ; ; ; ; ; ; ; 15/13; 11/10; ; ; ; 11/10; ; ; ; ; ; ; 
Hanwell Town; 9/5; 15/8; 41/20; ; 2; ; 21/10; ; 2; ; ; ; ; ; ; ; 2; 9/5; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; 13/5; 12/5; 5/2; ; 11/4; ; 27/10; ; 14/5; ; ; ; ; ; ; ; 13/5; 28/11; ; ; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/thamesmead-town-v-hanwell-town; 2016-09-19 12:22:35 GMT+3; 2016-09-20 19:45; e70300-dr003
Thamesmead Town; 11/10; 11/10; 5/4; ; 6/5; ; 23/20; ; 6/5; ; ; ; ; ; ; ; 15/13; 11/10; ; ; ; 11/10; ; ; ; ; ; ; 
Hanwell Town; 9/5; 15/8; 41/20; ; 2; ; 21/10; ; 2; ; ; ; ; ; ; ; 2; 9/5; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; 13/5; 12/5; 5/2; ; 11/4; ; 27/10; ; 14/5; ; ; ; ; ; ; ; 13/5; 28/11; ; ; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/thamesmead-town-v-hanwell-town; 2016-09-19 12:51:31 GMT+3; 2016-09-20 19:45; e70300-dr003
Thamesmead Town; 11/10; 11/10; 5/4; ; 6/5; ; 23/20; ; 6/5; ; ; ; ; ; ; ; 15/13; 11/10; ; ; ; 11/10; ; ; ; ; ; ; 
Hanwell Town; 9/5; 15/8; 41/20; ; 2; ; 21/10; ; 2; ; ; ; ; ; ; ; 2; 9/5; ; ; ; 9/5; ; ; ; ; ; ; 
