META; english/fa-cup/peterborough-v-chesham; 2016-10-30 20:24:14 GMT+3; 2016-11-05 15:00; e70300-dr003
Peterborough; 1/4; 2/9; 1/4; ; 2/9; ; 1/5; ; ; ; 2/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5; 5; 5; ; 5; ; 5; ; ; ; 24/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chesham; 19/2; 10; 10; ; 9; ; 11; ; ; ; 10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/peterborough-v-chesham; 2016-10-31 00:22:49 GMT+3; 2016-11-05 15:00; e70300-dr003
Peterborough; 1/4; 2/9; 1/4; ; 2/9; ; 1/5; ; ; ; 2/9; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5; 5; 5; ; 5; ; 5; ; ; ; 24/5; ; ; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chesham; 19/2; 10; 10; ; 9; ; 21/2; ; ; ; 10; ; ; ; 9; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/peterborough-v-chesham; 2016-10-31 04:22:20 GMT+3; 2016-11-05 15:00; e70300-dr003
Peterborough; 1/4; 2/9; 1/4; ; 2/9; ; 1/5; ; ; ; 2/9; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 5; 5; 5; ; 5; ; 5; ; ; ; 24/5; ; ; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Chesham; 19/2; 10; 10; ; 9; ; 21/2; ; ; ; 10; ; ; ; 9; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/fa-cup/peterborough-v-chesham; 2016-10-31 08:22:03 GMT+3; 2016-11-05 15:00; e70300-dr003
Peterborough; 1/4; 2/9; 1/4; ; 2/9; ; 1/5; ; ; ; 2/9; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 5; 5; 5; ; 5; ; 5; ; ; ; 24/5; ; ; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Chesham; 19/2; 10; 10; ; 9; ; 21/2; ; ; ; 10; ; ; ; 9; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/fa-cup/peterborough-v-chesham; 2016-10-31 12:22:59 GMT+3; 2016-11-05 15:00; e70300-dr003
Peterborough; 1/4; 2/9; 1/4; ; 2/9; ; 1/5; ; 1/4; ; 2/9; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 5; 5; 5; ; 5; ; 5; ; 21/4; ; 24/5; ; ; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chesham; 19/2; 10; 10; ; 9; ; 21/2; ; 10; ; 10; ; ; ; 9; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
META; english/fa-cup/peterborough-v-chesham; 2016-10-31 16:22:56 GMT+3; 2016-11-05 15:00; e70300-dr003
Peterborough; 1/4; 2/9; 1/4; 1/4; 2/9; ; 2/9; ; 1/4; ; 2/9; ; ; 1/5; 1/4; ; ; ; 1/4; ; ; ; ; ; ; ; 2/11; ; 
Draw; 5; 5; 5; 9/2; 5; ; 5; ; 21/4; ; 24/5; ; ; 24/5; 19/4; ; ; ; 9/2; ; ; ; ; ; ; ; 22/5; ; 
Chesham; 19/2; 10; 10; 10; 9; ; 10; ; 10; ; 10; ; ; 9; 9; ; ; ; 9; ; ; ; ; ; ; ; 41/5; ; 
META; english/fa-cup/peterborough-v-chesham; 2016-10-31 20:24:05 GMT+3; 2016-11-05 15:00; e70300-dr003
Peterborough; 1/4; 2/9; 1/4; 2/9; 2/9; ; 1/5; ; 1/4; 5/23; 2/9; 1/6; ; 1/5; 1/4; ; ; ; 1/4; ; ; ; ; ; ; ; 2/11; ; 
Draw; 5; 5; 5; 5; 5; ; 21/4; ; 21/4; 5; 24/5; 5; ; 24/5; 19/4; ; ; ; 9/2; ; ; ; ; ; ; ; 22/5; ; 
Chesham; 19/2; 10; 10; 11; 9; ; 21/2; ; 10; 9; 10; 9; ; 9; 9; ; ; ; 9; ; ; ; ; ; ; ; 41/5; ; 
META; english/fa-cup/peterborough-v-chesham; 2016-11-01 00:23:22 GMT+3; 2016-11-05 15:00; e70300-dr003
Peterborough; 1/4; 1/4; 1/4; 2/9; 2/9; ; 1/5; 2/9; 1/4; 5/23; ; 1/6; ; 1/5; 1/4; ; ; ; 1/4; ; ; ; ; ; ; ; 2/11; ; 
Draw; 5; 5; 5; 5; 5; ; 21/4; 4; 21/4; 5; ; 5; ; 24/5; 19/4; ; ; ; 9/2; ; ; ; ; ; ; ; 22/5; ; 
Chesham; 19/2; 9; 10; 11; 9; ; 21/2; 9; 10; 9; ; 9; ; 9; 9; ; ; ; 9; ; ; ; ; ; ; ; 41/5; ; 
META; english/fa-cup/peterborough-v-chesham; 2016-11-01 04:22:25 GMT+3; 2016-11-05 15:00; e70300-dr003
