META; english/fa-cup/exeter-v-luton; 2016-10-30 20:23:51 GMT+3; 2016-11-05 15:00; e70300-dr003
Luton; 11/8; 11/8; 7/5; ; 11/8; ; 11/8; ; ; ; 27/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; 15/8; 9/5; 39/20; ; 9/5; ; 9/5; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 9/4; ; 9/4; ; 23/10; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/exeter-v-luton; 2016-10-31 00:22:32 GMT+3; 2016-11-05 15:00; e70300-dr003
Luton; 11/8; 11/8; 7/5; ; 11/8; ; 11/8; ; ; ; 27/20; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; 15/8; 9/5; 39/20; ; 9/5; ; 9/5; ; ; ; 15/8; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 9/4; ; 9/4; ; 23/10; ; ; ; 11/5; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/exeter-v-luton; 2016-10-31 04:22:03 GMT+3; 2016-11-05 15:00; e70300-dr003
Luton; 11/8; 11/8; 7/5; ; 11/8; ; 11/8; ; ; ; 27/20; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Exeter; 15/8; 9/5; 39/20; ; 9/5; ; 9/5; ; ; ; 15/8; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; 12/5; 23/10; 9/4; ; 9/4; ; 23/10; ; ; ; 11/5; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 
META; english/fa-cup/exeter-v-luton; 2016-10-31 08:21:46 GMT+3; 2016-11-05 15:00; e70300-dr003
Luton; 11/8; 11/8; 7/5; ; 11/8; ; 11/8; ; ; ; 27/20; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Exeter; 15/8; 9/5; 39/20; ; 9/5; ; 9/5; ; ; ; 15/8; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; 12/5; 23/10; 9/4; ; 9/4; ; 23/10; ; ; ; 11/5; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 
