META; english/fa-cup/tonbridge-angels-v-dartford; 2016-10-10 20:25:43 GMT+3; 2016-10-15 15:00; e70300-dr003
Dartford; 1; ; 11/10; ; 19/20; ; 11/10; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; 11/10; ; ; ; ; ; ; 
Tonbridge Angels; 2; ; 9/4; ; 21/10; ; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; 45/17; ; ; ; ; ; ; 
Draw; 5/2; ; 27/10; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/tonbridge-angels-v-dartford; 2016-10-11 00:23:07 GMT+3; 2016-10-15 15:00; e70300-dr003
Dartford; 1; ; 11/10; ; 19/20; ; 1; 10/11; ; ; ; ; ; ; ; 1; ; ; ; ; ; 11/10; ; ; ; ; ; ; 
Tonbridge Angels; 2; ; 9/4; ; 21/10; ; 11/5; 11/5; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; 45/17; ; ; ; ; ; ; 
Draw; 5/2; ; 27/10; ; 12/5; ; 5/2; 13/5; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/tonbridge-angels-v-dartford; 2016-10-11 04:23:39 GMT+3; 2016-10-15 15:00; e70300-dr003
Dartford; 1; ; 11/10; ; 19/20; ; 1; 10/11; ; ; ; ; ; ; ; 1; ; ; ; ; ; 11/10; ; ; ; ; ; ; 
Tonbridge Angels; 2; ; 9/4; ; 21/10; ; 11/5; 11/5; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; 45/17; ; ; ; ; ; ; 
Draw; 5/2; ; 27/10; ; 12/5; ; 5/2; 13/5; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/tonbridge-angels-v-dartford; 2016-10-11 08:23:57 GMT+3; 2016-10-15 15:00; e70300-dr003
Dartford; 1; ; 11/10; ; 19/20; ; 1; 10/11; ; ; ; ; ; ; ; 1; ; ; ; ; ; 11/10; ; ; ; ; ; ; 
Tonbridge Angels; 2; ; 9/4; ; 21/10; ; 11/5; 11/5; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; 45/17; ; ; ; ; ; ; 
Draw; 5/2; ; 27/10; ; 12/5; ; 5/2; 13/5; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/tonbridge-angels-v-dartford; 2016-10-11 12:25:01 GMT+3; 2016-10-15 15:00; e70300-dr003
Dartford; 1; ; 11/10; ; 19/20; 1; 1; 10/11; 11/10; ; ; ; ; ; ; 1; 1; ; ; ; 1; 11/10; ; ; ; ; ; ; 
Tonbridge Angels; 2; ; 9/4; ; 21/10; 2; 9/4; 11/5; 23/10; ; ; ; ; ; ; 9/4; 2; ; ; ; 2; 45/17; ; ; ; ; ; ; 
Draw; 5/2; ; 27/10; ; 12/5; 5/2; 5/2; 13/5; 14/5; ; ; ; ; ; ; 13/5; 5/2; ; ; ; 5/2; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/tonbridge-angels-v-dartford; 2016-10-11 16:25:21 GMT+3; 2016-10-15 15:00; e70300-dr003
Dartford; 1; ; 11/10; 1; 19/20; 1; 1; 10/11; 11/10; ; ; ; ; ; ; 1; 1; ; ; ; 1; 11/10; ; ; ; ; ; ; 
Tonbridge Angels; 2; ; 9/4; 21/10; 21/10; 2; 11/5; 21/10; 23/10; ; ; ; ; ; ; 9/4; 2; ; ; ; 2; 45/17; ; ; ; ; ; ; 
Draw; 5/2; ; 27/10; 5/2; 12/5; 5/2; 5/2; 13/5; 14/5; ; ; ; ; ; ; 13/5; 5/2; ; ; ; 5/2; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/tonbridge-angels-v-dartford; 2016-10-11 20:25:07 GMT+3; 2016-10-15 15:00; e70300-dr003
Dartford; 1; ; 11/10; 1; 19/20; 1; 1; 10/11; 11/10; ; ; ; 1; ; ; 1; 1; ; ; ; 1; 10/9; ; ; ; ; ; ; 
Tonbridge Angels; 2; ; 9/4; 21/10; 21/10; 2; 11/5; 21/10; 23/10; ; ; ; 11/5; ; ; 9/4; 2; ; ; ; 2; 34/13; ; ; ; ; ; ; 
Draw; 5/2; ; 27/10; 5/2; 12/5; 5/2; 5/2; 13/5; 14/5; ; ; ; 53/20; ; ; 13/5; 5/2; ; ; ; 5/2; 34/13; ; ; ; ; ; ; 
META; english/fa-cup/tonbridge-angels-v-dartford; 2016-10-12 00:23:36 GMT+3; 2016-10-15 15:00; e70300-dr003
