META; english/fa-cup/barwell-v-evesham; 2016-09-05 12:22:23 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Evesham; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-05 12:51:51 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Evesham; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-05 13:46:21 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/11; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; 
Evesham; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-05 15:46:24 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; 4/7; ; ; 6/11; ; ; ; ; ; ; ; ; 
Draw; 3; 3; 31/10; ; 10/3; ; 33/10; ; ; ; ; ; ; ; ; ; 10/3; ; ; 29/10; ; ; ; ; ; ; ; ; 
Evesham; 10/3; 7/2; 4; ; 19/5; ; 21/5; ; ; ; ; ; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-05 16:22:31 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; 4/7; ; ; 6/11; ; ; ; ; ; ; ; ; 
Draw; 3; 3; 31/10; ; 10/3; ; 33/10; ; ; ; ; ; ; ; ; ; 10/3; ; ; 29/10; ; ; ; ; ; ; ; ; 
Evesham; 10/3; 7/2; 4; ; 19/5; ; 21/5; ; ; ; ; ; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-05 17:46:10 GMT+3; 2016-09-06 19:45; e70300-dr003
Barwell; 4/7; 8/15; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; 4/7; ; ; 6/11; ; ; ; ; ; ; ; ; 
Draw; 3; 3; 31/10; ; 10/3; ; 33/10; ; ; ; ; ; ; ; ; ; 10/3; ; ; 29/10; ; ; ; ; ; ; ; ; 
Evesham; 10/3; 7/2; 4; ; 19/5; ; 21/5; ; ; ; ; ; ; ; ; ; 7/2; ; ; 15/4; ; ; ; ; ; ; ; ; 
META; english/fa-cup/barwell-v-evesham; 2016-09-05 18:32:22 GMT+3; 2016-09-06 19:45; e70300-dr003
