META; english/fa-cup/hitchin-v-faversham-town; 2016-09-18 19:45:45 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 4/7; ; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; ; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Faversham Town; 14/5; 16/5; ; ; ; ; ; ; ; ; ; 17/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-18 20:23:57 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 4/7; ; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; ; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Faversham Town; 14/5; 16/5; ; ; ; ; ; ; ; ; ; 17/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-18 21:45:17 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 4/7; ; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; ; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Faversham Town; 14/5; 16/5; ; ; ; ; ; ; ; ; ; 17/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-18 23:45:15 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 4/7; 7/10; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; 3; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Faversham Town; 14/5; 16/5; 18/5; ; ; ; ; ; ; ; ; 17/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 00:22:11 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 4/7; 7/10; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 3; 3; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Faversham Town; 14/5; 16/5; 18/5; ; ; ; ; ; ; ; ; 17/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hitchin-v-faversham-town; 2016-09-19 00:45:44 GMT+3; 2016-09-19 19:45; e70300-dr003
Hitchin; 8/13; 4/7; 7/10; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
