META; english/fa-cup/egham-town-v-st-albans; 2016-10-13 20:24:17 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 13/20; ; 8/15; ; 11/20; 8/15; 8/13; ; ; ; 3/5; ; 4/7; ; 4/7; ; 4/7; ; 4/7; ; ; 8/13; ; ; 1/2; ; 
Draw; ; ; 31/10; ; 3; ; 17/5; 10/3; 7/2; ; ; ; 10/3; ; 7/2; ; 33/10; ; 17/5; ; 33/10; ; ; 7/2; ; ; 27/10; ; 
Egham Town; ; ; 19/5; ; 10/3; ; 17/5; 10/3; 7/2; ; ; ; 10/3; ; 15/4; ; 16/5; ; 16/5; ; 16/5; ; ; 7/2; ; ; 3; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-14 00:22:58 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 13/20; ; 8/15; ; 11/20; 8/15; 8/13; ; ; ; 3/5; 11/20; 4/7; ; 4/7; ; 4/7; ; ; ; ; 8/13; ; ; 1/2; ; 
Draw; ; ; 31/10; ; 3; ; 17/5; 10/3; 7/2; ; ; ; 10/3; 29/10; 7/2; ; 33/10; ; 17/5; ; ; ; ; 7/2; ; ; 27/10; ; 
Egham Town; ; ; 19/5; ; 10/3; ; 17/5; 10/3; 7/2; ; ; ; 10/3; 18/5; 15/4; ; 16/5; ; 16/5; ; ; ; ; 7/2; ; ; 3; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-14 04:23:28 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 13/20; ; 8/15; ; 11/20; 8/15; 8/13; ; ; ; 3/5; 11/20; 4/7; ; 4/7; ; 4/7; ; 4/7; ; ; 8/13; ; ; 1/2; ; 
Draw; ; ; 31/10; ; 3; ; 17/5; 10/3; 7/2; ; ; ; 10/3; 29/10; 7/2; ; 33/10; ; 17/5; ; 33/10; ; ; 7/2; ; ; 27/10; ; 
Egham Town; ; ; 19/5; ; 10/3; ; 17/5; 10/3; 7/2; ; ; ; 10/3; 18/5; 15/4; ; 41/13; ; 16/5; ; 41/13; ; ; 7/2; ; ; 3; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-14 06:36:00 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 13/20; ; 8/15; ; 11/20; 8/15; 8/13; ; ; ; 3/5; 11/20; 4/7; ; 4/7; ; 4/7; ; ; ; ; 8/13; ; ; 1/2; ; 
Draw; ; ; 31/10; ; 3; ; 17/5; 10/3; 7/2; ; ; ; 10/3; 29/10; 7/2; ; 13/4; ; 17/5; ; ; ; ; 7/2; ; ; 27/10; ; 
Egham Town; ; ; 19/5; ; 10/3; ; 17/5; 10/3; 7/2; ; ; ; 10/3; 18/5; 15/4; ; 16/5; ; 16/5; ; ; ; ; 7/2; ; ; 3; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-14 07:47:26 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 13/20; ; 8/15; ; 11/20; 8/15; 8/13; ; ; ; 3/5; 11/20; 4/7; ; 4/7; ; 4/7; ; 4/7; ; ; 8/13; ; ; 1/2; ; 
Draw; ; ; 31/10; ; 3; ; 10/3; 10/3; 7/2; ; ; ; 10/3; 29/10; 7/2; ; 33/10; ; 17/5; ; 33/10; ; ; 7/2; ; ; 27/10; ; 
Egham Town; ; ; 19/5; ; 10/3; ; 7/2; 10/3; 7/2; ; ; ; 10/3; 18/5; 15/4; ; 16/5; ; 16/5; ; 16/5; ; ; 7/2; ; ; 3; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-14 08:23:21 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 13/20; ; 8/15; ; 11/20; 8/15; 8/13; ; ; ; 3/5; 11/20; 4/7; ; 4/7; ; 4/7; ; 4/7; ; ; 8/13; ; ; 1/2; ; 
Draw; ; ; 31/10; ; 3; ; 10/3; 10/3; 7/2; ; ; ; 10/3; 29/10; 7/2; ; 33/10; ; 17/5; ; 33/10; ; ; 7/2; ; ; 27/10; ; 
Egham Town; ; ; 19/5; ; 10/3; ; 7/2; 10/3; 7/2; ; ; ; 10/3; 18/5; 15/4; ; 16/5; ; 16/5; ; 16/5; ; ; 7/2; ; ; 3; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-14 09:47:26 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 13/20; ; 8/15; ; 11/20; 8/15; 8/13; ; ; ; 3/5; 11/20; 4/7; ; 4/7; ; 4/7; ; 4/7; ; ; 8/13; ; ; 1/2; ; 
Draw; ; ; 31/10; ; 3; ; 10/3; 10/3; 7/2; ; ; ; 10/3; 29/10; 7/2; ; 33/10; ; 17/5; ; 33/10; ; ; 7/2; ; ; 27/10; ; 
Egham Town; ; ; 19/5; ; 10/3; ; 7/2; 10/3; 7/2; ; ; ; 10/3; 18/5; 15/4; ; 41/13; ; 16/5; ; 41/13; ; ; 7/2; ; ; 3; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-14 11:48:01 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 13/20; 6/10; 8/15; ; 11/20; 8/15; 8/13; ; ; ; 3/5; 11/20; 4/7; ; 4/7; ; 4/7; ; 4/7; ; ; 8/13; ; ; 1/2; ; 
Draw; ; ; 31/10; 14/5; 3; ; 17/5; 10/3; 7/2; ; ; ; 10/3; 29/10; 7/2; ; 33/10; ; 17/5; ; 33/10; ; ; 7/2; ; ; 27/10; ; 
Egham Town; ; ; 19/5; 10/3; 10/3; ; 17/5; 10/3; 7/2; ; ; ; 10/3; 18/5; 15/4; ; 41/13; ; 16/5; ; 41/13; ; ; 7/2; ; ; 3; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-14 12:24:36 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 13/20; 4/7; 4/7; ; 11/20; 8/15; 8/13; ; ; ; 3/5; 11/20; 4/7; ; 5/9; ; 4/7; ; 5/9; ; ; 3/5; ; ; 1/2; ; 
Draw; ; ; 31/10; 14/5; 16/5; ; 17/5; 10/3; 7/2; ; ; ; 10/3; 29/10; 7/2; ; 57/17; ; 17/5; ; 57/17; ; ; 62/17; ; ; 27/10; ; 
Egham Town; ; ; 19/5; 7/2; 18/5; ; 17/5; 10/3; 7/2; ; ; ; 10/3; 18/5; 15/4; ; 16/5; ; 16/5; ; 16/5; ; ; 7/2; ; ; 3; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-14 13:09:25 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 13/20; 4/7; 4/7; ; 11/20; 8/15; 8/13; ; ; ; 3/5; 11/20; 4/7; ; 5/9; ; 4/7; ; 5/9; ; ; 3/5; ; ; 1/2; ; 
Draw; ; ; 31/10; 3; 16/5; ; 10/3; 10/3; 7/2; ; ; ; 10/3; 29/10; 7/2; ; 57/17; ; 17/5; ; 57/17; ; ; 62/17; ; ; 27/10; ; 
Egham Town; ; ; 19/5; 7/2; 18/5; ; 17/5; 10/3; 7/2; ; ; ; 10/3; 18/5; 15/4; ; 16/5; ; 16/5; ; 16/5; ; ; 7/2; ; ; 3; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-14 13:48:18 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 13/20; 4/7; 4/7; ; 11/20; 8/15; 8/13; ; ; ; 3/5; 11/20; 4/7; ; 5/9; ; 4/7; ; 5/9; ; ; 3/5; ; ; 1/2; ; 
Draw; ; ; 31/10; 3; 16/5; ; 10/3; 10/3; 7/2; ; ; ; 10/3; 29/10; 7/2; ; 57/17; ; 17/5; ; 57/17; ; ; 62/17; ; ; 27/10; ; 
Egham Town; ; ; 19/5; 7/2; 18/5; ; 7/2; 10/3; 7/2; ; ; ; 10/3; 18/5; 15/4; ; 16/5; ; 16/5; ; 16/5; ; ; 7/2; ; ; 3; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-14 15:47:56 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 1/2; 4/9; 1/2; ; 9/20; 4/9; 8/15; ; ; ; 1/2; 2/5; 4/7; ; 7/15; ; 4/7; ; 7/15; ; ; 1/2; ; ; 4/11; ; 
Draw; ; ; 17/5; 3; 10/3; ; 7/2; 10/3; 19/5; ; ; ; 7/2; 16/5; 7/2; ; 17/5; ; 17/5; ; 17/5; ; ; 62/17; ; ; 14/5; ; 
Egham Town; ; ; 5; 9/2; 9/2; ; 21/5; 4; 9/2; ; ; ; 4; 24/5; 15/4; ; 4; ; 16/5; ; 4; ; ; 9/2; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-14 16:24:42 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 1/2; 4/9; 4/9; ; 9/20; 4/9; 1/2; ; ; ; 1/2; 2/5; 4/7; ; 7/15; ; 4/7; ; 7/15; ; ; 1/2; ; ; 4/11; ; 
Draw; ; ; 17/5; 3; 7/2; ; 7/2; 10/3; 19/5; ; ; ; 7/2; 16/5; 7/2; ; 17/5; ; 17/5; ; 17/5; ; ; 62/17; ; ; 14/5; ; 
Egham Town; ; ; 5; 9/2; 9/2; ; 17/4; 4; 19/4; ; ; ; 4; 24/5; 15/4; ; 4; ; 16/5; ; 4; ; ; 9/2; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-14 17:47:40 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 1/2; 1/2; 4/9; ; 8/15; 4/9; 1/2; ; ; ; 1/2; 2/5; 4/7; ; 7/15; ; 4/7; ; 7/15; ; ; 1/2; ; ; 4/11; ; 
Draw; ; ; 17/5; 16/5; 7/2; ; 10/3; 10/3; 19/5; ; ; ; 7/2; 16/5; 7/2; ; 17/5; ; 17/5; ; 17/5; ; ; 62/17; ; ; 14/5; ; 
Egham Town; ; ; 5; 4; 9/2; ; 18/5; 4; 19/4; ; ; ; 4; 24/5; 15/4; ; 4; ; 16/5; ; 4; ; ; 9/2; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-14 18:39:10 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 1/2; 4/9; 4/9; ; 8/15; 4/9; 1/2; ; ; ; 1/2; 2/5; 4/7; ; 5/11; ; 4/7; ; 5/11; ; ; 5/11; ; ; 4/11; ; 
Draw; ; ; 17/5; 3; 7/2; ; 10/3; 10/3; 19/5; ; ; ; 7/2; 16/5; 7/2; ; 17/5; ; 17/5; ; 17/5; ; ; 7/2; ; ; 14/5; ; 
Egham Town; ; ; 5; 9/2; 9/2; ; 18/5; 4; 19/4; ; ; ; 4; 24/5; 15/4; ; 77/19; ; 16/5; ; 77/19; ; ; 4; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-14 19:48:14 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 1/2; 1/2; 4/9; ; 4/9; 4/9; 1/2; ; ; ; 1/2; 2/5; 4/7; ; 5/11; ; 4/7; ; 5/11; ; ; 5/11; ; ; 4/11; ; 
Draw; ; ; 17/5; 16/5; 7/2; ; 10/3; 10/3; 19/5; ; ; ; 7/2; 16/5; 7/2; ; 17/5; ; 17/5; ; 17/5; ; ; 7/2; ; ; 14/5; ; 
Egham Town; ; ; 5; 4; 9/2; ; 22/5; 4; 19/4; ; ; ; 4; 24/5; 15/4; ; 77/19; ; 16/5; ; 77/19; ; ; 4; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-14 20:23:28 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 1/2; 1/2; 4/9; ; 4/9; 4/9; 1/2; ; ; ; 1/2; 2/5; 4/7; ; 5/11; ; 4/7; ; 5/11; ; ; 5/11; ; ; 4/11; ; 
Draw; ; ; 17/5; 16/5; 7/2; ; 7/2; 10/3; 19/5; ; ; ; 7/2; 16/5; 7/2; ; 17/5; ; 17/5; ; 17/5; ; ; 7/2; ; ; 14/5; ; 
Egham Town; ; ; 5; 4; 9/2; ; 22/5; 4; 19/4; ; ; ; 4; 24/5; 15/4; ; 77/19; ; 16/5; ; 77/19; ; ; 4; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-14 21:48:34 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 47/100; 1/2; 4/9; ; 4/9; 2/5; 1/2; ; ; ; 12/25; 2/5; 4/7; ; 5/11; ; 4/7; ; 5/11; ; ; 5/11; ; ; 4/11; ; 
Draw; ; ; 16/5; 16/5; 7/2; ; 7/2; 7/2; 19/5; ; ; ; 7/2; 16/5; 7/2; ; 38/11; ; 17/5; ; 38/11; ; ; 7/2; ; ; 14/5; ; 
Egham Town; ; ; 19/4; 4; 9/2; ; 22/5; 9/2; 19/4; ; ; ; 17/4; 24/5; 15/4; ; 77/19; ; 16/5; ; 77/19; ; ; 4; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-14 23:47:42 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 47/100; 4/9; 4/9; ; 4/9; 2/5; 1/2; ; ; ; ; 2/5; 4/7; ; 5/11; ; 5/11; ; 4/9; ; ; 5/11; ; ; 4/11; ; 
Draw; ; ; 16/5; 10/3; 7/2; ; 18/5; 7/2; 19/5; ; ; ; ; 16/5; 7/2; ; 38/11; ; 18/5; ; 38/11; ; ; 7/2; ; ; 14/5; ; 
Egham Town; ; ; 19/4; 4; 9/2; ; 9/2; 9/2; 5; ; ; ; ; 24/5; 15/4; ; 77/19; ; 17/4; ; 54/13; ; ; 4; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-15 00:24:15 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 47/100; 4/9; 4/9; ; 4/9; 2/5; 1/2; ; ; ; 9/20; 2/5; 4/7; ; 5/11; ; 5/11; ; 4/9; ; ; 5/11; ; ; 4/11; ; 
Draw; ; ; 16/5; 10/3; 7/2; ; 18/5; 7/2; 19/5; ; ; ; 7/2; 16/5; 7/2; ; 38/11; ; 18/5; ; 38/11; ; ; 7/2; ; ; 14/5; ; 
Egham Town; ; ; 19/4; 4; 9/2; ; 9/2; 9/2; 5; ; ; ; 19/4; 24/5; 15/4; ; 77/19; ; 17/4; ; 54/13; ; ; 4; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-15 01:01:22 GMT+3; 2016-10-15 15:00; e70300-dr003
St Albans; ; ; 47/100; 4/9; 4/9; ; 4/9; 2/5; 1/2; ; ; ; 9/20; 2/5; 4/7; ; 5/11; ; 5/11; ; 4/9; ; ; 5/11; ; ; 4/11; ; 
Draw; ; ; 16/5; 10/3; 7/2; ; 18/5; 7/2; 19/5; ; ; ; 7/2; 16/5; 7/2; ; 38/11; ; 18/5; ; 38/11; ; ; 7/2; ; ; 14/5; ; 
Egham Town; ; ; 19/4; 4; 9/2; ; 9/2; 9/2; 5; ; ; ; 19/4; 24/5; 15/4; ; 77/19; ; 17/4; ; 54/13; ; ; 4; ; ; 22/5; ; 
META; english/fa-cup/egham-town-v-st-albans; 2016-10-15 01:47:29 GMT+3; 2016-10-15 15:00; e70300-dr003
