META; english/fa-cup/millwall-v-southend; 2016-10-30 20:23:06 GMT+3; 2016-11-04 19:45; e70300-dr003
Millwall; 8/11; 2/3; 8/11; ; 7/10; ; 4/6; ; ; ; 7/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 3; 11/4; ; 11/4; ; 29/10; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southend; 7/2; 10/3; 18/5; ; 10/3; ; 7/2; ; ; ; 17/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/millwall-v-southend; 2016-10-31 00:21:57 GMT+3; 2016-11-04 19:45; e70300-dr003
Millwall; 8/11; 2/3; 8/11; ; 7/10; ; 4/6; ; ; ; 7/10; ; ; ; 7/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 3; 11/4; ; 11/4; ; 29/10; ; ; ; 27/10; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southend; 7/2; 10/3; 18/5; ; 10/3; ; 7/2; ; ; ; 17/5; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/millwall-v-southend; 2016-10-31 04:21:27 GMT+3; 2016-11-04 19:45; e70300-dr003
Millwall; 8/11; 2/3; 8/11; ; 7/10; ; 4/6; ; ; ; 7/10; ; ; ; 7/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 3; 11/4; ; 11/4; ; 29/10; ; ; ; 27/10; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southend; 7/2; 10/3; 18/5; ; 10/3; ; 7/2; ; ; ; 17/5; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/millwall-v-southend; 2016-10-31 08:21:14 GMT+3; 2016-11-04 19:45; e70300-dr003
Millwall; 8/11; 2/3; 8/11; ; 7/10; ; 4/6; ; ; ; 7/10; ; ; ; 7/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 3; 11/4; ; 11/4; ; 29/10; ; ; ; 27/10; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southend; 7/2; 10/3; 18/5; ; 10/3; ; 7/2; ; ; ; 17/5; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/millwall-v-southend; 2016-10-31 12:21:57 GMT+3; 2016-11-04 19:45; e70300-dr003
Millwall; 8/11; 2/3; 8/11; ; 7/10; ; 4/6; ; 4/5; ; 7/10; ; ; ; 7/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 3; 11/4; ; 11/4; ; 29/10; ; 14/5; ; 27/10; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southend; 7/2; 10/3; 18/5; ; 10/3; ; 7/2; ; 7/2; ; 17/5; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/millwall-v-southend; 2016-10-31 16:22:02 GMT+3; 2016-11-04 19:45; e70300-dr003
Millwall; 8/11; 2/3; 8/11; 3/4; 7/10; ; 4/6; ; 8/11; ; 7/10; ; ; ; 7/10; ; 5/7; ; 4/6; ; 5/7; ; ; ; 8/11; ; 4/9; ; 
Draw; 14/5; 3; 11/4; 14/5; 11/4; ; 29/10; ; 14/5; ; 27/10; ; ; ; 14/5; ; 27/10; ; 14/5; ; 27/10; ; ; ; 11/4; ; 11/5; ; 
Southend; 7/2; 10/3; 18/5; 7/2; 10/3; ; 7/2; ; 7/2; ; 17/5; ; ; ; 7/2; ; 57/17; ; 7/2; ; 57/17; ; ; ; 7/2; ; 27/10; ; 
META; english/fa-cup/millwall-v-southend; 2016-10-31 20:22:59 GMT+3; 2016-11-04 19:45; e70300-dr003
