META; english/fa-cup/harrow-borough-v-margate; 2016-10-12 16:24:56 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; 
Harrow Borough; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 25/12; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-12 20:24:42 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; 
Harrow Borough; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 25/12; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-13 10:48:44 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; ; ; ; ; ; 
Harrow Borough; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/12; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-13 12:23:37 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; 7/5; ; ; ; ; ; ; 
Harrow Borough; 6/4; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; 23/12; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-13 16:23:58 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; ; ; ; 5/4; ; 13/10; ; ; ; ; ; ; ; 11/8; 13/10; 5/4; ; 5/4; ; 5/4; 7/5; ; ; ; ; 1/100; ; 
Harrow Borough; 6/4; ; ; ; 6/4; ; 8/5; ; ; ; ; ; ; ; 8/5; 8/5; 6/4; ; 8/5; ; 6/4; 19/10; ; ; ; ; 1/100; ; 
Draw; 13/5; ; ; ; 5/2; ; 11/4; ; ; ; ; ; ; ; 11/4; 11/4; 28/11; ; 27/10; ; 28/11; 11/4; ; ; ; ; ; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-13 20:24:24 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; 13/10; ; ; 5/4; ; 13/10; ; ; ; ; ; ; ; 11/8; 13/10; 13/10; ; 5/4; ; 13/10; 7/5; ; ; ; ; 1/50; ; 
Harrow Borough; 6/4; 6/4; ; ; 6/4; ; 8/5; ; ; ; ; ; ; ; 8/5; 8/5; 6/4; ; 8/5; ; 6/4; 19/10; ; ; ; ; 1/50; ; 
Draw; 13/5; 12/5; ; ; 5/2; ; 11/4; ; ; ; ; ; ; ; 11/4; 11/4; 13/5; ; 27/10; ; 13/5; 11/4; ; ; ; ; 1/100; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-14 00:23:05 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; 13/10; ; ; 5/4; ; 13/10; ; ; ; ; ; ; ; 11/8; 13/10; 13/10; ; 5/4; ; 13/10; 7/5; ; ; ; ; 1/50; ; 
Harrow Borough; 6/4; 6/4; ; ; 6/4; ; 8/5; ; ; ; ; ; ; ; 8/5; 8/5; 6/4; ; 8/5; ; 6/4; 19/10; ; ; ; ; 1/50; ; 
Draw; 13/5; 12/5; ; ; 5/2; ; 11/4; ; ; ; ; ; ; ; 11/4; 11/4; 13/5; ; 27/10; ; 13/5; 11/4; ; ; ; ; 1/100; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-14 04:23:36 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; 13/10; ; ; 5/4; ; 13/10; ; ; ; ; ; ; ; 11/8; 13/10; 13/10; ; 5/4; ; 13/10; 7/5; ; ; ; ; 1/50; ; 
Harrow Borough; 6/4; 6/4; ; ; 6/4; ; 8/5; ; ; ; ; ; ; ; 8/5; 8/5; 6/4; ; 8/5; ; 6/4; 19/10; ; ; ; ; 1/50; ; 
Draw; 13/5; 12/5; ; ; 5/2; ; 11/4; ; ; ; ; ; ; ; 11/4; 11/4; 13/5; ; 27/10; ; 13/5; 11/4; ; ; ; ; 1/100; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-14 08:23:28 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; 13/10; ; ; 5/4; ; 13/10; ; ; ; ; ; ; ; 11/8; 13/10; 13/10; ; 5/4; ; 13/10; 7/5; ; ; ; ; 1/50; ; 
Harrow Borough; 6/4; 6/4; ; ; 6/4; ; 8/5; ; ; ; ; ; ; ; 8/5; 8/5; 6/4; ; 8/5; ; 6/4; 19/10; ; ; ; ; 1/50; ; 
Draw; 13/5; 12/5; ; ; 5/2; ; 11/4; ; ; ; ; ; ; ; 11/4; 11/4; 13/5; ; 27/10; ; 13/5; 11/4; ; ; ; ; 1/100; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-14 12:24:44 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; 13/10; ; ; 11/8; ; 13/10; ; ; ; ; ; ; ; 11/8; 13/10; 13/10; ; 5/4; ; 13/10; 7/5; ; ; ; ; 1/50; ; 
Harrow Borough; 6/4; 6/4; ; ; 8/5; ; 8/5; ; ; ; ; ; ; ; 8/5; 8/5; 6/4; ; 8/5; ; 6/4; 19/10; ; ; ; ; 1/50; ; 
Draw; 13/5; 12/5; ; ; 13/5; ; 11/4; ; ; ; ; ; ; ; 11/4; 11/4; 13/5; ; 27/10; ; 13/5; 11/4; ; ; ; ; 1/100; ; 
META; english/fa-cup/harrow-borough-v-margate; 2016-10-14 16:24:50 GMT+3; 2016-10-15 15:00; e70300-dr003
Margate; 13/10; 13/10; ; 11/8; 11/8; ; 11/8; ; ; ; ; ; ; ; 11/8; 11/8; 13/10; ; 5/4; ; 13/10; 7/5; ; ; ; ; 1/50; ; 
