META; english/fa-cup/altrincham-v-matlock-town; 2016-10-10 16:23:26 GMT+3; 2016-10-15 15:00; e70300-dr003
Altrincham; 10/11; ; ; ; 9/10; ; 19/20; ; ; ; 19/20; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; 
Matlock Town; 11/5; ; ; ; 11/5; ; 23/10; ; ; ; 12/5; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; 12/5; ; 13/5; ; ; ; 12/5; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/altrincham-v-matlock-town; 2016-10-10 20:24:34 GMT+3; 2016-10-15 15:00; e70300-dr003
Altrincham; 10/11; ; 1; ; 9/10; ; 19/20; ; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; 1; ; ; ; ; ; ; 
Draw; 13/5; ; 5/2; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; 11/4; ; ; ; ; ; ; 
Matlock Town; 11/5; ; 13/5; ; 11/5; ; 13/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; 37/13; ; ; ; ; ; ; 
META; english/fa-cup/altrincham-v-matlock-town; 2016-10-11 00:22:10 GMT+3; 2016-10-15 15:00; e70300-dr003
Altrincham; 10/11; ; 1; ; 5/6; ; 9/10; 5/6; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; 42/41; ; ; ; ; ; ; 
Matlock Town; 11/5; ; 13/5; ; 11/5; ; 23/10; 11/5; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; 49/18; ; ; ; ; ; ; 
Draw; 13/5; ; 5/2; ; 13/5; ; 11/4; 11/4; ; ; ; ; ; ; ; 3; ; ; ; ; ; 25/9; ; ; ; ; ; ; 
META; english/fa-cup/altrincham-v-matlock-town; 2016-10-11 04:22:42 GMT+3; 2016-10-15 15:00; e70300-dr003
Altrincham; 10/11; ; 1; ; 9/10; ; 9/10; 5/6; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; 42/41; ; ; ; ; ; ; 
Matlock Town; 11/5; ; 13/5; ; 21/10; ; 23/10; 11/5; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; 49/18; ; ; ; ; ; ; 
Draw; 13/5; ; 5/2; ; 13/5; ; 27/10; 11/4; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; 25/9; ; ; ; ; ; ; 
META; english/fa-cup/altrincham-v-matlock-town; 2016-10-11 08:23:00 GMT+3; 2016-10-15 15:00; e70300-dr003
Altrincham; 10/11; ; 1; ; 9/10; ; 9/10; 5/6; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; 42/41; ; ; ; ; ; ; 
Matlock Town; 11/5; ; 13/5; ; 11/5; ; 12/5; 11/5; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; 49/18; ; ; ; ; ; ; 
Draw; 13/5; ; 5/2; ; 5/2; ; 13/5; 11/4; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; 25/9; ; ; ; ; ; ; 
META; english/fa-cup/altrincham-v-matlock-town; 2016-10-11 12:23:45 GMT+3; 2016-10-15 15:00; e70300-dr003
Altrincham; 10/11; ; 1; ; 9/10; 9/10; 9/10; 5/6; 1; ; ; ; ; ; ; 19/20; 10/11; ; ; ; 10/11; 42/41; ; ; ; ; ; ; 
Matlock Town; 11/5; ; 13/5; ; 21/10; 11/5; 9/4; 11/5; 5/2; ; ; ; ; ; ; 9/4; 28/13; ; ; ; 28/13; 49/18; ; ; ; ; ; ; 
Draw; 13/5; ; 5/2; ; 13/5; 13/5; 11/4; 11/4; 14/5; ; ; ; ; ; ; 14/5; 13/5; ; ; ; 13/5; 25/9; ; ; ; ; ; ; 
META; english/fa-cup/altrincham-v-matlock-town; 2016-10-11 16:24:11 GMT+3; 2016-10-15 15:00; e70300-dr003
Altrincham; 10/11; ; 1; 10/11; 9/10; 9/10; 9/10; 5/6; 1; ; ; ; ; ; ; 10/11; 10/11; ; ; ; 10/11; 42/41; ; ; ; ; ; ; 
Matlock Town; 11/5; ; 13/5; 23/10; 11/5; 11/5; 23/10; 23/10; 5/2; ; ; ; ; ; ; 12/5; 28/13; ; ; ; 28/13; 49/18; ; ; ; ; ; ; 
Draw; 13/5; ; 5/2; 5/2; 5/2; 13/5; 27/10; 11/4; 14/5; ; ; ; ; ; ; 14/5; 13/5; ; ; ; 13/5; 25/9; ; ; ; ; ; ; 
META; english/fa-cup/altrincham-v-matlock-town; 2016-10-11 20:23:44 GMT+3; 2016-10-15 15:00; e70300-dr003
Altrincham; 10/11; ; 1; 10/11; 9/10; 9/10; 9/10; 5/6; 1; ; ; ; 19/20; ; ; 10/11; 13/15; ; ; ; 13/15; 42/41; ; ; ; ; ; ; 
Matlock Town; 11/5; ; 13/5; 23/10; 11/5; 11/5; 12/5; 23/10; 5/2; ; ; ; 47/20; ; ; 12/5; 11/5; ; ; ; 11/5; 49/18; ; ; ; ; ; ; 
Draw; 13/5; ; 5/2; 5/2; 5/2; 13/5; 13/5; 11/4; 14/5; ; ; ; 53/20; ; ; 14/5; 28/11; ; ; ; 28/11; 25/9; ; ; ; ; ; ; 
META; english/fa-cup/altrincham-v-matlock-town; 2016-10-12 00:22:39 GMT+3; 2016-10-15 15:00; e70300-dr003
Altrincham; 10/11; ; 1; 10/11; 9/10; 9/10; 9/10; 5/6; 1; ; ; ; 19/20; ; ; 10/11; 13/15; ; ; ; 13/15; 42/41; ; ; ; ; ; ; 
Matlock Town; 11/5; ; 13/5; 23/10; 11/5; 11/5; 12/5; 23/10; 5/2; ; ; ; 47/20; ; ; 12/5; 11/5; ; ; ; 11/5; 49/18; ; ; ; ; ; ; 
Draw; 13/5; ; 5/2; 5/2; 5/2; 13/5; 13/5; 11/4; 14/5; ; ; ; 53/20; ; ; 14/5; 28/11; ; ; ; 28/11; 25/9; ; ; ; ; ; ; 
META; english/fa-cup/altrincham-v-matlock-town; 2016-10-12 08:22:38 GMT+3; 2016-10-15 15:00; e70300-dr003
Altrincham; 10/11; ; 1; 10/11; 9/10; 9/10; 9/10; 5/6; 1; ; ; ; 19/20; ; ; 10/11; 13/15; ; ; ; 13/15; 42/41; ; ; ; ; ; ; 
Matlock Town; 11/5; ; 13/5; 23/10; 11/5; 11/5; 23/10; 23/10; 5/2; ; ; ; 47/20; ; ; 12/5; 11/5; ; ; ; 11/5; 49/18; ; ; ; ; ; ; 
Draw; 13/5; ; 5/2; 5/2; 5/2; 13/5; 11/4; 11/4; 14/5; ; ; ; 53/20; ; ; 14/5; 28/11; ; ; ; 28/11; 25/9; ; ; ; ; ; ; 
META; english/fa-cup/altrincham-v-matlock-town; 2016-10-12 12:24:40 GMT+3; 2016-10-15 15:00; e70300-dr003
Altrincham; 10/11; ; 1; 10/11; 9/10; 9/10; 9/10; 5/6; 1; ; ; ; 19/20; ; ; 19/20; 10/11; ; ; ; 10/11; 42/41; ; ; ; ; ; ; 
Matlock Town; 11/5; ; 13/5; 23/10; 11/5; 11/5; 23/10; 23/10; 5/2; ; ; ; 47/20; ; ; 9/4; 28/13; ; ; ; 28/13; 49/18; ; ; ; ; ; ; 
Draw; 13/5; ; 5/2; 5/2; 5/2; 13/5; 11/4; 11/4; 14/5; ; ; ; 53/20; ; ; 14/5; 28/11; ; ; ; 28/11; 25/9; ; ; ; ; ; ; 
META; english/fa-cup/altrincham-v-matlock-town; 2016-10-12 16:24:29 GMT+3; 2016-10-15 15:00; e70300-dr003
Altrincham; 10/11; ; 1; 10/11; 9/10; 9/10; 9/10; 5/6; 1; ; ; ; 19/20; ; ; 19/20; 10/11; ; 10/11; ; 10/11; 42/41; ; ; ; ; ; ; 
Matlock Town; 11/5; ; 13/5; 23/10; 11/5; 11/5; 23/10; 23/10; 5/2; ; ; ; 47/20; ; ; 9/4; 11/5; ; 23/10; ; 11/5; 49/18; ; ; ; ; ; ; 
Draw; 13/5; ; 5/2; 5/2; 5/2; 13/5; 27/10; 11/4; 14/5; ; ; ; 53/20; ; ; 14/5; 28/11; ; 13/5; ; 28/11; 25/9; ; ; ; ; ; ; 
META; english/fa-cup/altrincham-v-matlock-town; 2016-10-12 20:24:12 GMT+3; 2016-10-15 15:00; e70300-dr003
Altrincham; 10/11; ; 1; 10/11; 9/10; 9/10; 9/10; 5/6; 1; ; ; ; 19/20; ; ; 19/20; 10/11; ; 10/11; ; 10/11; 42/41; ; ; ; ; ; ; 
Matlock Town; 11/5; ; 13/5; 23/10; 11/5; 11/5; 23/10; 23/10; 5/2; ; ; ; 47/20; ; ; 9/4; 11/5; ; 23/10; ; 11/5; 49/18; ; ; ; ; ; ; 
