META; english/fa-cup/marine-v-nantwich-town; 2016-09-18 20:24:08 GMT+3; 2016-09-20 19:45; e70300-dr003
Marine; 5/4; ; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Nantwich Town; 8/5; ; ; ; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/marine-v-nantwich-town; 2016-09-19 00:22:23 GMT+3; 2016-09-20 19:45; e70300-dr003
Marine; 5/4; ; 7/5; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Nantwich Town; 8/5; ; 9/5; ; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/marine-v-nantwich-town; 2016-09-19 03:45:42 GMT+3; 2016-09-20 19:45; e70300-dr003
Marine; 5/4; 13/10; 7/5; ; 11/8; ; ; ; 7/5; ; ; 13/10; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; 
Nantwich Town; 8/5; 13/8; 9/5; ; 7/4; ; ; ; 9/5; ; ; 17/10; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 23/10; 5/2; ; 13/5; ; ; ; 11/4; ; ; 23/10; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/marine-v-nantwich-town; 2016-09-19 04:22:09 GMT+3; 2016-09-20 19:45; e70300-dr003
Marine; 5/4; 13/10; 7/5; ; 11/8; ; ; ; 7/5; ; ; 13/10; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; 
Nantwich Town; 8/5; 13/8; 9/5; ; 7/4; ; ; ; 9/5; ; ; 17/10; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 23/10; 5/2; ; 13/5; ; ; ; 11/4; ; ; 23/10; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/marine-v-nantwich-town; 2016-09-19 05:45:44 GMT+3; 2016-09-20 19:45; e70300-dr003
Marine; 5/4; 13/10; 7/5; ; 11/8; ; ; ; 7/5; ; ; 13/10; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; 
Nantwich Town; 8/5; 13/8; 9/5; ; 7/4; ; ; ; 9/5; ; ; 17/10; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 23/10; 5/2; ; 13/5; ; ; ; 11/4; ; ; 23/10; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
