META; english/fa-cup/grantham-town-v-chasetown; 2016-09-06 11:45:58 GMT+3; 2016-09-06 19:45; e70300-dr003
Grantham Town; 4/5; 4/5; ; ; 9/10; ; 17/20; ; ; ; ; ; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; 
Chasetown; 12/5; 12/5; ; ; 13/5; ; 27/10; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; 3; ; 3; ; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/grantham-town-v-chasetown; 2016-09-06 12:23:11 GMT+3; 2016-09-06 19:45; e70300-dr003
Grantham Town; 4/5; 4/5; ; ; 9/10; ; 20/23; ; 9/10; ; ; ; ; ; ; ; 11/13; 4/5; ; 13/15; ; 4/5; ; ; ; ; ; ; 
Chasetown; 12/5; 12/5; ; ; 13/5; ; 27/10; ; 13/5; ; ; ; ; ; ; ; 13/5; 12/5; ; 13/5; ; 12/5; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; 3; ; 29/10; ; 3; ; ; ; ; ; ; ; 14/5; 14/5; ; 29/10; ; 14/5; ; ; ; ; ; ; 
META; english/fa-cup/grantham-town-v-chasetown; 2016-09-06 12:58:16 GMT+3; 2016-09-06 19:45; e70300-dr003
Grantham Town; 4/5; 4/5; ; ; 9/10; ; 20/23; ; 9/10; ; ; ; ; ; ; ; 11/13; 4/5; ; 13/15; ; 4/5; ; ; ; ; ; ; 
Chasetown; 12/5; 12/5; ; ; 13/5; ; 27/10; ; 13/5; ; ; ; ; ; ; ; 5/2; 12/5; ; 13/5; ; 12/5; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; 3; ; 29/10; ; 3; ; ; ; ; ; ; ; 3; 14/5; ; 29/10; ; 14/5; ; ; ; ; ; ; 
META; english/fa-cup/grantham-town-v-chasetown; 2016-09-06 13:46:07 GMT+3; 2016-09-06 19:45; e70300-dr003
Grantham Town; 4/5; 4/5; ; ; 9/10; ; 20/23; ; 9/10; ; ; ; ; ; ; ; 11/13; 4/5; ; 13/15; ; 4/5; ; ; ; ; ; ; 
Chasetown; 12/5; 12/5; ; ; 13/5; ; 27/10; ; 13/5; ; ; ; ; ; ; ; 5/2; 12/5; ; 13/5; ; 12/5; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; 3; ; 29/10; ; 3; ; ; ; ; ; ; ; 3; 14/5; ; 29/10; ; 14/5; ; ; ; ; ; ; 
META; english/fa-cup/grantham-town-v-chasetown; 2016-09-06 15:46:01 GMT+3; 2016-09-06 19:45; e70300-dr003
Grantham Town; 4/5; 4/5; ; ; 9/10; ; 20/23; 4/5; 9/10; ; ; ; ; ; ; ; 11/13; 4/5; ; 13/15; ; 4/5; ; ; ; ; ; ; 
Chasetown; 12/5; 12/5; ; ; 13/5; ; 27/10; 12/5; 13/5; ; ; ; ; ; ; ; 5/2; 12/5; ; 13/5; ; 12/5; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; 3; ; 29/10; 11/4; 3; ; ; ; ; ; ; ; 3; 11/4; ; 29/10; ; 11/4; ; ; ; ; ; ; 
META; english/fa-cup/grantham-town-v-chasetown; 2016-09-06 16:23:02 GMT+3; 2016-09-06 19:45; e70300-dr003
Grantham Town; 4/5; 4/5; ; ; 9/10; ; 20/23; 4/5; 9/10; ; ; ; ; ; ; ; 11/13; 4/5; ; 13/15; ; 4/5; ; ; ; ; ; ; 
Chasetown; 12/5; 12/5; ; ; 13/5; ; 27/10; 12/5; 13/5; ; ; ; ; ; ; ; 5/2; 12/5; ; 13/5; ; 12/5; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; 3; ; 29/10; 11/4; 3; ; ; ; ; ; ; ; 3; 11/4; ; 29/10; ; 11/4; ; ; ; ; ; ; 
META; english/fa-cup/grantham-town-v-chasetown; 2016-09-06 17:46:00 GMT+3; 2016-09-06 19:45; e70300-dr003
Grantham Town; 4/5; 5/6; ; ; 9/10; ; 20/23; 4/5; 9/10; ; ; ; ; ; ; ; 11/13; 4/5; ; 13/15; ; 4/5; ; ; ; ; ; ; 
Chasetown; 12/5; 12/5; ; ; 13/5; ; 27/10; 12/5; 13/5; ; ; ; ; ; ; ; 5/2; 12/5; ; 13/5; ; 12/5; ; ; ; ; ; ; 
Draw; 14/5; 13/5; ; ; 3; ; 29/10; 11/4; 3; ; ; ; ; ; ; ; 3; 11/4; ; 29/10; ; 11/4; ; ; ; ; ; ; 
META; english/fa-cup/grantham-town-v-chasetown; 2016-09-06 19:45:43 GMT+3; 2016-09-06 19:45; e70300-dr003
Grantham Town; 4/5; 4/5; ; ; 9/10; ; 20/23; 4/5; 9/10; ; ; ; ; ; ; ; 11/13; 4/5; ; 13/15; ; 4/5; ; ; ; ; ; ; 
Chasetown; 12/5; 12/5; ; ; 13/5; ; 27/10; 12/5; 13/5; ; ; ; ; ; ; ; 13/5; 12/5; ; 13/5; ; 12/5; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; 3; ; 29/10; 11/4; 3; ; ; ; ; ; ; ; 14/5; 11/4; ; 29/10; ; 11/4; ; ; ; ; ; ; 
