META; english/fa-cup/felixstowe-and-walton-utd-v-bishop-stortford; 2016-09-14 20:26:03 GMT+3; 2016-09-17 15:00; e70300-dr003
Bishop Stortford; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Felixstowe and Walton Utd; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/felixstowe-and-walton-utd-v-bishop-stortford; 2016-09-15 00:24:26 GMT+3; 2016-09-17 15:00; e70300-dr003
Bishop Stortford; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Felixstowe and Walton Utd; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/felixstowe-and-walton-utd-v-bishop-stortford; 2016-09-15 04:24:14 GMT+3; 2016-09-17 15:00; e70300-dr003
Bishop Stortford; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Felixstowe and Walton Utd; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/felixstowe-and-walton-utd-v-bishop-stortford; 2016-09-15 08:23:48 GMT+3; 2016-09-17 15:00; e70300-dr003
Bishop Stortford; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Felixstowe and Walton Utd; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/felixstowe-and-walton-utd-v-bishop-stortford; 2016-09-15 12:24:46 GMT+3; 2016-09-17 15:00; e70300-dr003
Bishop Stortford; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Felixstowe and Walton Utd; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/felixstowe-and-walton-utd-v-bishop-stortford; 2016-09-15 16:25:31 GMT+3; 2016-09-17 15:00; e70300-dr003
Bishop Stortford; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Felixstowe and Walton Utd; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/felixstowe-and-walton-utd-v-bishop-stortford; 2016-09-15 20:25:59 GMT+3; 2016-09-17 15:00; e70300-dr003
Bishop Stortford; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Felixstowe and Walton Utd; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/felixstowe-and-walton-utd-v-bishop-stortford; 2016-09-16 00:22:59 GMT+3; 2016-09-17 15:00; e70300-dr003
Bishop Stortford; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Felixstowe and Walton Utd; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/felixstowe-and-walton-utd-v-bishop-stortford; 2016-09-16 04:23:10 GMT+3; 2016-09-17 15:00; e70300-dr003
Bishop Stortford; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Felixstowe and Walton Utd; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/felixstowe-and-walton-utd-v-bishop-stortford; 2016-09-16 08:22:49 GMT+3; 2016-09-17 15:00; e70300-dr003
Bishop Stortford; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Felixstowe and Walton Utd; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/felixstowe-and-walton-utd-v-bishop-stortford; 2016-09-16 12:21:50 GMT+3; 2016-09-17 15:00; e70300-dr003
Bishop Stortford; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Felixstowe and Walton Utd; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/felixstowe-and-walton-utd-v-bishop-stortford; 2016-09-16 16:23:47 GMT+3; 2016-09-17 15:00; e70300-dr003
Bishop Stortford; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Felixstowe and Walton Utd; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/felixstowe-and-walton-utd-v-bishop-stortford; 2016-09-16 20:25:28 GMT+3; 2016-09-17 15:00; e70300-dr003
Bishop Stortford; 4/7; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Felixstowe and Walton Utd; 16/5; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/felixstowe-and-walton-utd-v-bishop-stortford; 2016-09-17 00:24:30 GMT+3; 2016-09-17 15:00; e70300-dr003
Bishop Stortford; 4/7; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Felixstowe and Walton Utd; 16/5; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/felixstowe-and-walton-utd-v-bishop-stortford; 2016-09-17 04:33:35 GMT+3; 2016-09-17 15:00; e70300-dr003
Bishop Stortford; 4/7; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Felixstowe and Walton Utd; 16/5; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/felixstowe-and-walton-utd-v-bishop-stortford; 2016-09-17 08:25:08 GMT+3; 2016-09-17 15:00; e70300-dr003
Bishop Stortford; 4/7; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Felixstowe and Walton Utd; 16/5; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/felixstowe-and-walton-utd-v-bishop-stortford; 2016-09-17 12:25:18 GMT+3; 2016-09-17 15:00; e70300-dr003
Bishop Stortford; 4/7; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16/5; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
