META; english/fa-cup/shrewsbury-v-barnet; 2016-10-30 20:24:25 GMT+3; 2016-11-05 15:00; e70300-dr003
Shrewsbury; 5/6; 4/5; 5/6; ; 4/5; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 5/2; 13/5; ; 12/5; ; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barnet; 10/3; 16/5; 10/3; ; 16/5; ; 16/5; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/shrewsbury-v-barnet; 2016-10-31 00:22:58 GMT+3; 2016-11-05 15:00; e70300-dr003
Shrewsbury; 5/6; 4/5; 5/6; ; 4/5; ; 4/5; ; ; ; 4/5; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 5/2; 13/5; ; 12/5; ; 5/2; ; ; ; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barnet; 10/3; 16/5; 10/3; ; 16/5; ; 16/5; ; ; ; 16/5; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/shrewsbury-v-barnet; 2016-10-31 04:22:28 GMT+3; 2016-11-05 15:00; e70300-dr003
Shrewsbury; 5/6; 4/5; 5/6; ; 4/5; ; 4/5; ; ; ; 4/5; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 5/2; 5/2; 13/5; ; 12/5; ; 5/2; ; ; ; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; 
Barnet; 10/3; 16/5; 10/3; ; 16/5; ; 16/5; ; ; ; 16/5; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
META; english/fa-cup/shrewsbury-v-barnet; 2016-10-31 08:22:10 GMT+3; 2016-11-05 15:00; e70300-dr003
Shrewsbury; 5/6; 4/5; 5/6; ; 4/5; ; 4/5; ; ; ; 4/5; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; 
Draw; 5/2; 5/2; 13/5; ; 12/5; ; 5/2; ; ; ; 5/2; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; 
Barnet; 10/3; 16/5; 10/3; ; 16/5; ; 16/5; ; ; ; 16/5; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; 
META; english/fa-cup/shrewsbury-v-barnet; 2016-10-31 12:23:08 GMT+3; 2016-11-05 15:00; e70300-dr003
Shrewsbury; 5/6; 4/5; 5/6; ; 4/5; ; 4/5; ; 5/6; ; 4/5; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; 
