META; english/fa-cup/skelmersdale-utd-v-dunston-uts; 2016-09-05 12:22:25 GMT+3; 2016-09-06 19:45; e70300-dr003
Skelmersdale Utd; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dunston UTS; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/skelmersdale-utd-v-dunston-uts; 2016-09-05 12:51:53 GMT+3; 2016-09-06 19:45; e70300-dr003
Skelmersdale Utd; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dunston UTS; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/skelmersdale-utd-v-dunston-uts; 2016-09-05 13:46:23 GMT+3; 2016-09-06 19:45; e70300-dr003
Skelmersdale Utd; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; 
Draw; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; 
Dunston UTS; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8; ; ; ; ; ; ; ; ; 
META; english/fa-cup/skelmersdale-utd-v-dunston-uts; 2016-09-05 15:46:29 GMT+3; 2016-09-06 19:45; e70300-dr003
Skelmersdale Utd; 1/4; 2/9; 2/7; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; 1/4; ; ; 1/4; ; ; ; ; ; ; ; ; 
Draw; 5; 9/2; 19/4; ; ; ; 5; ; ; ; ; ; ; ; ; ; 5; ; ; 4; ; ; ; ; ; ; ; ; 
Dunston UTS; 6; 8; 9; ; ; ; 21/2; ; ; ; ; ; ; ; ; ; 8; ; ; 8; ; ; ; ; ; ; ; ; 
META; english/fa-cup/skelmersdale-utd-v-dunston-uts; 2016-09-05 16:22:33 GMT+3; 2016-09-06 19:45; e70300-dr003
Skelmersdale Utd; 1/4; 2/9; 2/7; ; 1/4; ; 2/9; ; ; ; ; ; ; ; ; ; 1/4; ; ; 1/4; ; ; ; ; ; ; ; ; 
Draw; 5; 4; 19/4; ; 11/2; ; 5; ; ; ; ; ; ; ; ; ; 5; ; ; 4; ; ; ; ; ; ; ; ; 
Dunston UTS; 6; 17/2; 9; ; 9; ; 11; ; ; ; ; ; ; ; ; ; 8; ; ; 8; ; ; ; ; ; ; ; ; 
META; english/fa-cup/skelmersdale-utd-v-dunston-uts; 2016-09-05 17:46:12 GMT+3; 2016-09-06 19:45; e70300-dr003
Skelmersdale Utd; 1/4; 2/9; 2/7; ; ; ; 2/9; ; ; ; ; ; ; ; ; ; 1/4; ; ; 1/4; ; ; ; ; ; ; ; ; 
Draw; 5; 4; 19/4; ; ; ; 5; ; ; ; ; ; ; ; ; ; 5; ; ; 4; ; ; ; ; ; ; ; ; 
Dunston UTS; 6; 17/2; 9; ; ; ; 11; ; ; ; ; ; ; ; ; ; 17/2; ; ; 8; ; ; ; ; ; ; ; ; 
META; english/fa-cup/skelmersdale-utd-v-dunston-uts; 2016-09-05 18:32:24 GMT+3; 2016-09-06 19:45; e70300-dr003
Skelmersdale Utd; 1/4; 1/5; 2/7; ; 1/4; ; 1/4; ; ; ; ; ; ; ; ; ; 1/4; ; ; 1/4; ; ; ; ; ; ; ; ; 
Draw; 5; 9/2; 19/4; ; 11/2; ; 5; ; ; ; ; ; ; ; ; ; 5; ; ; 4; ; ; ; ; ; ; ; ; 
Dunston UTS; 6; 8; 9; ; 17/2; ; 21/2; ; ; ; ; ; ; ; ; ; 8; ; ; 8; ; ; ; ; ; ; ; ; 
META; english/fa-cup/skelmersdale-utd-v-dunston-uts; 2016-09-05 19:46:23 GMT+3; 2016-09-06 19:45; e70300-dr003
Skelmersdale Utd; 1/4; 1/5; 2/7; ; 1/4; ; 2/9; ; ; ; ; ; ; ; ; ; 2/9; ; ; 1/4; ; ; ; ; ; ; ; ; 
Draw; 5; 9/2; 19/4; ; 11/2; ; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 4; ; ; ; ; ; ; ; ; 
Dunston UTS; 6; 8; 9; ; 17/2; ; 21/2; ; ; ; ; ; ; ; ; ; 8; ; ; 8; ; ; ; ; ; ; ; ; 
META; english/fa-cup/skelmersdale-utd-v-dunston-uts; 2016-09-05 20:22:42 GMT+3; 2016-09-06 19:45; e70300-dr003
Skelmersdale Utd; 1/4; 1/5; 2/7; ; 1/4; ; 2/9; ; ; ; ; ; ; ; ; ; 2/9; ; ; 1/4; ; ; ; ; ; ; ; ; 
Draw; 5; 9/2; 19/4; ; 11/2; ; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 4; ; ; ; ; ; ; ; ; 
Dunston UTS; 6; 8; 9; ; 17/2; ; 21/2; ; ; ; ; ; ; ; ; ; 8; ; ; 8; ; ; ; ; ; ; ; ; 
META; english/fa-cup/skelmersdale-utd-v-dunston-uts; 2016-09-05 21:46:13 GMT+3; 2016-09-06 19:45; e70300-dr003
Skelmersdale Utd; 1/4; 1/5; 2/7; ; 1/4; ; 2/9; ; ; ; ; ; ; ; ; ; 2/9; ; ; 1/4; ; ; ; ; ; ; ; ; 
Draw; 5; 9/2; 19/4; ; 11/2; ; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 4; ; ; ; ; ; ; ; ; 
Dunston UTS; 6; 8; 9; ; 17/2; ; 21/2; ; ; ; ; ; ; ; ; ; 8; ; ; 8; ; ; ; ; ; ; ; ; 
