META; english/fa-cup/chelsea-v-man-utd; 2017-02-20 00:22:25 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; ; 11/10; ; 11/10; ; ; ; 19/10; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; 5/6; ; 
Man Utd; ; 9/4; ; 11/5; ; ; ; 13/10; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; ; 12/5; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 4/9; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-20 04:22:51 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; ; 11/10; ; ; 11/10; 19/10; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; 5/6; ; 
Man Utd; 12/5; 23/10; ; 11/5; ; ; 23/10; 13/10; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 5/2; 13/5; ; 23/10; ; ; 13/5; 23/10; ; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; 4/9; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-20 08:23:00 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; ; 11/10; 23/20; ; 11/10; 19/10; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; 5/6; ; 
Man Utd; 12/5; 23/10; ; 11/5; 5/2; ; 12/5; 13/10; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 5/2; 13/5; ; 23/10; 13/5; ; 5/2; 23/10; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 4/9; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-20 12:25:35 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; ; 11/10; 23/20; ; 11/10; 19/10; 11/10; ; 11/10; 11/10; ; ; ; 15/13; 21/20; ; ; 21/20; ; ; ; ; ; 5/6; ; 
Man Utd; 12/5; 23/10; ; 11/5; 5/2; ; 12/5; 13/10; 12/5; ; 12/5; 12/5; ; ; ; 5/2; 40/17; ; ; 40/17; ; ; ; ; ; 4/9; ; 
Draw; 5/2; 13/5; ; 23/10; 13/5; ; 5/2; 23/10; 5/2; ; 11/5; 5/2; ; ; ; 13/5; 27/11; ; ; 27/11; ; ; ; ; ; 4/9; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-20 16:24:55 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; ; 11/10; 23/20; ; 11/10; ; 11/10; ; 11/10; 21/20; ; 11/10; ; 15/13; 21/20; 11/10; 20/21; 21/20; 6/5; ; 22/23; ; ; 5/6; ; 
Draw; 5/2; 13/5; ; 23/10; 13/5; ; 5/2; ; 5/2; ; 11/5; 23/10; ; 23/10; ; 13/5; 12/5; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 21/10; ; 
Man Utd; 12/5; 23/10; ; 11/5; 5/2; ; 12/5; ; 12/5; ; 12/5; 13/5; ; 12/5; ; 5/2; 23/10; 23/10; 11/4; 23/10; 62/25; ; 11/4; ; ; 10/9; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-20 20:25:56 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; ; 11/10; ; 11/10; 21/20; ; 11/10; 23/20; 15/13; 21/20; 11/10; 20/21; ; 6/5; ; 22/23; ; ; 10/11; ; 
