META; english/fa-cup/arsenal-v-man-city; 2017-03-14 04:22:42 GMT+2; 2017-04-22 18:45; e70300-dr003
Man City; 11/10; 11/10; ; 11/10; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal; 12/5; 23/10; ; 9/4; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; 11/5; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/arsenal-v-man-city; 2017-03-14 08:22:40 GMT+2; 2017-04-22 18:45; e70300-dr003
Man City; 11/10; 11/10; ; 11/10; ; ; 11/10; ; ; ; ; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; ; ; ; 
Arsenal; 12/5; 23/10; ; 9/4; ; ; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 23/10; ; ; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; 11/5; ; ; 5/2; ; ; ; ; ; ; ; ; ; 12/5; ; ; 12/5; ; ; ; ; ; ; ; ; 
META; english/fa-cup/arsenal-v-man-city; 2017-03-14 12:24:26 GMT+2; 2017-04-23 18:45; e70300-dr003
Man City; 11/10; 11/10; ; 11/10; ; 21/20; 21/20; ; ; ; ; ; 21/20; ; ; ; 21/20; ; ; 21/20; 6/5; ; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; 11/5; ; 12/5; 5/2; ; ; ; ; ; 5/2; ; ; ; 12/5; ; ; 12/5; 51/20; ; ; ; ; ; ; ; 
Arsenal; 12/5; 23/10; ; 9/4; ; 23/10; 5/2; ; ; ; ; ; 5/2; ; ; ; 40/17; ; ; 40/17; 129/50; ; ; ; ; ; ; ; 
META; english/fa-cup/arsenal-v-man-city; 2017-03-14 16:23:24 GMT+2; 2017-04-23 18:45; e70300-dr003
Man City; 11/10; 11/10; ; 11/10; ; 21/20; 21/20; ; ; ; ; ; 21/20; ; ; ; 21/20; ; ; 21/20; 6/5; ; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; 11/5; ; 12/5; 5/2; ; ; ; ; ; 5/2; ; ; ; 12/5; ; ; 12/5; 51/20; ; ; ; ; ; ; ; 
Arsenal; 12/5; 23/10; ; 9/4; ; 23/10; 5/2; ; ; ; ; ; 5/2; ; ; ; 40/17; ; ; 40/17; 129/50; ; ; ; ; ; ; ; 
META; english/fa-cup/arsenal-v-man-city; 2017-03-14 20:24:05 GMT+2; 2017-04-23 18:45; e70300-dr003
Man City; 11/10; 11/10; ; 11/10; ; 21/20; 6/5; ; ; ; ; ; 6/5; ; ; ; 15/13; ; ; 15/13; 6/5; ; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; 11/5; ; 12/5; 12/5; ; ; ; ; ; 47/20; ; ; ; 23/10; ; ; 23/10; 51/20; ; ; ; ; ; ; ; 
Arsenal; 12/5; 23/10; ; 9/4; ; 23/10; 11/5; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; 9/4; 129/50; ; ; ; ; ; ; ; 
META; english/fa-cup/arsenal-v-man-city; 2017-03-15 00:23:00 GMT+2; 2017-04-23 18:45; e70300-dr003
Man City; 11/10; 11/10; ; 11/10; ; 21/20; 6/5; ; ; 11/10; ; ; 6/5; ; ; 6/5; 15/13; 21/20; 5/4; 15/13; 61/50; ; 5/4; ; 5/4; ; 1/14; ; 
Arsenal; 12/5; 23/10; ; 9/4; ; 23/10; 11/5; ; ; 9/4; ; ; 9/4; ; ; 5/2; 9/4; 5/2; 23/10; 9/4; 127/50; ; 23/10; ; 23/10; ; 1/14; ; 
Draw; 5/2; 5/2; ; 11/5; ; 12/5; 12/5; ; ; 5/2; ; ; 47/20; ; ; 13/5; 23/10; 12/5; 23/10; 23/10; 51/20; ; 23/10; ; 23/10; ; 21/10; ; 
META; english/fa-cup/arsenal-v-man-city; 2017-03-15 04:22:07 GMT+2; 2017-04-23 18:45; e70300-dr003
Man City; 11/10; 11/10; ; 11/10; ; 21/20; 6/5; ; ; 11/10; ; ; 6/5; ; ; 6/5; 15/13; 21/20; 5/4; ; 61/50; ; 5/4; ; 5/4; ; 1/14; ; 
Arsenal; 12/5; 23/10; ; 9/4; ; 23/10; 11/5; ; ; 9/4; ; ; 9/4; ; ; 5/2; 9/4; 5/2; 23/10; ; 5/2; ; 23/10; ; 23/10; ; 2; ; 
Draw; 5/2; 5/2; ; 11/5; ; 12/5; 12/5; ; ; 5/2; ; ; 47/20; ; ; 13/5; 23/10; 12/5; 23/10; ; 51/20; ; 23/10; ; 23/10; ; 21/10; ; 
META; english/fa-cup/arsenal-v-man-city; 2017-03-15 08:21:47 GMT+2; 2017-04-23 18:45; e70300-dr003
Man City; 6/5; 11/10; ; 11/10; ; 21/20; 6/5; ; ; 11/10; ; ; 6/5; ; ; 5/4; 15/13; 21/20; 5/4; 15/13; 5/4; ; 5/4; ; 5/4; ; 1/14; ; 
Arsenal; 23/10; 23/10; ; 9/4; ; 23/10; 11/5; ; ; 9/4; ; ; 9/4; ; ; 12/5; 9/4; 5/2; 23/10; 9/4; 123/50; ; 23/10; ; 23/10; ; 2; ; 
Draw; 12/5; 5/2; ; 11/5; ; 12/5; 12/5; ; ; 5/2; ; ; 47/20; ; ; 13/5; 9/4; 12/5; 23/10; 9/4; 64/25; ; 23/10; ; 23/10; ; 21/10; ; 
META; english/fa-cup/arsenal-v-man-city; 2017-03-15 12:24:55 GMT+2; 2017-04-23 18:45; e70300-dr003
Man City; 6/5; 11/10; ; 11/10; ; 21/20; 6/5; ; ; 11/10; ; ; 6/5; ; ; 5/4; 15/13; 21/20; 5/4; 15/13; 5/4; ; 5/4; ; 5/4; ; 1/14; ; 
Arsenal; 23/10; 23/10; ; 9/4; ; 23/10; 11/5; ; ; 9/4; ; ; 9/4; ; ; 12/5; 9/4; 5/2; 23/10; 9/4; 123/50; ; 23/10; ; 23/10; ; 2; ; 
Draw; 12/5; 5/2; ; 11/5; ; 12/5; 12/5; ; ; 5/2; ; ; 47/20; ; ; 13/5; 9/4; 12/5; 23/10; 9/4; 64/25; ; 23/10; ; 23/10; ; 21/10; ; 
META; english/fa-cup/arsenal-v-man-city; 2017-03-15 16:22:54 GMT+2; 2017-04-23 18:45; e70300-dr003
Man City; 6/5; 11/10; ; 11/10; ; 21/20; 6/5; ; ; 11/10; ; ; 6/5; ; ; 5/4; 6/5; 21/20; 5/4; 6/5; 5/4; ; 5/4; ; 5/4; ; 1/14; ; 
Arsenal; 23/10; 23/10; ; 9/4; ; 23/10; 11/5; ; ; 9/4; ; ; 9/4; ; ; 12/5; 11/5; 5/2; 23/10; 11/5; 123/50; ; 23/10; ; 23/10; ; 2; ; 
Draw; 12/5; 5/2; ; 11/5; ; 12/5; 12/5; ; ; 5/2; ; ; 47/20; ; ; 13/5; 9/4; 12/5; 23/10; 9/4; 64/25; ; 23/10; ; 23/10; ; 21/10; ; 
META; english/fa-cup/arsenal-v-man-city; 2017-03-15 20:22:54 GMT+2; 2017-04-23 18:45; e70300-dr003
Man City; 6/5; 11/10; ; 11/10; ; 21/20; 6/5; ; ; 11/10; ; ; 6/5; ; ; 5/4; 6/5; 21/20; 5/4; 6/5; 5/4; ; 5/4; ; 5/4; ; 1/14; ; 
Arsenal; 23/10; 23/10; ; 9/4; ; 23/10; 11/5; ; ; 9/4; ; ; 9/4; ; ; 12/5; 11/5; 5/2; 23/10; 11/5; 123/50; ; 23/10; ; 23/10; ; 2; ; 
Draw; 12/5; 5/2; ; 11/5; ; 12/5; 12/5; ; ; 5/2; ; ; 47/20; ; ; 13/5; 9/4; 12/5; 23/10; 9/4; 64/25; ; 23/10; ; 23/10; ; 21/10; ; 
META; english/fa-cup/arsenal-v-man-city; 2017-03-16 00:28:58 GMT+2; 2017-04-23 18:45; e70300-dr003
Man City; 6/5; 11/10; ; 11/10; ; 21/20; 6/5; ; ; 11/10; ; ; 6/5; ; ; 5/4; 6/5; 21/20; 5/4; 6/5; 5/4; ; 5/4; ; 5/4; ; 1/14; ; 
Arsenal; 23/10; 23/10; ; 9/4; ; 23/10; 11/5; ; ; 9/4; ; ; 9/4; ; ; 12/5; 11/5; 5/2; 23/10; 11/5; 123/50; ; 23/10; ; 23/10; ; 1/14; ; 
Draw; 12/5; 5/2; ; 11/5; ; 12/5; 12/5; ; ; 5/2; ; ; 47/20; ; ; 13/5; 9/4; 12/5; 23/10; 9/4; 64/25; ; 23/10; ; 23/10; ; 21/10; ; 
META; english/fa-cup/arsenal-v-man-city; 2017-03-16 04:22:29 GMT+2; 2017-04-23 18:45; e70300-dr003
