META; english/fa-cup/hartlepool-v-stamford; 2016-10-30 20:24:58 GMT+3; 2016-11-06 14:00; e70300-dr003
Hartlepool; 2/9; 2/9; 2/9; ; 1/5; ; 2/11; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/2; 5; 11/2; ; 5; ; 11/2; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stamford; 10; 10; 11; ; 10; ; 12; ; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hartlepool-v-stamford; 2016-10-31 00:23:19 GMT+3; 2016-11-06 14:00; e70300-dr003
Hartlepool; 2/9; 2/9; 2/9; ; 1/5; ; 2/11; ; ; ; 1/5; ; ; ; 2/9; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/2; 5; 11/2; ; 5; ; 11/2; ; ; ; 5; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stamford; 10; 10; 11; ; 10; ; 12; ; ; ; 12; ; ; ; 9; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/hartlepool-v-stamford; 2016-10-31 04:22:52 GMT+3; 2016-11-06 14:00; e70300-dr003
Hartlepool; 2/9; 2/9; 2/9; ; 1/5; ; 2/11; ; ; ; 1/5; ; ; ; 2/9; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 11/2; 5; 11/2; ; 5; ; 11/2; ; ; ; 5; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Stamford; 10; 10; 11; ; 10; ; 11; ; ; ; 12; ; ; ; 9; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/fa-cup/hartlepool-v-stamford; 2016-10-31 08:22:31 GMT+3; 2016-11-06 14:00; e70300-dr003
Hartlepool; 2/9; 2/9; 2/9; ; 1/5; ; 2/11; ; ; ; 1/5; ; ; ; 2/9; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 11/2; 5; 11/2; ; 5; ; 11/2; ; ; ; 5; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Stamford; 10; 10; 11; ; 10; ; 11; ; ; ; 12; ; ; ; 9; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/fa-cup/hartlepool-v-stamford; 2016-10-31 12:23:32 GMT+3; 2016-11-06 14:00; e70300-dr003
Hartlepool; 2/9; 2/9; 2/9; ; 1/5; ; 2/11; ; 1/5; ; 1/5; ; ; ; 2/9; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 11/2; 5; 11/2; ; 5; ; 11/2; ; 6; ; 5; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; 
Stamford; 10; 10; 11; ; 10; ; 11; ; 11; ; 12; ; ; ; 9; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; 
META; english/fa-cup/hartlepool-v-stamford; 2016-10-31 16:23:25 GMT+3; 2016-11-06 14:00; e70300-dr003
Hartlepool; 2/9; 2/9; 2/9; 2/9; 2/11; ; 2/11; ; 1/5; ; 1/5; ; ; 1/6; 2/9; ; ; ; 1/5; ; ; ; ; ; ; ; 1/7; ; 
Draw; 11/2; 5; 11/2; 5; 5; ; 11/2; ; 6; ; 5; ; ; 5; 11/2; ; ; ; 11/2; ; ; ; ; ; ; ; 23/5; ; 
Stamford; 10; 10; 11; 12; 11; ; 12; ; 11; ; 12; ; ; 11; 9; ; ; ; 10; ; ; ; ; ; ; ; 10; ; 
META; english/fa-cup/hartlepool-v-stamford; 2016-10-31 20:24:42 GMT+3; 2016-11-06 14:00; e70300-dr003
Hartlepool; 2/9; 2/9; 2/9; 1/5; 2/11; ; 2/11; ; 1/5; 1/5; 1/5; 1/6; ; 1/6; 2/9; ; ; ; 1/5; ; ; ; ; ; 2/9; ; 1/7; ; 
Draw; 11/2; 11/2; 11/2; 11/2; 11/2; ; 11/2; ; 6; 5; 5; 5; ; 5; 11/2; ; ; ; 11/2; ; ; ; ; ; 11/2; ; 23/5; ; 
