META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-06 11:46:40 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Heybridge; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-06 12:23:17 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Heybridge; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-06 12:58:58 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Heybridge; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-06 13:46:48 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; 
Heybridge; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-06 15:46:41 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; ; ; ; ; 20/21; ; ; ; ; ; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; 
Heybridge; 11/5; 23/10; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-06 16:23:09 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; ; ; ; ; 20/21; ; ; ; ; ; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; 
Heybridge; 11/5; 23/10; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-06 17:46:41 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 5/6; ; ; ; ; 20/21; ; ; ; ; ; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; 
Heybridge; 11/5; 5/2; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-06 18:31:33 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; ; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 23/10; ; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; 11/4; ; 27/10; ; ; ; ; ; ; ; ; ; 13/5; 13/5; ; 27/10; ; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-06 19:46:24 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; ; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 23/10; ; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 13/5; ; 27/10; ; 13/5; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-06 20:22:51 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; ; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 23/10; ; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 27/10; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-06 21:46:21 GMT+3; 2016-09-07 19:45; e70300-dr003
AFC Dunstable; 10/11; 10/11; ; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; 19/20; 10/11; ; 10/11; ; 10/11; ; ; ; ; ; ; 
Heybridge; 11/5; 23/10; ; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 12/5; 9/4; ; 13/5; ; 9/4; ; ; ; ; ; ; 
Draw; 13/5; 5/2; ; ; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; 28/11; ; 27/10; ; 28/11; ; ; ; ; ; ; 
META; english/fa-cup/afc-dunstable-v-heybridge; 2016-09-06 23:45:43 GMT+3; 2016-09-07 19:45; e70300-dr003
