Rochdale; 7/4; 7/4; ; ; ; ; 7/4; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-20 16:26:44 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 7/5; ; 6/4; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 7/4; ; 9/5; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; 12/5; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-20 20:26:02 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 7/5; ; 6/4; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 7/4; ; 9/5; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; 12/5; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-21 00:24:21 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 7/5; ; 6/4; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 7/4; ; 9/5; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; 12/5; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-21 04:24:15 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 7/5; ; 6/4; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 7/4; ; 9/5; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; 12/5; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-21 08:24:32 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 7/5; ; 6/4; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 7/4; ; 9/5; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; 12/5; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
