META; english/fa-cup/kidderminster-v-weymouth; 2016-10-10 16:23:54 GMT+3; 2016-10-15 15:00; e70300-dr003
Kidderminster; 2/5; ; ; ; ; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; ; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Weymouth; 5; ; ; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/kidderminster-v-weymouth; 2016-10-10 20:25:06 GMT+3; 2016-10-15 15:00; e70300-dr003
Kidderminster; 2/5; ; 4/9; ; 4/11; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; 17/5; ; 3; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Weymouth; 5; ; 6; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/kidderminster-v-weymouth; 2016-10-11 00:22:35 GMT+3; 2016-10-15 15:00; e70300-dr003
Kidderminster; 2/5; ; 4/9; ; 4/11; ; 4/11; 1/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; 17/5; ; 16/5; ; 7/2; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Weymouth; 5; ; 6; ; 11/2; ; 6; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/kidderminster-v-weymouth; 2016-10-11 04:23:09 GMT+3; 2016-10-15 15:00; e70300-dr003
Kidderminster; 2/5; ; 4/9; ; 4/11; ; 4/11; 1/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; 17/5; ; 16/5; ; 7/2; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Weymouth; 5; ; 6; ; 11/2; ; 6; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/kidderminster-v-weymouth; 2016-10-11 08:23:26 GMT+3; 2016-10-15 15:00; e70300-dr003
Kidderminster; 2/5; ; 4/9; ; 4/11; ; 4/11; 1/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; 17/5; ; 16/5; ; 7/2; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Weymouth; 5; ; 6; ; 11/2; ; 6; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/kidderminster-v-weymouth; 2016-10-11 12:24:24 GMT+3; 2016-10-15 15:00; e70300-dr003
Kidderminster; 2/5; ; 4/9; ; 4/11; 2/5; 4/11; 1/3; ; ; ; ; ; ; ; ; 7/19; ; ; ; 7/19; ; ; ; ; ; ; ; 
Draw; 10/3; ; 17/5; ; 16/5; 16/5; 7/2; 7/2; ; ; ; ; ; ; ; ; 17/5; ; ; ; 17/5; ; ; ; ; ; ; ; 
Weymouth; 5; ; 6; ; 11/2; 5; 6; 11/2; ; ; ; ; ; ; ; ; 5; ; ; ; 5; ; ; ; ; ; ; ; 
META; english/fa-cup/kidderminster-v-weymouth; 2016-10-11 16:24:49 GMT+3; 2016-10-15 15:00; e70300-dr003
Kidderminster; 2/5; ; 4/9; 2/5; 4/11; 2/5; 4/11; 4/11; 4/9; ; ; ; 21/50; ; ; ; 7/19; ; ; ; 7/19; ; ; ; ; ; ; ; 
Draw; 10/3; ; 17/5; 16/5; 16/5; 16/5; 7/2; 7/2; 19/5; ; ; ; 7/2; ; ; ; 17/5; ; ; ; 17/5; ; ; ; ; ; ; ; 
