META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-14 22:22:54 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; 5/6; ; ; ; ; 8/11; ; ; ; ; 5/6; ; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 
Draw; ; ; 49/20; ; ; ; ; 11/4; ; ; ; ; 27/10; ; ; 11/4; ; ; ; 27/10; ; ; ; ; ; ; ; ; 
Sutton; ; ; 31/10; ; ; ; ; 3; ; ; ; ; 29/10; ; ; 3; ; ; ; 56/19; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-15 02:21:29 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; 5/6; ; ; ; ; 8/11; ; ; ; ; 5/6; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 49/20; ; ; ; ; 11/4; ; ; ; ; 27/10; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton; ; ; 31/10; ; ; ; ; 3; ; ; ; ; 29/10; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-15 06:21:26 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; 5/6; ; ; ; ; 8/11; ; ; ; 5/6; 5/6; ; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 
Draw; ; ; 49/20; ; ; ; ; 11/4; ; ; ; 12/5; 27/10; ; ; 11/4; ; ; ; 27/10; ; ; ; ; ; ; ; ; 
Sutton; ; ; 31/10; ; ; ; ; 3; ; ; ; 11/4; 29/10; ; ; 3; ; ; ; 56/19; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-15 10:21:31 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; 5/6; 4/5; ; ; ; 8/11; ; ; ; 4/5; 5/6; ; ; 4/5; ; ; 8/11; 4/5; ; ; 11/14; ; 11/14; ; ; ; 
Draw; ; ; 49/20; 13/5; ; ; ; 11/4; ; ; ; 12/5; 27/10; ; ; 14/5; ; ; 27/10; 27/10; ; ; 27/10; ; 27/10; ; ; ; 
Sutton; ; ; 31/10; 10/3; ; ; ; 3; ; ; ; 3; 29/10; ; ; 3; ; ; 14/5; 56/19; ; ; 29/10; ; 29/10; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-15 14:21:31 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; 4/5; 4/5; ; ; ; 8/11; ; ; ; 4/5; 10/13; ; 4/5; 4/5; ; ; 8/11; 4/5; 17/20; ; 11/14; ; 11/14; ; ; ; 
Draw; ; ; 5/2; 13/5; ; ; ; 11/4; ; ; ; 21/10; 27/10; ; 13/5; 27/10; ; ; 27/10; 45/17; 3; ; 27/10; ; 27/10; ; ; ; 
Sutton; ; ; 10/3; 10/3; ; ; ; 3; ; ; ; 10/3; 16/5; ; 16/5; 16/5; ; ; 14/5; 31/10; 13/4; ; 29/10; ; 29/10; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-15 18:21:41 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; 5/6; 4/5; ; ; ; 8/11; ; ; 4/5; 3/4; 5/6; ; 4/5; 4/5; ; ; 4/5; 5/6; 17/20; 8/9; 9/11; ; 9/11; ; ; 4/5; 
Draw; ; ; 49/20; 13/5; ; ; ; 11/4; ; ; 5/2; 23/10; 13/5; ; 13/5; 13/5; ; ; 23/10; 5/2; 3; ; 23/10; ; 23/10; ; ; 21/10; 
Sutton; ; ; 31/10; 10/3; ; ; ; 3; ; ; 3; 16/5; 3; ; 16/5; 16/5; ; ; 3; 41/13; 13/4; 5/2; 13/4; ; 13/4; ; ; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-15 22:21:45 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; 5/6; 4/5; ; ; ; 8/11; ; ; 4/5; 3/4; 5/6; ; 3/4; 4/5; ; 7/10; 4/5; 4/5; 17/20; 8/9; 9/11; ; 9/11; ; ; 8/11; 
Draw; ; ; 5/2; 13/5; ; ; ; 13/5; ; ; 5/2; 12/5; 13/5; ; 13/5; 13/5; ; 13/5; 23/10; 13/5; 3; ; 23/10; ; 23/10; ; ; 5/2; 
Sutton; ; ; 3; 10/3; ; ; ; 10/3; ; ; 3; 3; 3; ; 7/2; 16/5; ; 31/10; 3; 16/5; 13/4; 5/2; 13/4; ; 13/4; ; ; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-16 02:21:00 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; 5/6; 4/5; ; ; ; 4/5; ; ; 4/5; 3/4; 5/6; ; 3/4; 4/5; ; 7/10; 4/5; 4/5; 17/20; 8/9; 9/11; ; 9/11; ; ; 8/11; 
Draw; ; ; 5/2; 13/5; ; ; ; 5/2; ; ; 5/2; 12/5; 13/5; ; 13/5; 13/5; ; 13/5; 23/10; 13/5; 3; 5/2; 23/10; ; 23/10; ; ; 5/2; 
Sutton; ; ; 3; 10/3; ; ; ; 3; ; ; 3; 3; 3; ; 7/2; 16/5; ; 31/10; 3; 16/5; 13/4; 5/2; 13/4; ; 13/4; ; ; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-16 06:20:54 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; 5/6; 4/5; ; ; ; 4/5; ; ; 4/5; 3/4; 5/6; ; 3/4; 4/5; ; 7/10; 4/5; 4/5; 17/20; 8/9; 9/11; ; 9/11; ; ; 8/11; 
Draw; ; ; 5/2; 13/5; ; ; ; 5/2; ; ; 5/2; 12/5; 13/5; ; 13/5; 13/5; ; 13/5; 23/10; 13/5; 3; 5/2; 23/10; ; 23/10; ; ; 5/2; 
Sutton; ; ; 3; 10/3; ; ; ; 16/5; ; ; 3; 3; 3; ; 7/2; 16/5; ; 31/10; 3; 16/5; 13/4; 5/2; 13/4; ; 13/4; ; ; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-16 10:20:53 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; 5/6; 4/5; ; ; ; 4/5; ; ; 4/5; 3/4; 5/6; ; 3/4; 4/5; ; 7/10; 8/11; 10/13; 17/20; 8/9; 7/9; ; 7/9; ; ; 8/11; 
Draw; ; ; 5/2; 13/5; ; ; ; 5/2; ; ; 5/2; 12/5; 13/5; ; 13/5; 13/5; ; 13/5; 13/5; 45/17; 3; 5/2; 13/5; ; 13/5; ; ; 5/2; 
Sutton; ; ; 3; 10/3; ; ; ; 16/5; ; ; 3; 3; 3; ; 7/2; 16/5; ; 31/10; 3; 41/13; 13/4; 5/2; 3; ; 3; ; ; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-16 14:21:26 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; 5/6; 4/5; ; ; ; 4/5; ; ; 4/5; 3/4; 5/6; ; 3/4; 4/5; ; 7/10; 8/11; 4/5; 17/20; 11/13; 7/9; ; 7/9; ; ; 8/11; 
Draw; ; ; 5/2; 11/4; ; ; ; 5/2; ; ; 5/2; 12/5; 13/5; ; 13/5; 27/10; ; 13/5; 13/5; 45/17; 3; 11/4; 13/5; ; 13/5; ; ; 5/2; 
Sutton; ; ; 3; 16/5; ; ; ; 16/5; ; ; 3; 3; 3; ; 7/2; 31/10; ; 31/10; 3; 31/10; 13/4; 11/4; 3; ; 3; ; ; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-16 18:21:26 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; 5/6; 4/5; ; ; ; 4/5; ; ; 4/5; 3/4; 5/6; ; 3/4; 4/5; ; 7/10; 8/11; 4/5; 17/20; 11/13; 7/9; ; 7/9; ; ; 8/11; 
Draw; ; ; 5/2; 11/4; ; ; ; 5/2; ; ; 5/2; 12/5; 13/5; ; 13/5; 27/10; ; 13/5; 13/5; 45/17; 3; 11/4; 13/5; ; 13/5; ; ; 5/2; 
Sutton; ; ; 3; 16/5; ; ; ; 16/5; ; ; 3; 3; 3; ; 7/2; 31/10; ; 31/10; 3; 31/10; 13/4; 11/4; 3; ; 3; ; ; 3; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton; 2017-04-16 22:21:21 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; ; 5/6; 4/5; ; ; ; 4/5; ; ; 4/5; 3/4; 4/5; ; 3/4; 4/5; ; 7/10; 8/11; 10/13; 17/20; 11/13; 7/9; ; 7/9; ; ; 4/5; 
Draw; ; ; 5/2; 11/4; ; ; ; 5/2; ; ; 5/2; 12/5; 53/20; ; 13/5; 27/10; ; 13/5; 13/5; 45/17; 3; 11/4; 13/5; ; 13/5; ; ; 5/2; 
