META; english/non-league/national-league/braintree-town-v-southport; 2017-03-12 02:22:08 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Braintree Town; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-12 06:22:11 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Braintree Town; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-12 10:23:09 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Braintree Town; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-12 14:23:02 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Braintree Town; 20/21; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 14/5; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-12 18:22:12 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Braintree Town; 20/21; 11/10; ; ; 1; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 14/5; 9/4; ; ; 14/5; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-12 22:23:38 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Braintree Town; 20/21; 11/10; ; ; ; ; 1; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 14/5; 9/4; ; ; ; ; 11/4; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-13 02:23:18 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Braintree Town; 20/21; 11/10; ; ; ; ; 1; ; ; ; 10/11; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 14/5; 9/4; ; ; ; ; 11/4; ; ; ; 11/4; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-13 06:25:44 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Braintree Town; 20/21; 11/10; ; ; ; ; 1; ; ; ; 10/11; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; 23/10; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 14/5; 9/4; ; ; ; ; 11/4; ; ; ; 11/4; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-13 10:21:44 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Braintree Town; 20/21; 11/10; ; ; 19/20; ; 20/21; ; ; ; 10/11; 10/11; ; ; ; 1; 10/11; ; 20/21; 10/11; ; ; 19/20; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; ; ; 23/10; 11/5; ; ; ; 12/5; 23/10; ; 23/10; 23/10; ; ; 23/10; ; ; ; ; 
Southport; 14/5; 9/4; ; ; 3; ; 29/10; ; ; ; 11/4; 13/5; ; ; ; 27/10; 27/10; ; 27/10; 27/10; ; ; 27/10; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-13 14:24:32 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Braintree Town; 20/21; 11/10; ; ; 19/20; ; 20/21; ; ; ; 10/11; 10/11; ; ; ; 1; 10/11; ; 20/21; 10/11; ; ; 19/20; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; ; ; 23/10; 11/5; ; ; ; 12/5; 23/10; ; 23/10; 23/10; ; ; 23/10; ; ; ; ; 
Southport; 14/5; 9/4; ; ; 29/10; ; 29/10; ; ; ; 11/4; 13/5; ; ; ; 27/10; 45/17; ; 27/10; 45/17; ; ; 27/10; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-13 18:25:45 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Braintree Town; 20/21; 11/10; ; ; 19/20; ; 20/21; ; ; ; 10/11; 10/11; ; ; ; 1; 19/20; 10/11; 20/21; 19/20; ; ; 19/20; ; 19/20; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; ; ; 23/10; 11/5; ; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; ; ; 23/10; ; 23/10; ; ; ; 
Southport; 14/5; 9/4; ; ; 29/10; ; 29/10; ; ; ; 11/4; 13/5; ; ; ; 27/10; 27/10; 13/5; 27/10; 27/10; ; ; 27/10; ; 27/10; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-13 22:22:50 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Braintree Town; 20/21; 11/10; ; ; 19/20; ; 20/21; ; 10/11; ; 10/11; 10/11; ; ; ; 1; 19/20; 10/11; 20/21; 19/20; ; ; 19/20; ; 19/20; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; 12/5; ; 23/10; 11/5; ; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; ; ; 23/10; ; 23/10; ; ; ; 
Southport; 14/5; 9/4; ; ; 29/10; ; 29/10; ; 14/5; ; 11/4; 13/5; ; ; ; 27/10; 27/10; 13/5; 27/10; 27/10; ; ; 27/10; ; 27/10; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-14 02:24:23 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Braintree Town; 20/21; 11/10; ; ; 20/21; ; 20/21; ; 10/11; ; 10/11; 10/11; ; ; ; 1; 19/20; 10/11; 20/21; 19/20; ; ; 19/20; ; 19/20; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 12/5; ; 23/10; 11/5; ; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; ; ; 23/10; ; 23/10; ; ; ; 
Southport; 14/5; 9/4; ; ; 14/5; ; 14/5; ; 14/5; ; 11/4; 13/5; ; ; ; 27/10; 27/10; 13/5; 27/10; 27/10; ; ; 27/10; ; 27/10; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-14 06:21:58 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Braintree Town; 20/21; 11/10; ; ; 20/21; ; 20/21; ; 10/11; ; 10/11; 10/11; ; ; ; 1; 19/20; 10/11; 20/21; 19/20; ; ; 19/20; ; 19/20; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 12/5; ; 23/10; 11/5; ; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; ; ; 23/10; ; 23/10; ; ; ; 
Southport; 14/5; 9/4; ; ; 14/5; ; 14/5; ; 14/5; ; 11/4; 13/5; ; ; ; 27/10; 27/10; 13/5; 27/10; 27/10; ; ; 27/10; ; 27/10; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-14 10:22:48 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Braintree Town; 20/21; 11/10; ; ; 20/21; ; 20/21; ; 10/11; ; 10/11; 10/11; ; ; ; 1; 19/20; 10/11; 20/21; 19/20; ; ; 19/20; ; 19/20; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 12/5; ; 23/10; 11/5; ; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; ; ; 23/10; ; 23/10; ; ; ; 
Southport; 14/5; 9/4; ; ; 14/5; ; 14/5; ; 14/5; ; 11/4; 13/5; ; ; ; 27/10; 27/10; 13/5; 27/10; 27/10; ; ; 27/10; ; 27/10; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-14 14:25:34 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Braintree Town; 20/21; 19/20; ; ; 20/21; ; 19/20; 10/11; 10/11; ; 10/11; 10/11; ; ; ; 19/20; 19/20; 10/11; 20/21; 19/20; ; ; 19/20; ; 19/20; ; ; ; 
Draw; 12/5; 5/2; ; ; 12/5; ; 5/2; 12/5; 12/5; ; 23/10; 11/5; ; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; ; ; 23/10; ; 23/10; ; ; ; 
Southport; 14/5; 11/4; ; ; 29/10; ; 14/5; 11/4; 14/5; ; 11/4; 13/5; ; ; ; 14/5; 27/10; 13/5; 27/10; 27/10; ; ; 27/10; ; 27/10; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-14 18:22:19 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Braintree Town; 20/21; 19/20; ; ; 20/21; ; 19/20; 10/11; 10/11; ; 10/11; 10/11; ; ; ; 19/20; 19/20; 10/11; 20/21; 19/20; 1; ; 19/20; ; 19/20; ; ; ; 
Draw; 12/5; 5/2; ; ; 5/2; ; 5/2; 12/5; 12/5; ; 23/10; 11/5; ; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; 13/5; ; 23/10; ; 23/10; ; ; ; 
Southport; 14/5; 11/4; ; ; 14/5; ; 14/5; 11/4; 14/5; ; 11/4; 13/5; ; ; ; 14/5; 27/10; 13/5; 27/10; 27/10; 61/20; ; 27/10; ; 27/10; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-14 22:22:05 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Braintree Town; 20/21; 19/20; 19/20; ; 20/21; ; 19/20; 10/11; 10/11; ; 10/11; 10/11; ; ; ; 19/20; 19/20; 10/11; 20/21; 19/20; 1; ; 19/20; ; 19/20; ; ; ; 
Draw; 12/5; 5/2; 47/20; ; 5/2; ; 5/2; 12/5; 12/5; ; 23/10; 11/5; ; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; 13/5; ; 23/10; ; 23/10; ; ; ; 
Southport; 14/5; 11/4; 11/4; ; 14/5; ; 14/5; 11/4; 14/5; ; 11/4; 13/5; ; ; ; 14/5; 27/10; 13/5; 27/10; 27/10; 61/20; ; 27/10; ; 27/10; ; ; ; 
META; english/non-league/national-league/braintree-town-v-southport; 2017-03-15 02:24:07 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
