META; english/non-league/national-league/dagenham-redbridge-v-sutton-utd; 2017-04-14 22:22:56 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 5/6; ; ; ; 17/20; ; 17/20; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; 13/5; ; 27/10; ; ; ; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 3; ; ; ; 3; ; 3; ; ; ; ; ; ; ; ; ; 56/19; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton-utd; 2017-04-15 02:21:32 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 5/6; 21/20; ; ; 5/6; ; 5/6; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; 23/10; ; ; 13/5; ; 11/4; ; ; ; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 3; 9/4; ; ; 16/5; ; 3; ; ; ; ; ; ; ; ; ; 56/19; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton-utd; 2017-04-15 06:21:29 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 5/6; 21/20; ; ; 5/6; ; 5/6; ; 5/6; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; 23/10; ; ; 13/5; ; 11/4; ; 11/4; ; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 3; 9/4; ; ; 16/5; ; 3; ; 3; ; ; ; ; ; ; ; 56/19; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-sutton-utd; 2017-04-15 10:21:33 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 5/6; 21/20; ; ; 4/5; ; 5/6; ; 5/6; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; 
