META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-02 14:53:34 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; 7/4; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; 7/4; 2; 9/5; ; 15/8; ; 15/8; ; 7/4; ; 9/5; 7/4; 17/10; 7/4; ; 15/8; 17/10; 17/10; 17/10; 17/10; ; ; 17/10; ; 17/10; ; ; ; 
Draw; 13/5; 23/10; 9/4; ; 12/5; ; 5/2; ; 13/5; ; 11/5; 11/5; 51/20; 9/4; ; 12/5; 5/2; 9/4; 5/2; 5/2; ; ; 5/2; ; 5/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-04 06:23:29 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 23/20; 7/5; ; 7/5; ; 11/8; ; 7/5; ; 11/8; 13/10; 11/8; 11/8; ; 11/8; 13/10; 13/10; 13/10; ; ; ; 4/3; ; 4/3; ; ; ; 
Dagenham & Redbridge; 7/4; 2; 9/5; ; 15/8; ; 9/5; ; 7/4; ; 9/5; 7/4; 17/10; 7/4; ; 9/5; 17/10; 17/10; 17/10; ; ; ; 17/10; ; 17/10; ; ; ; 
Draw; 13/5; 23/10; 9/4; ; 12/5; ; 5/2; ; 13/5; ; 11/5; 11/5; 51/20; 9/4; ; 5/2; 5/2; 9/4; 5/2; ; ; ; 5/2; ; 5/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-04 10:23:45 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 23/20; 7/5; ; 7/5; ; 11/8; ; 7/5; ; 11/8; 13/10; 11/8; 11/8; ; 13/10; 13/10; 13/10; 13/10; 13/10; ; ; 4/3; ; 4/3; ; ; ; 
Dagenham & Redbridge; 7/4; 2; 9/5; ; 15/8; ; 9/5; ; 7/4; ; 9/5; 7/4; 17/10; 7/4; ; 15/8; 17/10; 17/10; 17/10; 17/10; ; ; 17/10; ; 17/10; ; ; ; 
Draw; 13/5; 23/10; 9/4; ; 12/5; ; 5/2; ; 13/5; ; 11/5; 11/5; 51/20; 9/4; ; 12/5; 5/2; 9/4; 5/2; 5/2; ; ; 5/2; ; 5/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-04 14:25:40 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 23/20; 7/5; ; 7/5; ; 11/8; ; 7/5; ; 11/8; 13/10; 11/8; 11/8; ; 11/8; 13/10; 13/10; 13/10; 13/10; ; ; 4/3; ; 4/3; ; ; ; 
Dagenham & Redbridge; 7/4; 2; 9/5; ; 15/8; ; 9/5; ; 7/4; ; 9/5; 7/4; 17/10; 7/4; ; 9/5; 17/10; 17/10; 17/10; 17/10; ; ; 17/10; ; 17/10; ; ; ; 
Draw; 13/5; 23/10; 9/4; ; 12/5; ; 5/2; ; 13/5; ; 11/5; 11/5; 51/20; 9/4; ; 5/2; 5/2; 9/4; 5/2; 5/2; ; ; 5/2; ; 5/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-04 18:24:30 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 23/20; 7/5; ; 7/5; ; 11/8; ; 7/5; ; 11/8; 13/10; 11/8; 11/8; ; 11/8; 13/10; 13/10; 13/10; 13/10; 6/4; ; 4/3; ; 4/3; ; ; ; 
Dagenham & Redbridge; 7/4; 2; 9/5; ; 9/5; ; 15/8; ; 7/4; ; 9/5; 7/4; 17/10; 7/4; ; 9/5; 17/10; 17/10; 17/10; 17/10; 181/100; ; 17/10; ; 17/10; ; ; ; 
Draw; 13/5; 23/10; 9/4; ; 5/2; ; 5/2; ; 13/5; ; 11/5; 11/5; 51/20; 9/4; ; 5/2; 27/11; 9/4; 5/2; 27/11; 27/10; ; 5/2; ; 5/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-04 22:27:02 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 23/20; 7/5; ; 7/5; ; 11/8; 13/10; 7/5; ; 11/8; 13/10; 11/8; 11/8; ; 11/8; 13/10; 13/10; 13/10; 13/10; 6/4; ; 4/3; ; 4/3; ; ; ; 
Dagenham & Redbridge; 7/4; 2; 9/5; ; 15/8; ; 9/5; 7/4; 7/4; ; 9/5; 7/4; 17/10; 7/4; ; 9/5; 17/10; 17/10; 17/10; 17/10; 181/100; ; 17/10; ; 17/10; ; ; ; 
Draw; 13/5; 23/10; 9/4; ; 12/5; ; 5/2; 12/5; 13/5; ; 11/5; 11/5; 51/20; 9/4; ; 5/2; 5/2; 9/4; 5/2; 5/2; 27/10; ; 5/2; ; 5/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-05 02:22:37 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 23/20; 7/5; ; 7/5; ; 11/8; 13/10; 7/5; ; 11/8; 13/10; 11/8; 11/8; ; 11/8; 13/10; 13/10; 13/10; 13/10; 6/4; ; 4/3; ; 4/3; ; ; ; 
Dagenham & Redbridge; 7/4; 2; 9/5; ; 15/8; ; 9/5; 7/4; 7/4; ; 9/5; 7/4; 17/10; 7/4; ; 9/5; 17/10; 17/10; 17/10; 17/10; 181/100; ; 17/10; ; 17/10; ; ; ; 
Draw; 13/5; 23/10; 9/4; ; 12/5; ; 5/2; 12/5; 13/5; ; 11/5; 11/5; 51/20; 9/4; ; 5/2; 27/11; 9/4; 5/2; 27/11; 27/10; ; 5/2; ; 5/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-05 06:22:38 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 23/20; 7/5; ; 7/5; ; 11/8; 13/10; 7/5; ; 11/8; 13/10; 11/8; 11/8; ; 11/8; 13/10; 13/10; 13/10; 13/10; 6/4; ; 4/3; ; 4/3; ; ; ; 
Dagenham & Redbridge; 7/4; 2; 9/5; ; 15/8; ; 9/5; 7/4; 7/4; ; 9/5; 7/4; 17/10; 7/4; ; 9/5; 17/10; 17/10; 17/10; 17/10; 181/100; ; 17/10; ; 17/10; ; ; ; 
Draw; 13/5; 23/10; 9/4; ; 12/5; ; 5/2; 12/5; 13/5; ; 11/5; 11/5; 51/20; 9/4; ; 5/2; 27/11; 9/4; 5/2; 27/11; 27/10; ; 5/2; ; 5/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-05 10:23:53 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 23/20; 7/5; ; 7/5; ; 11/8; 13/10; 7/5; ; 11/8; 13/10; 11/8; 11/8; ; 11/8; 13/10; 13/10; 13/10; 13/10; 6/4; ; 4/3; ; 4/3; ; ; ; 
Dagenham & Redbridge; 7/4; 2; 9/5; ; 15/8; ; 9/5; 7/4; 7/4; ; 9/5; 7/4; 17/10; 7/4; ; 9/5; 17/10; 17/10; 17/10; 17/10; 181/100; ; 17/10; ; 17/10; ; ; ; 
Draw; 13/5; 23/10; 9/4; ; 12/5; ; 5/2; 12/5; 13/5; ; 11/5; 11/5; 51/20; 9/4; ; 5/2; 5/2; 9/4; 5/2; 5/2; 27/10; ; 5/2; ; 5/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-05 14:25:04 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
