META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-19 18:26:42 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
Tranmere; 4/9; ; ; ; ; ; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; ; ; ; ; 10/3; ; 10/3; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Braintree Town; 6; ; ; ; ; ; 13/2; ; 6; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-19 22:24:04 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
Tranmere; 4/9; ; ; ; ; ; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; ; ; ; ; 10/3; ; 10/3; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Braintree Town; 6; ; ; ; ; ; 13/2; ; 6; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-20 02:24:12 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
Tranmere; 4/9; ; ; ; ; ; 4/9; ; 4/9; ; 4/9; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; ; ; ; ; 10/3; ; 10/3; ; 16/5; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Braintree Town; 6; ; ; ; ; ; 13/2; ; 6; ; 6; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-20 06:20:47 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
Tranmere; 4/9; ; ; ; 4/9; ; 4/9; ; 4/9; ; 4/9; ; ; ; ; 4/9; ; ; 4/9; ; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; ; ; 16/5; ; 10/3; ; 10/3; ; 16/5; ; ; ; ; 16/5; ; ; 3; ; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; ; ; 13/2; ; 13/2; ; 6; ; 6; ; ; ; ; 6; ; ; 11/2; ; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-20 10:21:25 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
Tranmere; 4/9; ; ; ; 4/9; ; 4/9; ; 4/9; ; 4/9; 2/5; ; ; ; 4/9; 7/17; ; 4/9; 7/17; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; ; ; 16/5; ; 10/3; ; 10/3; ; 16/5; 14/5; ; ; ; 10/3; 16/5; ; 3; 16/5; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; ; ; 13/2; ; 13/2; ; 6; ; 6; 6; ; ; ; 6; 28/5; ; 11/2; 28/5; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-20 14:22:03 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
Tranmere; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; 2/5; ; ; ; 4/9; 7/17; ; 4/9; 7/17; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 16/5; ; 10/3; ; 10/3; ; 16/5; 14/5; ; ; ; 10/3; 16/5; ; 3; 16/5; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 13/2; ; 13/2; ; 6; ; 6; 6; ; ; ; 6; 28/5; ; 11/2; 28/5; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-20 18:22:28 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
Tranmere; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; 2/5; ; ; ; 4/9; 5/12; ; 4/9; 5/12; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 16/5; ; 10/3; ; 10/3; ; 16/5; 14/5; ; ; ; 10/3; 13/4; ; 3; 13/4; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 13/2; ; 13/2; ; 6; ; 6; 6; ; ; ; 6; 23/4; ; 11/2; 23/4; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-20 22:22:00 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
Tranmere; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; 2/5; ; ; ; 4/9; 5/12; ; 4/9; 5/12; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 16/5; ; 10/3; ; 10/3; ; 16/5; 14/5; ; ; ; 10/3; 13/4; ; 3; 13/4; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 13/2; ; 13/2; ; 6; ; 6; 6; ; ; ; 6; 23/4; ; 11/2; 23/4; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-21 02:21:49 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
Tranmere; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; 2/5; ; ; ; 4/9; 5/12; ; 4/9; 5/12; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 16/5; ; 10/3; ; 10/3; ; 16/5; 14/5; ; ; ; 10/3; 13/4; ; 3; 13/4; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 13/2; ; 13/2; ; 6; ; 6; 6; ; ; ; 6; 23/4; ; 11/2; 23/4; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-21 06:21:26 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
Tranmere; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; 2/5; ; ; ; 4/9; 5/12; ; 4/9; 5/12; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 16/5; ; 10/3; ; 10/3; ; 16/5; 14/5; ; ; ; 10/3; 13/4; ; 3; 13/4; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 13/2; ; 13/2; ; 6; ; 6; 6; ; ; ; 6; 23/4; ; 11/2; 23/4; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-21 10:21:25 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
Tranmere; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; 2/5; ; ; ; 4/9; 5/12; 2/5; 4/9; 5/12; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 16/5; ; 10/3; ; 10/3; ; 16/5; 14/5; ; ; ; 10/3; 13/4; 3; 3; 13/4; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 13/2; ; 13/2; ; 6; ; 6; 6; ; ; ; 6; 29/5; 23/4; 11/2; 29/5; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-21 14:22:41 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
Tranmere; 4/9; ; 4/9; ; 4/9; 2/5; 4/9; ; 4/9; ; 4/9; 2/5; ; ; ; 4/9; ; 2/5; 4/9; 5/12; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 16/5; 16/5; 10/3; ; 10/3; ; 16/5; 14/5; ; ; ; 10/3; ; 3; 3; 13/4; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 13/2; 5; 13/2; ; 6; ; 6; 6; ; ; ; 6; ; 23/4; 11/2; 29/5; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-21 18:22:53 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
Tranmere; 4/9; ; 4/9; ; 4/9; 2/5; 2/5; ; 4/9; ; 4/9; 2/5; ; 2/5; ; 4/9; 5/12; 2/5; 4/9; 5/12; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 16/5; 16/5; 10/3; ; 10/3; ; 16/5; 14/5; ; 16/5; ; 10/3; 13/4; 3; 3; 13/4; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 7; 5; 7; ; 6; ; 6; 6; ; 6; ; 6; 76/13; 23/4; 11/2; 76/13; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-21 22:22:57 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
Tranmere; 4/9; ; 4/9; ; 4/9; 2/5; 4/9; ; 4/9; ; 4/9; 2/5; ; 2/5; ; 4/9; 5/12; 2/5; 4/9; 5/12; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 16/5; 16/5; 10/3; ; 10/3; ; 16/5; 14/5; ; 16/5; ; 10/3; 13/4; 3; 3; 13/4; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 7; 5; 13/2; ; 6; ; 6; 6; ; 6; ; 6; 76/13; 23/4; 11/2; 76/13; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-22 02:23:26 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
Tranmere; 4/9; ; 4/9; ; 4/9; 2/5; 4/9; ; 4/9; ; 4/9; 2/5; ; 2/5; ; 4/9; 5/12; 2/5; 4/9; 5/12; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 16/5; 16/5; 10/3; ; 10/3; ; 16/5; 14/5; ; 16/5; ; 10/3; 13/4; 3; 3; 13/4; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 7; 5; 13/2; ; 6; ; 6; 6; ; 6; ; 6; 76/13; 23/4; 11/2; 76/13; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-22 06:21:03 GMT+2; 2017-03-25 15:00; Nothing; Xlenovo
Tranmere; 4/9; ; 4/9; ; 4/9; 2/5; 4/9; ; 4/9; ; 4/9; 2/5; ; 2/5; ; 4/9; 5/12; 2/5; 4/9; 5/12; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 10/3; 16/5; 10/3; ; 10/3; ; 16/5; 14/5; ; 16/5; ; 10/3; 13/4; 3; 3; 13/4; ; ; 31/10; ; 31/10; ; ; ; 
