Draw; 12/5; 23/10; 9/4; 9/4; 23/10; 11/5; 12/5; 9/4; 23/10; 23/10; 11/5; 21/10; 47/20; 21/10; 9/4; 23/10; 23/10; 9/4; 21/10; 23/10; 5/2; 40/17; 28/13; ; 28/13; ; ; 2; 
META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-16 06:21:09 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Maidstone; 23/20; 5/4; 5/4; 6/5; 13/10; 23/20; 13/10; 6/5; 5/4; 13/10; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 5/4; 11/10; 13/10; 5/4; 13/10; 16/13; 13/10; ; 13/10; ; ; 5/4; 
Boreham Wood; 23/10; 2; 41/20; 2; 21/10; 19/10; 2; 2; 85/40; 2; 2; 2; 21/10; 19/10; 21/10; 11/5; 39/19; 21/10; 2; 39/19; 9/4; 20/11; 2; ; 2; ; ; 19/10; 
Draw; 12/5; 23/10; 9/4; 9/4; 23/10; 11/5; 12/5; 9/4; 23/10; 23/10; 11/5; 21/10; 47/20; 21/10; 9/4; 23/10; 23/10; 9/4; 21/10; 23/10; 5/2; 40/17; 28/13; ; 28/13; ; ; 2; 
META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-16 10:21:07 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Maidstone; 23/20; 5/4; 5/4; 6/5; 13/10; 23/20; 13/10; 6/5; 5/4; 13/10; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 5/4; 11/10; 5/4; 5/4; 13/10; 16/13; 23/18; ; 23/18; ; ; 5/4; 
Boreham Wood; 23/10; 2; 41/20; 2; 21/10; 19/10; 2; 2; 85/40; 2; 2; 2; 21/10; 19/10; 21/10; 11/5; 39/19; 21/10; 19/10; 39/19; 9/4; 20/11; 37/19; ; 37/19; ; ; 19/10; 
Draw; 12/5; 23/10; 9/4; 9/4; 23/10; 11/5; 12/5; 9/4; 23/10; 23/10; 11/5; 21/10; 47/20; 21/10; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; 5/2; 40/17; 9/4; ; 9/4; ; ; 2; 
META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-16 14:21:41 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Maidstone; 23/20; 5/4; 5/4; 13/10; 13/10; 23/20; 13/10; 6/5; 5/4; 13/10; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 5/4; 11/10; 5/4; 5/4; 13/10; 5/4; 23/18; ; 23/18; ; ; 5/4; 
Boreham Wood; 23/10; 2; 41/20; 21/10; 21/10; 19/10; 2; 2; 85/40; 2; 2; 2; 21/10; 19/10; 21/10; 11/5; 39/19; 21/10; 19/10; 39/19; 9/4; 2; 37/19; ; 37/19; ; ; 19/10; 
Draw; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 12/5; 9/4; 23/10; 23/10; 11/5; 21/10; 47/20; 21/10; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; 5/2; 12/5; 9/4; ; 9/4; ; ; 2; 
META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-16 18:21:44 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Maidstone; 23/20; 5/4; 5/4; 13/10; 13/10; 23/20; 13/10; 6/5; 5/4; 13/10; 5/4; 6/5; 6/5; 13/10; 5/4; 5/4; 5/4; 11/10; 5/4; 5/4; 13/10; 13/10; 23/18; ; 23/18; ; ; 5/4; 
Boreham Wood; 23/10; 2; 41/20; 21/10; 21/10; 19/10; 2; 2; 85/40; 2; 2; 15/8; 21/10; 21/10; 21/10; 11/5; 39/19; 21/10; 19/10; 39/19; 9/4; 19/10; 37/19; ; 37/19; ; ; 19/10; 
Draw; 12/5; 23/10; 9/4; 23/10; 23/10; 43/20; 12/5; 9/4; 23/10; 23/10; 11/5; 9/4; 47/20; 9/4; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; 5/2; 12/5; 9/4; ; 9/4; ; ; 2; 
META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-16 22:21:35 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Maidstone; 23/20; 5/4; 5/4; 13/10; 13/10; 23/20; 13/10; 6/5; 5/4; 13/10; 5/4; 6/5; 6/5; 13/10; 5/4; 5/4; 5/4; 11/10; 5/4; 5/4; 13/10; 5/4; 23/18; ; 23/18; ; ; 5/4; 
Boreham Wood; 23/10; 2; 41/20; 21/10; 21/10; 39/20; 2; 2; 85/40; 2; 2; 2; 21/10; 21/10; 21/10; 11/5; 39/19; 21/10; 19/10; 39/19; 9/4; 2; 37/19; ; 37/19; ; ; 19/10; 
Draw; 12/5; 23/10; 9/4; 23/10; 23/10; 43/20; 12/5; 9/4; 23/10; 23/10; 11/5; 21/10; 47/20; 9/4; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; 5/2; 12/5; 9/4; ; 9/4; ; ; 2; 
META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-17 02:21:34 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Maidstone; 23/20; 5/4; 6/5; 13/10; 13/10; 23/20; 5/4; 6/5; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4; 5/4; 5/4; 11/10; 5/4; 5/4; 13/10; 5/4; 23/18; ; 23/18; ; ; 6/5; 
Boreham Wood; 23/10; 2; 21/10; 21/10; 21/10; 39/20; 21/10; 2; 85/40; 21/10; 21/10; 19/10; 21/10; 11/5; 21/10; 11/5; 39/19; 21/10; 19/10; 39/19; 9/4; 2; 37/19; ; 37/19; ; ; 2; 
Draw; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 12/5; 9/4; 23/10; 23/10; 9/4; 9/4; 47/20; 23/10; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; 5/2; 12/5; 9/4; ; 9/4; ; ; 21/10; 
META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-17 06:21:33 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Maidstone; 23/20; 5/4; 6/5; 13/10; 13/10; 23/20; 5/4; 6/5; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4; 5/4; 6/5; 11/10; 5/4; 6/5; 13/10; 5/4; 23/18; ; 23/18; ; ; 5/4; 
Boreham Wood; 23/10; 2; 21/10; 21/10; 21/10; 2; 21/10; 2; 85/40; 21/10; 21/10; 19/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 19/10; 21/10; 9/4; 2; 37/19; ; 37/19; ; ; 21/10; 
Draw; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 12/5; 9/4; 23/10; 23/10; 9/4; 9/4; 47/20; 23/10; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; 5/2; 12/5; 9/4; ; 9/4; ; ; 9/4; 
META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-17 10:21:28 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Maidstone; 23/20; 6/5; 6/5; 13/10; 13/10; 23/20; 5/4; 6/5; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4; 5/4; 6/5; 11/10; 5/4; 6/5; 13/10; 5/4; 23/18; ; 23/18; ; ; 5/4; 
Boreham Wood; 23/10; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 2; 85/40; 21/10; 21/10; 19/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 19/10; 21/10; 9/4; 2; 37/19; ; 37/19; ; ; 21/10; 
Draw; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 12/5; 9/4; 23/10; 23/10; 9/4; 9/4; 47/20; 23/10; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; 5/2; 12/5; 9/4; ; 9/4; ; ; 9/4; 
META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-17 14:21:37 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Maidstone; 6/5; 6/5; 5/4; 13/10; 13/10; 23/20; 13/10; 11/10; 5/4; 13/10; 13/10; 5/4; 6/5; 13/10; 5/4; 5/4; 13/10; 11/10; 23/20; 13/10; 13/10; 24/19; 13/11; ; 13/11; ; ; 13/10; 
Boreham Wood; 9/4; 21/10; 43/20; 21/10; 11/5; 2; 21/10; 21/10; 11/5; 21/10; 2; 2; 11/5; 21/10; 21/10; 11/5; 39/19; 21/10; 21/10; 39/19; 9/4; 39/19; 21/10; ; 21/10; ; ; 11/5; 
Draw; 12/5; 23/10; 21/10; 23/10; 9/4; 11/5; 23/10; 23/10; 9/4; 9/4; 21/10; 2; 9/4; 21/10; 9/4; 23/10; 11/5; 9/4; 9/4; 11/5; 5/2; 23/10; 9/4; ; 9/4; ; ; 21/10; 
META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-17 18:21:38 GMT+3; 2017-04-17 15:00; In Play; Xlenovo
Maidstone; 8/5; 6/4; 9/10; 7/5; 10/11; ; ; ; ; ; 19/20; ; ; ; ; ; 1; ; ; 19/20; ; ; ; ; ; ; ; ; 
Draw; 11/10; 1; 47/20; 23/20; 5/2; ; ; ; ; ; 2; ; ; ; ; ; 19/10; ; ; 21/10; ; ; ; ; ; ; ; ; 
Boreham Wood; 4; 4; 14/5; 7/2; 3; ; ; ; ; ; 16/5; ; ; ; ; ; 31/10; ; ; 56/19; ; ; ; ; ; ; ; ; 
